name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
# Built-in,,,,,,,,,,,,,,,,,,,
Объемное хранилище ракет,A_S-F_bulkracks,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_BulkMissileRacks,Увеличивает боезапас ракетного оружия на %s. Ракетное оружие также наносит на %s меньше урона и получает на %s повышенную скорострельность и регенерацию боезапаса.,Увеличивает боезапас ракетного оружия.,,graphics/hullmods/A_S-F_bulk_missile_storage.png
Адаптивные системы,A_S-F_AdaptiveSystems,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_AdaptiveSystems,"<Продвинутые системы позволяют кораблю адаптироваться к ситуации на поле боя, повышая эффективность при большем боевом напряжении.>",Системы адаптируются к боевой ситуации.,,graphics/hullmods/A_S-F_adaptive_systems.png
Двигатели Glister,A_S-F_GlisterEngines,,,,,,,,TRUE,TRUE,0,0,0,0,org.amazigh.foundry.hullmods.ASF_GlisterEngines,"СКРЫТАЯ МОДИФИКАЦИЯ: более прочные двигатели и повышенная скорость их ремонта, чтобы Glister был менее уязвим к ЭМИ.",Усложняет отключение двигателей и ускоряет их ремонт.,,graphics/hullmods/insulated_engine_assembly.png
Гиперсудно вероятностного пространства,A_S-F_PhantasmagoriaHullmod,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaHullmod,<Фантасмагория пространственного сна>,<Фантасмагория пространственного сна>,,graphics/hullmods/A_S-F_phantasmagoria.png
Залп: CUTTER,A_S-F_PhantasmagoriaCutter,,,,"no_build_in, invisible_in_codex",,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaCutter,"Мультипушка Barrage установлена в режим %s, скорострельную универсальную конфигурацию.

Удалите модификацию корпуса, чтобы сменить конфигурацию.","Мультипушка Barrage в режиме Cutter, скорострельная универсальная конфигурация.",,graphics/hullmods/A_S-F_phantasmagoriaCutter.png
Залп: SLICER,A_S-F_PhantasmagoriaSlicer,,,,"no_build_in, invisible_in_codex",,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaSlicer,"Мультипушка Barrage установлена в режим %s, рассеивающую противощитовую конфигурацию.

Удалите модификацию корпуса, чтобы сменить конфигурацию.","Мультипушка Barrage в режиме Slicer, рассеивающая противощитовая конфигурация.",,graphics/hullmods/A_S-F_phantasmagoriaSlicer.png
Залп: PIERCER,A_S-F_PhantasmagoriaPiercer,,,,"no_build_in, invisible_in_codex",,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaPiercer,"Мультипушка Barrage установлена в режим %s, сфокусированную противоброневую конфигурацию.

Удалите модификацию корпуса, чтобы сменить конфигурацию.","Мультипушка Barrage в режиме Piercer, сфокусированная противоброневая конфигурация.",,graphics/hullmods/A_S-F_phantasmagoriaPiercer.png
Иллюзия: CURTAIN,A_S-F_PhantasmagoriaCurtain,,,,"no_build_in, invisible_in_codex",,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaCurtain,"Ракетный фабрикатор схемы Illusion настроен на производство ракет %s.

Удалите модификацию корпуса, чтобы сменить конфигурацию.",Ракетный фабрикатор схемы Illusion производит ракеты Curtain.,,graphics/hullmods/A_S-F_phantasmagoriaCurtain.png
Иллюзия: SHROUD,A_S-F_PhantasmagoriaShroud,,,,"no_build_in, invisible_in_codex",,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaShroud,"Ракетный фабрикатор схемы Illusion настроен на производство подавляющих микроракет %s.

Удалите модификацию корпуса, чтобы сменить конфигурацию.",Ракетный фабрикатор схемы Illusion производит подавляющие микроракеты Shroud.,,graphics/hullmods/A_S-F_phantasmagoriaShroud.png
Иллюзия: PARTITION,A_S-F_PhantasmagoriaPartition,,,,"no_build_in, invisible_in_codex",,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaPartition,"Ракетный фабрикатор схемы Illusion настроен на производство ударных ракет %s.

Удалите модификацию корпуса, чтобы сменить конфигурацию.",Ракетный фабрикатор схемы Illusion производит ударные ракеты Partition.,,graphics/hullmods/A_S-F_phantasmagoriaPartition.png
Темпоральное ядро: РЕГУЛИРУЕМОЕ,A_S-F_PhantasmagoriaRegulator_on,,,,"no_build_in, codex_require_related",,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaRegulator_on,"<Примирись со смертью, и после этого возможно все>","<Примирись со смертью, и после этого возможно все>",,graphics/hullmods/A_S-F_phantasmagoriaRegulatorOn.png
Темпоральное ядро: НЕРЕГУЛИРУЕМОЕ,A_S-F_PhantasmagoriaRegulator_off,,,,"no_build_in, codex_require_related",,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PhantasmagoriaRegulator_off,"<Глубокое прозрение уступает место зрелищу, а зрелище - насилию и крови, пока в конце не остается почти ничего, кроме крови>","<Глубокое прозрение уступает место зрелищу, а зрелище - насилию и крови, пока в конце не остается почти ничего, кроме крови>",,graphics/hullmods/A_S-F_phantasmagoriaRegulatorOff.png
Заглушка темпорального ядра ВКЛ,A_S-F_PhantasmagoriaCore_on,,,,"no_build_in, invisible_in_codex",,,,TRUE,TRUE,0,0,0,0,org.amazigh.foundry.hullmods.ASF_clavataDummy,Чистая заглушка смены модификации [ВКЛ],Чистая заглушка смены модификации [ВКЛ],,graphics/hullmods/A_S-F_phantasmagoria.png
Заглушка темпорального ядра ВЫКЛ,A_S-F_PhantasmagoriaCore_off,,,,"no_build_in, invisible_in_codex",,,,TRUE,TRUE,0,0,0,0,org.amazigh.foundry.hullmods.ASF_clavataDummy,Чистая заглушка смены модификации [ВЫКЛ],Чистая заглушка смены модификации [ВЫКЛ],,graphics/hullmods/A_S-F_phantasmagoria.png
Системы боевого горения,A_S-F_GaderogaHullmod,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_GaderogaHullmod,<Крепость уничтожения>,<Крепость уничтожения>,,graphics/hullmods/A_S-F_warburn.png
Системы боевого горения,A_S-F_BerzeliusHullmod,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_BerzeliusHullmod,<Крепость уничтожения - Berzelius>,<Крепость уничтожения - Berzelius>,,graphics/hullmods/A_S-F_warburn.png
Системы боевого горения (автоматические),A_S-F_DerelictWarburn,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_DerelictWarburn,<Крепость уничтожения - заброшенная>,<Крепость уничтожения - заброшенная>,,graphics/hullmods/A_S-F_warburn.png
Ракетная фабрика Lebruck,A_S-F_lebruckFoundry,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_lebruckFoundry,<Фантазия ракетной мощи>,<Фантазия ракетной мощи>,,graphics/hullmods/A_S-F_lebruckFoundry.png
Интеграция гибридного оружия,A_S-F_lebruckArsenal,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_lebruckArsenal,"Специализированные оружейные крепления упрощают установку оружия.
Снижает стоимость баллистического и энергетического оружия в очках вооружения на %s/%s/%s.",Снижает стоимость баллистического и энергетического оружия в очках вооружения.,,graphics/hullmods/A_S-F_lebruckArsenal.png
Расширенные ракетные стойки,A_S-F_expansiveracks,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_ExpansiveMissileRacks,"Корабль оснащен огромным расширенным хранилищем боеприпасов для основного ракетного крепления.
Масштаб настолько велик, что силовые каналы и подача боеприпасов для остальных орудий корабля были упрощены ради размещения всего ракетного хранилища.
Увеличивает боезапас ракетного оружия на %s, а ракетное оружие получает на %s повышенную скорострельность и регенерацию боезапаса.",Увеличивает боезапас ракетного оружия.,,graphics/hullmods/A_S-F_bulk_missile_storage2.png
Усиленный пакет баллистической поддержки,A_S-F_rinkaHullmod,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_rinkaHullmod,<Просто дай мне чистый обзор.>,"Улучшает баллистические характеристики, эффект зависит от состояния системы.",,graphics/hullmods/A_S-F_rinkaHullmod.png
Ядро фотонного ускорителя,A_S-F_transparenceHullmod,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_transparenceHullmod,<Добудь это своими руками>,<Добудь это своими руками>,,graphics/hullmods/A_S-F_transparenceHullmod.png
Плазмоотводные щиты,A_S-F_plasmaTapShields,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_PlasmaTapShields,"<Сейчас станет очень оживленно, экипаж!>","<Сейчас станет очень оживленно, экипаж!>",,graphics/hullmods/A_S-F_plasmaTapShields.png
Системы боевого горения (истребитель),A_S-F_GyastarHullmod,,,,invisible_in_codex,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_GyastarHullmod,<Крепость уничтожения>,<Крепость уничтожения>,,graphics/hullmods/A_S-F_warburn.png
Штурмовые катушки,A_S-F_rinkaHullmod_p,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_rinkaHullmod_p,<Враг в прицеле!>,Улучшает баллистические характеристики.,,graphics/hullmods/A_S-F_rinkaHullmod_p.png
Инерционное усиление,A_S-F_inertialBracing,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_inertialBracing,"Чтобы компенсировать чудовищные уровни силы, которые способны выдавать маневровые двигатели, установлено дополнительное специализированное усиление, позволяющее кораблю пережить даже самые экстремальные маневры.
Дополнительный эффект усиления - работа в качестве противоосколочного подбоя, повышающего сопротивление урону.

Осколочный урон, получаемый корпусом и броней, снижен.",Лор и сопротивление осколочному урону.,,graphics/hullmods/A_S-F_inertialBracing.png
Экзотическая конструкция,A_S-F_exoticStructure,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_exoticStructure,"Корабль сочетает нетипичные конструктивные особенности и экзотические материалы, что дает превосходную эффективность в ряде областей ценой повышенной логистической нагрузки.

Ежемесячный расход припасов на обслуживание увеличен на %s.
Скорость ремонта двигателей увеличена на %s.
Кинетический урон, получаемый корпусом и броней, снижен.","Расход припасов и ремонт двигателей выше, кинетическое сопротивление брони/корпуса выше.",,graphics/hullmods/A_S-F_exoticStructure.png
Потоковый когерер Pritzl,A_S-F_pritzlFlux,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_pritzlFlux,<Фантазия потоковой мощи>,<Фантазия потоковой мощи>,,graphics/hullmods/A_S-F_pritzlFlux.png
Резервирование крепления Flogger,A_S-F_floggerMounts,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_floggerMounts,"<Среднее крепление Flogger усиливает тип оружия, который в нем не установлен>","<Среднее крепление Flogger усиливает тип оружия, который в нем не установлен>",,graphics/hullmods/A_S-F_floggerMounts.png
Визуал форсажа Flogger,A_S-F_afterburnerVisuals,,,,,,,,TRUE,TRUE,0,0,0,0,org.amazigh.foundry.hullmods.ASF_afterburnerVisuals,"Скрытая модификация корпуса, управляющая визуальными эффектами корабельной системы Flogger.","Скрытая модификация корпуса, управляющая визуальными эффектами корабельной системы Flogger.",,graphics/hullmods/insulated_engine_assembly.png
Адаптивные переменные крепления,A_S-F_phobiaFlex,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_phobiaFlex,"<Модификация Phobia, мемы универсальных креплений>","<Модификация Phobia, мемы универсальных креплений>",,graphics/hullmods/A_S-F_phobiaFlex.png
Фазирование модуля Jorogumo,A_S-F_joroModulePhase,,,,,,,,TRUE,TRUE,0,0,0,0,org.amazigh.foundry.hullmods.ASF_joroModulePhase,"Скрытая модификация корпуса, убирающая столкновения у модуля Jorogumo.","Скрытая модификация корпуса, убирающая столкновения у модуля Jorogumo.",,graphics/hullmods/phase_field.png
Ангар дронов Clavata,A_S-F_clavataDummy,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_clavataDummy,"На корабле есть ангар, автоматически выпускающий восемь фазовых дронов Clavata.

Дроны медленно пополняются при уничтожении, вращаются вокруг корабля и вооружены защитным ПВО-лазером.",Информационная модификация корпуса дронов Jorogumo.,,graphics/hullmods/A_S-F_clavataBay.png
Вторичный потоковый банк,A_S-F_initoneBank,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_initoneBank,"<Модификация Initone, дающая вторичное хранилище мягкого потока>","<Модификация Initone, дающая вторичное хранилище мягкого потока>",,graphics/hullmods/A_S-F_initoneBank.png
Сходитель энергетических болтов,A_S-F_energyBoltConverger,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_energyBoltConverger,"<""Энергетический BRF"">","<""Энергетический BRF"">",,graphics/hullmods/A_S-F_converger.png
Модификация Ammon,A_S-F_ammonHullmod,,,,,,,,TRUE,TRUE,0,0,0,0,org.amazigh.foundry.hullmods.ASF_ammonHullmod,"<Модификация Ammon, мем масштаба времени>","<Модификация Ammon, мем масштаба времени>",,graphics/hullmods/insulated_engine_assembly.png
Ядро наведения Servant,A_S-F_ServantHullmod,,,,invisible_in_codex,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_ServantHullmod,"Продвинутый блок наведения, значительно увеличивающий дальность оружия.","Продвинутый блок наведения, значительно увеличивающий дальность оружия.",,graphics/hullmods/advanced_targeting_core.png
Резонатор Malice,A_S-F_UndyingMalice,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_UndyingMalice,"<Одинокий цветок, цветущий в Бездне.>","<Одинокий цветок, цветущий в Бездне.>",,graphics/hullmods/A_S-F_undyingMalice.png
Новая геометрия катушек,A_S-F_MaliceCoils,,,,codex_require_related,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_MaliceCoils,"<Еретик, облаченный в оболочки мертвых.>","<Еретик, облаченный в оболочки мертвых.>",,graphics/hullmods/A_S-F_MaliceCoils.png
Переработанные заряжающие,A_S-F_tiredGuns,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_tiredGuns,Ваше оружие очень устало :(,Ваше оружие очень устало :(,,graphics/hullmods/A_S-F_tiredGuns.png
Интегрированные дальномеры,A_S-F_integratedRangefinders,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_integratedRangefinders,"Супер BRF: работает до дальности 1000, на 50% для ПВО, но не для гибридного оружия!","Супер BRF: работает до дальности 1000, на 50% для ПВО, но не для гибридного оружия!",,graphics/hullmods/A_S-F_integratedRangefinders.png
Упрочненные крепления,A_S-F_ruggedMounts,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_ruggedMounts,"Более прочное оружие, более быстрый ремонт оружия и более дешевые средние баллистические орудия.","Более прочное оружие, более быстрый ремонт оружия и более дешевые средние баллистические орудия.",,graphics/hullmods/A_S-F_ruggedMounts.png
Тактическое артиллерийское крепление,A_S-F_ArtyMount,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_ArtyMount,Базовая модификация корпуса для кораблей тактической артиллерии.,Базовая модификация корпуса для кораблей тактической артиллерии.,,graphics/hullmods/A_S-F_artillery.png
Плазменная артиллерия Diadol,A_S-F_ArtyWepHighTech,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_ArtyWepHighTech,Высокотехнологичная тактическая артиллерия.,Высокотехнологичная тактическая артиллерия.,,graphics/hullmods/A_S-F_artilleryHT.png
Ионная артиллерия Colap,A_S-F_ArtyWepRemnant,,,,codex_unlockable,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_ArtyWepRem,Тактическая артиллерия Ремнантов.,Тактическая артиллерия Ремнантов.,,graphics/hullmods/A_S-F_artilleryRem.png
Импульсная артиллерия Celpek,A_S-F_ArtyWepMidline,,,,,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_ArtyWepMid,Среднелинейная тактическая артиллерия.,Среднелинейная тактическая артиллерия.,,graphics/hullmods/A_S-F_artilleryMid.png
Искупление,A_S-F_expiationInfo,,,,invisible_in_codex,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_expiationInfo,"""Страх, ужас, гнев... снайпер видит, как все они превращаются в холодный взгляд смерти с ее скрытой позиции.""",Информационная модификация Искупления.,,graphics/hullmods/phase_field.png
,,,,,,,,,,,,,,,,,,,
# ANOMALY,,,,,,,,,,,,,,,,,,,
Аномальные системы,A_S-F_anomalousSystems,,,,invisible_in_codex,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_AnomalousSystems,HWPREDICT ROUND FAIL; VDEF PERCENTNAN; CDEF PREDICT & PREDICTSIGMA OOB;,HWPREDICT ROUND FAIL; VDEF PERCENTNAN; CDEF PREDICT & PREDICTSIGMA OOB;,,graphics/hullmods/A_S-F_anomalousSystems.png
Аномальные системы,A_S-F_anomalousSystems_a,,,,invisible_in_codex,,,,TRUE,,0,0,0,0,org.amazigh.foundry.hullmods.ASF_AnomalousSystems_a,EPS OUTPUT FAIL; RRD COMPUTE OOB; RPN & MRTG FORECAST NAN;,EPS OUTPUT FAIL; RRD COMPUTE OOB; RPN & MRTG FORECAST NAN;,,graphics/hullmods/A_S-F_anomalousSystems.png
