name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
# Superships,,,,,,,,,,,,,,,,,,,,,,,,,,,
Циклическое темпоральное ядро,A_S-F_temporalCore,,,0.1,,,0.1,,2,0.04,0.5,3,5.5,2,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/temporal_shell.png
Пространственный телепортер,A_S-F_dimensionalteleporter,,,,,,0.15,,,,0.3,,0.3,4.9,,,,,,,,,,,,"movement, codex_require_related",graphics/icons/hullsys/displacer.png
Привод Амиты,A_S-F_amitaDrive,,,,,,,,,,1,6,1.5,12.5,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/high_energy_focus.png
Баллистическая перегрузка,A_S-F_rangdaSys,200,,,,,,,,,5,,3,5,TRUE,,,TRUE,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/ammo_feeder.png
Резонансный мотиватор,A_S-F_ResonanceMotivator,,,,,,,,3,0.04,0.25,4,0.25,,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/high_energy_focus.png
Снайперский прицел,A_S-F_istinaSys,1,,,,,,,,,1,,1,5,TRUE,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/lidar_barrage.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Bounty/One-off Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дроны Manacle,A_S-F_drone_manacle,,,,,,,,24,0.04,0,,0,0,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/drone_pd_mid.png
Тяжёлый квантовый дизраптор,A_S-F_disruptor,,,,,,0.2,,2,0.05,0.5,,1,4,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/quantum_disruptor.png
Темпоральный микрофорсаж,A_S-F_temporalBurn_nebel,1,,,,,,,2,0.05,1.2,2,0.8,0.5,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,,,"movement, codex_require_related",graphics/icons/hullsys/plasma_burn.png
Улучшенный быстрый рывок,A_S-F_quickBoost_3,,,,,,,,3,0.125,0.25,0.25,1,0.5,,,,TRUE,,,,,,,,"movement, codex_require_related",graphics/icons/hullsys/maneuvering_jets.png
Активная пусковая установка ловушек,A_S-F_flarelauncher_anom,,,,,,,,,,,,,4,,,,,,,,,,,,defensive,graphics/icons/hullsys/active_flare_launcher.png
Дроны Clavata,A_S-F_drone_clavata,,,,,,,,8,0.1,0,,0,0,,,,,,,,,,,,"defensive, codex_require_related",graphics/icons/hullsys/drone_pd_high.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ArkTech,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подача гипервыстрельных боеприпасов,A_S-F_hypershot,,,,,,,,2,0.0625,0.5,2,1,1.5,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/ammo_feeder.png
Перегрузка заряжателя,A_S-F_loaderOverdrive,,,,,,,,2,0.05,0.5,1,1,4,,,,,TRUE,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/ammo_feeder.png
Лёгкая перегрузка заряжателя,A_S-F_loaderOverdriveD,,,,,,,,2,0.04,0.5,1,1,4,,,,,TRUE,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/ammo_feeder.png
