name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noУВСInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nieuport линейная винтовка,A_S-F_nieuport,3,0.3,5000,700,,75,10,10,30,8,,,,KINETIC,75,,0.3,0.3,2,0.3,,,,,,1000,,,40,,,,"kinetic9, LR, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Против щитов,,,,Особая,"ЭМИ-урон растет вместе с уровнем потока стреляющего корабля, максимум %s при %s потока или выше.
Попадания по щиту увеличивают мягкий поток цели на величину, равную %s ЭМИ-урона выстрела.",50 | 80% | 160%,"Это оружие становится точнее по мере роста уровня потока стреляющего корабля, достигая максимальной точности при %s потока или выше.",80%,,222004
Salmson залповый гранатомет,A_S-F_salmson,3,0.3,5000,600,,80,40,15,25,8,,,,HIGH_EXPLOSIVE,80,,0,1.25,4,0.25,6,18,3,4,,500,,,60,,,,"he9, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Против брони,,,,,"Выстрелы взрываются при попадании, нанося %s урона в небольшой области.",40 энергетический,,,,222005
Klabu боевая пушка,A_S-F_klabu,3,0.3,15000,850,,500,,25,12,15,,,,HIGH_EXPLOSIVE,600,,0,3,1,,2,8,2,4,,800,,,300,,,,"he17, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Против брони,,,,,"Вызывает взрыв при попадании, наносящий %s урона в средней области.",400 осколочный,,,,222008
Kabid залповое орудие,A_S-F_kabid,3,0.3,5000,900,,160,,12,12,15,,,,KINETIC,450,,0.4,2,1,,0,0,0,0,,4000,,,50,,,FIRE_WHEN_INEFFICIENT,"kinetic16, LR, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Против щитов,,,,,"При попадании квантовые связи запускают залп дополнительных ослабленных выстрелов из основного оружия.

Полный урон залпа: %s
Урон полного залпа в секунду: %S
Поток полного залпа / урон: %s",600 | 250 | 0.75,,,,222013
Kombeo кластерная зенитка,A_S-F_kombeo,3,0.3,5000,450,,60,,10,60,5,,,,HIGH_EXPLOSIVE,50,,0,0.8,1,,0,12,2,12,,700,,,40,,,PD,"pd8, he4, SR, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,ПВО (по площади),,,,,"Снаряды выпускают %s кластеров, каждый наносит %s осколочного урона.",4 | 20,,,,222014
Спаренная Kombeo кластерная зенитка,A_S-F_kombeoTwin,3,0.3,15000,500,,60,,10,40,10,,,,HIGH_EXPLOSIVE,50,,0,0.3,1,,0,12,2,12,,700,,,40,,,PD,"pd14, he7, SR, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,ПВО (по площади),,,,,"Снаряды выпускают %s кластеров, каждый наносит %s осколочного урона.",4 | 20,,,,222015
Kufikiri умная пушка,A_S-F_kufikiri,3,0.3,15000,850,50,,,1,12,16,,,,ENERGY,,1000,0,0,0.4,1.6,,,,,680000,,,,,,,FIRE_WHEN_INEFFICIENT,"kinetic16, he16, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Адаптивное,,,,,"Выпускает целеуказующий луч, который определяет тип управляемого боеприпаса по пораженной цели.

%s Три заряженных снаряда, каждый наносит %s кинетического и %s ЭМИ-урона (%s)

%s Один нестабильный снаряд, наносящий %s фугасного и %s осколочного урона (%s + %s)",Щит: | 120 | 60 | 180 кинетический УВС | Корпус/броня: | 240 | 180 | 120 фугасный УВС | 90 осколочный УВС,,,,222017
Sumake Magnegun,A_S-F_sumake,3,0.3,5000,600,,60,60,6,25,7,,,,ENERGY,30,,0.4,1.6,1,,0,0,0,0,,650,,,20,,,,"kinetic8, he8, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Подавление,,,,Особая,"Выстрелы расходятся, прежде чем развернуться в направлении прицеливания.",,,,,222018
Kaksos автопушка,A_S-F_kaksos,0,,900,600,,120,,8,12,9,,,,KINETIC,84,,0,0.4,1,,4,22,3,8,,800,,,30,,,,"kinetic15, SR, rare_bp, merc, ind",,,,Против щитов,,,,,,,,,,2224.125
