id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
CFT_apollo_standard_wing,CFT_apollo_standard,"auto_fighter, bomber, cft_bp, bomber5",0,,8,4,BOX,1000,500,0,2,BOMBER,Missile Pod,6,2000,,,,,,,,,,,,,
CFT_brig_standard_wing,CFT_brig_standard,"interceptor,cft_bp, interceptor5, auto_fighter",0,,3,5,V,4000,500,0,4,INTERCEPTOR,Interceptor Drone,8,2200,,,,,,,,,,,,,
CFT_cutter_standard_wing,CFT_cutter_standard,"fighter, cft_bp, fighter5, auto_fighter ",0,,6,6,V,4000,500,0,3,FIGHTER,Drone Fighter,10,2500,,,,,,,,,,,,,
CFT_skiff_standard_wing,CFT_skiff_standard,"interceptor1, interceptor, cft_bp",1,,3,10,BOX,3000,500,0,4,INTERCEPTOR,Interceptor,8,2000,,,,,,,,,,,,,
CFT_dingy_standard_wing,CFT_dingy_standard,"bomber3, bomber, cft_bp",1,,8,12,BOX,5000,500,0,3,BOMBER,Heavy Bomber,12,3000,,,,,,,,,,,,,
CFT_mizzen_standard_wing,CFT_mizzen_standard,"stay_in_front_of_ship, support0, drone, low, cft_bp, auto_fighter",1,,3,1,V,2000,500,0,3,SUPPORT,PD drone,4,2000,,,,,,,,,,,,,
CFT_skjold_standard_wing,CFT_skjold_standard,"fighter3, fighter, mid, cft_bp",2,,8,10,V,3000,500,-400,2,FIGHTER,Heavy Fighter,9,6000,,,,,,,,,,,,,
CFT_centurion_standard_wing,CFT_centurion_standard,"interceptor1, interceptor, cft_bp",1,,4,10,V,4000,500,0,3,INTERCEPTOR,Interceptor,8,2500,,,,,,,,,,,,,
CFT_blackburn_standard_wing,CFT_blackburn_standard,"bomber5, bomber, cft_bp",2,,6,18,BOX,4000,500,0,1,BOMBER,Torpedo Bomber,10,3000,,,,,,,,,,,,,
CFT_tender_standard_wing,CFT_tender_standard,"interceptor, drone, low, cft_bp, auto_fighter",1,,2,4,V,3000,500,0,2,INTERCEPTOR,Mining Drone,8,2500,,,,,,,,,,,,,
CFT_arkyd_standard_wing,CFT_arkyd_standard,"fighter3, fighter, mid, cft_bp",2,,4,20,V,4000,500,0,2,FIGHTER,Drone deployment,10,7000,,,,,,,,,,,,,
