name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Прямая боевая перепрофилировка,CJHM_combatadjustment,0,,CJHM,"defensive, merc",Защита,5000,TRUE,,,2,3,4,5,data.scripts.hullmods.CJHM_combatadjustment,"Удаляет один ангар и взамен увеличивает броню корабля на %s/%s/%s/%s единиц, в зависимости от размера корпуса. Емкость и рассеивание потока также увеличиваются на %s. Можно установить только на корабли с ангарами.",Заменяет 1 ангар на броню и поток,graphics/CJHM/hullmods/CJHM_armorforfighter.png
Перестройка корпуса,CJHM_cargofiller,0,,CJHM,special,Особое,5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_cargofiller,"Когда лишний грузовой отсек (%s процентов) вам действительно не нужен, добавьте немного прочности корпуса! (+%s процентов)",Уменьшает грузовое пространство корабля и повышает прочность корпуса. Не сочетается с модификациями вырезания грузового отсека или поясной брони.,graphics/CJHM/hullmods/CJHM_cargofiller.png
Ракеты ближнего боя,CJHM_brawlermissiles,0,,CJHM,offensive,Оружие,5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_brawlermissiles,"Сблизьтесь с врагом и быстро нанесите урон, получая +%s процентов скорости ракет ценой %s процентов максимальной дальности ракет.",Уменьшает дальность ракет и увеличивает их скорость,graphics/CJHM/hullmods/CJHM_brawlermissiles.png
Вспомогательное сопровождение,CJHM_farsight,0,,CJHM,special,Особое,5000,TRUE,,,5,10,15,20,data.scripts.hullmods.CJHM_farsight,"Космос огромен, и вы ведь не хотите пропустить ни одной добычи? Увеличивает дальность обзора и сенсоров на %s/%s/%s/%s процентов, в зависимости от размера корпуса.",Увеличивает дальность обзора и сенсоров,graphics/CJHM/hullmods/CJHM_farsight.png
Форсаж маршевого хода,CJHM_burnboost,0,,CJHM,engines,Двигатели,5000,TRUE,,,4,8,12,16,data.scripts.hullmods.CJHM_burnboost,"CJHM разработала модификацию топливной смеси для своих кораблей, добавляющую +1 к максимальному уровню хода, но требующую на 50 процентов больше топлива.",Повышает ход за счет расхода топлива,graphics/CJHM/hullmods/CJHM_burnboost.png
Вспомогательные сенсоры,CJHM_auxsensor,0,,CJHM,special,Особое,5000,TRUE,,,2,2,2,2,data.scripts.hullmods.CJHM_auxsensor,"Есть пара лишних ОП? Установите вспомогательный усилитель сенсоров, который увеличивает дальность сенсоров на 10",Увеличивает дальность сенсоров,graphics/CJHM/hullmods/CJHM_auxsensor.png
Удлиненная полетная палуба,CJHM_fetchdeck,2,,CJHM,special,Истребители,7000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_fetchdeck,"Позволяет запускать истребители и дроны на %s дальше и снижает скорость истощения восполнения истребителей на %s, когда крылья недоукомплектованы.",Увеличивает дальность истребителей и ускоряет их восполнение,graphics/CJHM/hullmods/CJHM_fetchdeck.png
Усиление ПКО,CJHM_pdext,0,,CJHM,"offensive, merc",Оружие,7000,TRUE,,,2,3,4,5,data.scripts.hullmods.CJHM_pdext,"Увеличивает дальность оружия точечной обороны на %s, однако его разгон повышает скорость падения боеготовности в бою после окончания пикового времени эффективности на %s.",Увеличивает дальность ПКО ценой ускоренного падения БГ.,graphics/CJHM/hullmods/CJHM_pdext.png
Инженерная секция,CJHM_engineeringsection,0,,CJHM,"defensive, merc",Защита,7000,TRUE,,,1,2,3,4,data.scripts.hullmods.CJHM_engineeringsection,"Добавляет обученную CJHM инженерную секцию, которая ремонтирует оружие и двигатели на %s и увеличивает общую прочность оружия на %s. Дополнительный экипаж потребляет %s припасов в месяц.",Инженерия,graphics/CJHM/hullmods/CJHM_engineeringsection.png
Клетка Фарадея,CJHM_reinforcedhull,0,,CJHM,"defensive, merc",Защита,7000,TRUE,,,1,2,3,4,data.scripts.hullmods.CJHM_reinforcedhull,"Уменьшает прочность корпуса корабля на %s процентов, освобождая место для амортизирующей клетки Фарадея, которая снижает ЭМИ-урон на %s и повышает шанс выживания персонала корабля при получении продолжительного урона на %s.",Корпус с защитой от ЭМИ,graphics/CJHM/hullmods/CJHM_reinforcedhull.png
