name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Боевая перепрофилировка,CJHM_combatadjustment,0,,CJHM,"defensive, merc",Защита,5000,,,,2,3,4,5,data.scripts.hullmods.CJHM_combatadjustment,"Удаляет один ангар и взамен увеличивает броню корабля на %s/%s/%s/%s единиц, в зависимости от размера корпуса. Емкость и рассеивание нагрузки также увеличиваются на %s. Можно установить только на корабли с ангарами.",Меняет 1 ангар на броню и поток,graphics/CJHM/hullmods/CJHM_armorforfighter.png
Перекомпоновка корпуса,CJHM_cargofiller,0,,CJHM,special,Особое,5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_cargofiller,"Когда вам точно не нужно это лишнее грузовое место (%s процентов), добавьте немного прочности корпуса! (+%s процентов)",Уменьшает грузовой отсек и добавляет прочность корпуса. Не сочетается с модификациями вырезания грузового отсека или поясной брони.,graphics/CJHM/hullmods/CJHM_cargofiller.png
Ракеты ближнего боя,CJHM_brawlermissiles,0,,CJHM,offensive,Оружие,5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_brawlermissiles,"Подойдите вплотную и быстро нанесите урон: скорость ракет увеличивается на +%s процентов, но максимальная дальность ракет уменьшается на %s процентов.",Уменьшает дальность ракет и увеличивает их скорость,graphics/CJHM/hullmods/CJHM_brawlermissiles.png
Вспомогательное наведение,CJHM_farsight,0,,CJHM,special,Особое,5000,,,,5,10,15,20,data.scripts.hullmods.CJHM_farsight,"Космос огромен, и вы ведь не хотите пропустить ни одной крошки добычи? Увеличивает дальность обзора и сенсоров на %s/%s/%s/%s процентов, в зависимости от размера корпуса.",Увеличивает дальность обзора и сенсоров,graphics/CJHM/hullmods/CJHM_farsight.png
Форсаж маршевого хода,CJHM_burnboost,0,,CJHM,engines,Двигатели,5000,,,,4,8,12,16,data.scripts.hullmods.CJHM_burnboost,"CJHM разработала модификацию топливной смеси для своих кораблей, добавляющую +1 к максимальному уровню хода, но требующую на 50 процентов больше топлива.",Добавляет ход за счет расхода топлива,graphics/CJHM/hullmods/CJHM_burnboost.png
Вспомогательные сенсоры,CJHM_auxsensor,0,,CJHM,special,Особое,5000,,,,2,2,2,2,data.scripts.hullmods.CJHM_auxsensor,"Осталась пара лишних очки оснащения? Установите вспомогательный усилитель сенсоров, который увеличивает дальность сенсоров на 10.",Увеличивает дальность сенсоров,graphics/CJHM/hullmods/CJHM_auxsensor.png
Удлиненная полетная палуба,CJHM_fetchdeck,2,,CJHM,special,Истребители,7000,,,,2,4,6,8,data.scripts.hullmods.CJHM_fetchdeck,"Позволяет запускать истребители и дроны на %s дальше и снижает скорость потери восстановления истребителей на %s, когда звенья не укомплектованы.",Увеличивает дальность истребителей и скорость пополнения,graphics/CJHM/hullmods/CJHM_fetchdeck.png
Усиление ПКО,CJHM_pdext,0,,CJHM,"offensive, merc",Оружие,7000,,,,2,3,4,5,data.scripts.hullmods.CJHM_pdext,"Увеличивает дальность оружия точечной обороны на %s, однако его разгон повышает скорость падения боеготовности в бою после окончания пикового времени эффективности на %s.",Увеличивает дальность ПКО ценой ускоренного падения боеготовности.,graphics/CJHM/hullmods/CJHM_pdext.png
Инженерная секция,CJHM_engineeringsection,0,,CJHM,"defensive, merc",Защита,7000,,,,1,2,3,4,data.scripts.hullmods.CJHM_engineeringsection,"Добавляет обученную CJHM инженерную секцию, которая восстанавливает оружие и двигатели на %s и увеличивает общую прочность оружия на %s. Дополнительная команда расходует %s припасов в месяц.",Инженеры,graphics/CJHM/hullmods/CJHM_engineeringsection.png
Клетка Фарадея,CJHM_reinforcedhull,0,,CJHM,"defensive, merc",Защита,7000,,,,1,2,3,4,data.scripts.hullmods.CJHM_reinforcedhull,"Уменьшает прочность корпуса корабля на %s процентов, освобождая место для амортизирующей клетки Фарадея, которая снижает ЭМИ-урон на %s и повышает шанс выживания экипажа при получении продолжительного урона на %s.",Корпус с защитой от ЭМИ,graphics/CJHM/hullmods/CJHM_reinforcedhull.png
