name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
,,,,,,,,,,,,,,,,,,,
Вызыватель Aquila,diableavionics_aquila,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.diableAvionicsAquila,"Спасибо, Tim. Очень круто",,,graphics/da/hullmods/diableavionics_mount.png
,,,,,,,,,,,,,,,,,,,
Продвинутая авионика,diableavionics_avionics,4,0.33,Diable Avionics,"no_build_in, req_spaceport","Weapons, Engines, Requires Dock",30000,,,,15,30,45,70,data.hullmods.DiableAvionicsUpgrade,"Комплексная модернизация внутренних систем, доступная исключительно кораблям корпорации Diable Avionics. Точная настройка продвинутых двигателей и энергетических систем повышает выход реактора без ущерба надежности.",Значительно повышает эффективность оружия ценой эффективности нагрузки. Позволяет Zero Flux Boost работать при большем потоке.,,graphics/da/hullmods/diableavionics_avionics.png
,,,,,,,,,,,,,,,,,,,
Прочная рама,diableavionics_wanzer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DiableAvionicsWanzer,"Wanzers - исключительно живучие малые аппараты с усиленными внутренними системами и тройным резервированием. Они получают %s сопротивления ЭМИ, а их оружие и двигатели на %s реже выходят из строя.",Дает Wanzers %s сопротивления ЭМИ и снижает урон их оружию и двигателям на %s.,,graphics/da/hullmods/diableavionics_quantumsensor.png
,,,,,,,,,,,,,,,,,,,
Снайперский комплект,diableavionics_sniperkit,2,,Diable Avionics,req_spaceport,Fighters,15000,,,,3,4,6,10,data.hullmods.DiableAvionicsSniperkit,"Специальный комплект модернизации для использования поддерживающей роли истребителя Warlust wanzer; содержит особые боеприпасы и лазерный прицел нового поколения для DMR. Оснащен связующим ядром наведения малого радиуса, которое позволяет всему крылу действовать как поддержка.","Переводит Warlust в роль ""крыльев поддержки"" и дает дополнительную дальность.",При S-моде снижает дальность вступления Warlust только на %s вместо %s.,graphics/da/hullmods/dibaleavionics_sniperkit.png
,,,,,,,,,,,,,,,,,,,
Тесный корпус,diableavionics_cramped,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DiableAvionicsCramped,"Этот корпус необычно мал и не может вместить модификации, требующие много места, такие как %s, %s или %s. Скорострельность ракетного оружия снижена на %s.","Запрещает установку крупных модификаций корпуса, снижает скорострельность ракет на %s.",,graphics/da/hullmods/diableavionics_cramped.png
,,,,,,,,,,,,,,,,,,,
Негабаритный корпус,diableavionics_oversized,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DiableAvionicsOversized,"Этот корабль необычно велик, что создает логистический кошмар при подготовке к бою. Увеличивает стоимость восстановления CR на %s.",Увеличивает стоимость восстановления CR на %s.,,graphics/da/hullmods/diableavionics_oversized.png
,,,,,,,,,,,,,,,,,,,
Модульная корабельная система,diableavionics_switchsubsystem,,,Diable Avionics,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.DiableaAvionicsSwitchsubsystem,"Набор подсистем, установленных на фрегат класса Coldfront, позволяет ему переключаться между двумя корабельными системами и быстро адаптироваться к меняющимся требованиям поля боя как в малых, так и в крупных флотах.",,,graphics/da/hullmods/diableavionics_switchsubsystem.png
,,,,,,,,,,,,,,,,,,,
Демпфированные крепления,diableavionics_mountBI,4,,Diable Avionics,,,,TRUE,,,0,0,0,0,data.hullmods.DiableAvionicsMountBI,"Орудийные установки корабля построены вокруг усиленных демпферов отдачи, позволяя снарядному оружию стрелять на слегка увеличенную дальность %s с уменьшением отдачи на %s. Снарядное оружие в крупных слотах получает меньший бонус.",,"Орудийные установки переработаны под установку оружия Diable Avionics, снижая стоимость очки оснащения на %s/%s/%s по размеру для баллистического и энергетического оружия корпорации. Однако такая сложная интеграция повышает требования к обслуживанию.",graphics/da/hullmods/diableavionics_mount.png
