name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Дроны Snap,diableavionics_warlust_drone,,,,,,,,2,,0,,0.5,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Настройка потоковой сети,diableavionics_vortex,,,,,,,,4,0.075,0,,0.5,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Ремонт брони Arcus,diableavionics_draftrepairs,,,,,,,,1,0.1,2,,2,10,TRUE,,,,TRUE,,,,,,,,graphics/icons/hullsys/fortress_shield.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Маневр уклонения,diableavionics_evasion,,,,,,0.075,,,,0.2,0.3,0.2,8,,,,TRUE,TRUE,TRUE,,,TRUE,,,,graphics/icons/hullsys/teleporter.png
Ядро Phase Grazer,diableavionics_drift,,,,,,,,3,0.05,3,0,0,0.5,,,,TRUE,TRUE,,,,,TRUE,,,graphics/icons/hullsys/displacer.png
Оболочка Phase Grazer,diableavionics_nudge,,,,,,,,,,1,0,0,20,,,,TRUE,TRUE,,,,,TRUE,,,graphics/icons/hullsys/displacer.png
Ядро фазового мерцания,diableavionics_heavyflicker,,,,,,0.075,,3,0.075,0.3,,0.1,0.5,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/teleporter.png
Легкое ядро мерцания,diableavionics_flicker,,,,,,0.05,,4,0.1,0.2,,0.1,0.5,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
Высокоскоростной режим,diableavionics_transit,,,,,,,,,,0.75,,0.75,3,TRUE,,,,TRUE,,,,TRUE,,,,graphics/icons/hullsys/displacer.png
Высокоскоростной режим,diableavionics_transit2,,,,,,,,,,1,,0.5,2,TRUE,,,,FALSE,,,,TRUE,,,,graphics/icons/hullsys/displacer.png
Сброс ускорителя,diableavionics_booster,,,,,,,,1,,,,,,TRUE,,,,,,,,TRUE,,,,graphics/icons/hullsys/displacer.png
Перенаправление потока,diableavionics_fluxredirection,,,,0,0,0.1,,,,1,5,1,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,graphics/icons/hullsys/ammo_feeder.png
Квантовая РЭБ Priere,diableavionics_quantumimpulse,,,,,,,,,,1,8,1,10,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Катализатор форсированного рывка,diableavionics_forcedburn,1,,0.03,,,0.1,,,,30,,5,5,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,graphics/icons/hullsys/burn_drive.png
Дальняя координация,diableavionics_longRange,,,,,,,,,,1,15,1,20,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Аварийное переоснащение,diableavionics_fastRefit,,,,,,,,,,1,13,1,30,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Шунт плазменного конденсатора,diableavionics_capacitors,,,,0,0,0.05,,,,0.1,3,0.1,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,graphics/icons/hullsys/damper_field.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Демпфирующая волна,diableavionics_damperwave,,,,,,0.075,,3,0.05,.3,.2,1,1,,,,TRUE,TRUE,,,,TRUE,TRUE,,,graphics/icons/hullsys/displacer.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Экспортный крепостной щит,diableavionics_shield,,,0.025,,,,,,,1,3,1,10,,,,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/fortress_shield.png
Перехват управления крылом,diableavionics_assumeControl,,,,,,,,,,0.1,30,0.1,15,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Секретный прием,diableavionics_slash,,,,,,,,,,0.5,2,0.5,18,,,,,,,,,,,,,graphics/icons/hullsys/teleporter.png
Держать позицию,diableavionics_dakka,,,,,,,,,,0.5,7,1,15,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Берсерк,diableavionics_berserk,,,,,,,,,,0.5,5,0.5,15,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Расщепитель эфира,diableavionics_splitter,,,,,,,,,,1.5,2.5,1.5,20,,,,,TRUE,,,,,TRUE,,,graphics/icons/hullsys/high_energy_focus.png
Оружейная ката,diableavionics_kata,,,,,,,,,,0.5,10,1,20,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Зов ворона,diableavionics_overload,,,,,,,,,,1,10,1,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Разблокированное ядро мерцания,diableavionics_unlockedFlicker,,,,,,0.05,,8,0.4,0.15,,0.15,0.15,,TRUE,,TRUE,,,,,,TRUE,,,graphics/icons/hullsys/displacer.png
Протокол цитадели,diableavionics_citadel,,,0.015,,,,,,,0.25,,0.25,2.5,TRUE,,,TRUE,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
