name,id,tags,rarity,base price,stack size,cargo space,icon,sound id,sound id drop,plugin,plugin params,desc,order
,,,,,,,,,,,,,
Экспериментальный пакет Phase Lab,dpl_experimental_pkg,"package_bp, no_drop",,1000000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,dpl_experimental_bp,"Позволяет тяжелой промышленности строить экспериментальные корпуса кораблей, оружие и ЛПК истребителей Phase Lab. Включает несколько секретных экспериментальных платформ, которых пока нет в кодексе.",556
Флотский пакет Phase Lab,dpl_navy_pkg,"package_bp, no_drop",,1000000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,dpl_navy_bp,"Позволяет тяжелой промышленности строить стандартные флотские корпуса кораблей, оружие и ЛПК истребителей Phase Lab.",557
Коммерческий пакет Phase Lab,dpl_commercial_pkg,package_bp,0.2,200000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,dpl_commercial_bp,"Позволяет тяжелой промышленности строить рыночные корпуса кораблей, оружие и ЛПК истребителей Phase Lab.",558
Доменный пакет Phase Lab,dpl_domain_pkg,"package_bp, no_drop",,1000000,1000,1,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,dpl_domain_bp,"Позволяет тяжелой промышленности строить корпуса кораблей, оружие и ЛПК истребителей эпохи Домена из арсенала Phase Lab.",559
,,,,,,,,,,,,,
Принципы фазового резонанса,dpl_resonance_book,mission_item,,100000,1000,1,graphics/icons/cargo/blueprintschip.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,data.scripts.items.dpl_ResonanceBook,,"Электронная версия утомительных инструкций по использованию фазового резонанса для нарушения работы электронных систем. Описывает, как применять феномен фазового резонанса в военных целях.",0
Нанофлюидный конденсатор,dpl_condenser,mission_item,,100000,1000,1,graphics/icons/cargo/dpl_condenser.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,data.scripts.items.dpl_Condenser,,"Специальное устройство, хранящее текучую смесь металлических наночастиц и микророботов, созданную Россом для быстрого перезапуска подсистем звездолетов и подготовки их к бою. Продукт одноразового применения.",0
Музыкант,dpl_musician,mission_item,,50000,1,1,graphics/icons/cargo/dpl_converter.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Специальное хакерское устройство, способное превратить ретранслятор связи в рабочий генератор фазового резонанса, хотя запуск и настройку резонанса всё равно придется выполнять вручную. Отключается после исчерпания питания, примерно через 3 дня.",0
,,,,,,,,,,,,,
Архив данных,dpl_data_archive,,,75000,1000,1,graphics/icons/cargo/dpl_scavenger_data.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Этот защищенный TriPad содержит базу данных с подробной информацией об элитном флоте: где он бывал, что находил, как были построены и модифицированы его корабли, какие пространственные аномалии он наблюдал и так далее. Для инженеров такие данные — сокровище, а для космических капитанов это скорее утомительный флотский журнал.",1
