name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Резерв торпед,dpl_torpedoreserve,5,,,,Оружие,5000,,TRUE,,0,0,0,0,data.hullmods.ExpandedMissileRacks,"Особый модуль для фазовых подлодок Flute, позволяющий перезаряжать торпеды.","Увеличивает боезапас ракетного оружия, совместимо с Expanded Missile Racks.",,graphics/hullmods/dpl_torpedoreserve.png
Особые щиты торпедного крейсера,dpl_tcsshieldemitter,5,,,,Щиты,20000,,TRUE,,0,0,0,0,data.hullmods.dpl_TCSEmitter,"Особый щитовой модуль для торпедных крейсеров Calliope и Hydraulis, позволяющий выживать под плотным огнем. Снижает урон, получаемый щитами, на %s.","Снижает урон, получаемый щитами.",,graphics/hullmods/dpl_tcs_shields.png
Интегрированные фазовые катушки,dpl_integratedcoils,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_IntegratedCoils,Интегрированная конструкция фазовых катушек снижает перезарядку фазового плаща на %s.,Снижает перезарядку фазового плаща.,,graphics/hullmods/dpl_phase_coils_integrated.png
Гигантская фазовая полость,dpl_giganticcavity,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_GiganticCavity,"Гигантская фазовая полость требует на %s больше времени для перезарядки, чем обычные фазовые катушки.",Увеличивает перезарядку фазового плаща.,,graphics/hullmods/dpl_gigantic_cavity.png
Плазменная связка,dpl_plasmacoupling,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_PlasmaCoupling,"Лучевое оружие этого корабля связано с плазменным уроном, из-за чего наносит жесткий поток по щитам.",Позволяет лучевому оружию наносить жесткий поток.,,graphics/hullmods/dpl_plasma_coupling.png
Мега-позитрониевый линейный ускоритель,dpl_megalinac,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_Mega_Linac,Энергетическое оружие этого корабля получает прямую подачу частиц и энергии от мега-позитрониевого линейного ускорителя. В результате скорострельность энергетического оружия увеличена на %s.,Заставляет энергетическое оружие стрелять чаще.,,graphics/hullmods/dpl_megalinac.png
Аварийная кузница,dpl_emergency_forge,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_EmergencyForge,"На корабле установлен особый тор фазовых полостей, способный хранить невероятное количество активных наночастиц. Наночастицы можно выпустить из фазового хранилища для однократного быстрого полевого ремонта, реконструируя корабль. Корпус будет восстановлен до %s от максимальной прочности. Весь поток будет сброшен путем выброса потоковых проводников и создания новых. Это стоит %s от максимальной БГ.",Один раз возрождает корабль с пониженной прочностью корпуса и БГ.,,graphics/hullmods/dpl_emergency_forge.png
Энергетический дальномер,dpl_energy_rangefinder,2,,Лаборатория фазовых технологий Доминиона,"offensive, merc, standard",Оружие,8000,,,,5,10,15,25,data.hullmods.dpl_EnergyRangefinder,<tooltip создается скриптом из-за большого числа подсветок>,Увеличивает базовую дальность малых и средних орудий в энергетических слотах.,,graphics/hullmods/dpl_energy_rangefinder.png
Фазовая интеграция,dpl_phase_integration,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_PhaseIntegration,"Корабль интегрирован с фазовым пространством через фазовый резонанс, достигнутый фрактальной фазовой катушкой. Снижает перезарядку фазового плаща на %s. Снижает стоимость активации фазового плаща до %s. Масштабирует рассеивание мягкого потока и скорость перезарядки оружия во время фазы с коэффициентом %s.",Снижает перезарядку фазового плаща. Уменьшает рассеивание и повышает фактор ускорения времени в фазе.,,graphics/hullmods/dpl_phase_integration.png
Фазовая проекция,dpl_phase_projection,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_PhaseProjection,"Этот корабль является проекцией некой сущности фазового пространства. Пока сущность выживает, а акаузальный путь между фазовым и физическим пространством продолжает существовать, корабль всегда может возродиться.

**Вы слышите голос из глубокой пустоты за пределами вашего судна: Бедное создание, ты потеряло душу в погоне за силой? Ты могло использовать свою силу, чтобы вырвать эту жалкую проекцию из существования моего гнева, но нет, моя месть за потерянные души в твоей насыщенной бомбардировке не будет, никогда не будет на твоей стороне. Но пожалуйста, пожалуйста, вернись, капитан, если твоя душа еще жива и может слышать. Я забыла свое имя и вот-вот исчезну, но я помнила тебя и должна оставить последние слова. Даже если уже слишком поздно, если ты оказался в такой ситуации, у тебя должен быть способ спасти нас всех. Случившееся разбило мне сердце. Должно быть, какой-то призрак безумия взял контроль над твоим телом, и я должна спасти тебя, уничтожив это злое существование. Пожалуйста, прости меня и продолжай свой пут...** Голос затихает.",Возрождает корабль.,,graphics/hullmods/dpl_phase_projection.png
