name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,,,,,,,
Оракул,dpl_station_drone,,,dpl_energyfeed,,1600,250,3000,3750,300,65,,255,400,300,60,90,200,OMNI,,360,0,0.6,,,0,0,,,,,,,,,,,,,UNBOARDABLE,no_dealer,,0.4,2,2,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Клавес,dpl_claves,,Лаборатория фазового Домена,,,200,10,600,,100,0,,325,500,450,180,360,10,OMNI,,180,0,1,,,1,1,,,,,,,,,,,,,,,0,,,,102,,,,,,,
Тарелки,dpl_cymbals,,Лаборатория фазового Домена,,,300,10,400,,100,0,,325,500,450,180,360,10,OMNI,,180,0,1,,,1,1,,,,,,,,,,,,,,,0,,,,102,,,,,,,
Ксилофон,dpl_xylophone,,Лаборатория фазового Домена,,,200,20,800,,160,0,,285,450,400,180,360,10,OMNI,,180,0,1,,,2,2,,,,,,,,,,,,,,,0,,,,102,,,,,,,
Маримба,dpl_marimba,,Лаборатория фазового Домена,,,300,25,500,,160,0,,300,450,400,180,360,10,OMNI,,180,0,1,,,2,2,,,,,,,,,,,,,,,0,,,,118,,,,,,,
Маримба (атакующая),dpl_marimba_II,,Лаборатория фазового Домена,,,400,25,800,,160,0,,200,450,400,180,360,10,OMNI,,180,0,1,,,2,2,,,,,,,,,,,,,,,0,,,,118,,,,,,,
Песня духа,dpl_song_of_spirit,,Секретно DPL,,,300,20,200,,50,0,,255,350,250,90,180,10,OMNI,,160,0,1,,,1,1,,,,,,,,,,,,,,,0,,,,101,,,,,,,
Хор,dpl_choir,,Высокие технологии,,,750,100,80,,10,0,,200,400,350,90,180,30,OMNI,,160,0,1,,,1,1,,,,,,,,,,,,,,,0,,,,104,,,,,,,
Безмолвный страж,dpl_silence_drone,,Секретно DPL,,,100,10,300,,100,0,,325,500,450,180,360,10,OMNI,,180,0,1,,,0,0,,,,,,,,,,,,,,,0,,,,4,,,,,,,
Оборонительный дрон,dpl_gunboat,,Секретно DPL,,,1000,150,750,,75,0,,240,300,300,180,360,200,OMNI,,360,0,1,,,0,0,,,,,,,,,,,,,,,0,,,,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Фазовый разрыв,dpl_anomaly_fighter,,Лаборатория фазового Домена,,,1500,50,250,,100,0,,240,500,450,180,360,10,NONE,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,102,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Главный эскорт,dpl_end_main,,Неизвестно,,,1500,1000,7500,,800,0,,240,300,300,180,360,200,NONE,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,5,,,,,,,
Рой I,dpl_end_swarm_type_I,,Неизвестно,,,500,200,1000,,250,0,,350,350,350,120,360,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,5,,,,,,,
Рой II,dpl_end_swarm_type_II,,Неизвестно,,,500,200,1000,,250,0,,350,350,350,120,360,50,NONE,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Крестовый поход,dpl_crusade,,Неизвестно,,,1000,500,7500,,800,0,,180,300,300,180,360,200,NONE,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,5,,,,,,,
Слуга,dpl_servant,,Неизвестно,,,600,300,5000,,600,0,,180,300,300,180,360,200,NONE,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,5,,,,,,,
Ученик,dpl_disciple,,Неизвестно,,,1000,500,7500,,800,0,,180,300,300,180,360,200,NONE,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,5,,,,,,,
Последователь,dpl_follower,,Неизвестно,,,600,300,5000,,600,0,,180,300,300,180,360,200,NONE,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,5,,,,,,,
