id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
dpl_claves_wing,dpl_claves_Fighter,"fighter4, fighter, high, dpl_commercial_bp, merc, dpl_wing",2,,5,18,CLAW,4000,450,600,3,FIGHTER,Тяжёлый истребитель,6,6000,,,,,,,,,,,,,6
dpl_xylophone_wing,dpl_xylophone_Interceptor,"interceptor3, interceptor, high, dpl_commercial_bp, merc, dpl_wing",2,,8,21,CLAW,4000,500,700,3,INTERCEPTOR,Тяжёлый перехватчик,12,12500,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
dpl_marimba_wing,dpl_marimba_Interceptor,"interceptor3, interceptor, high, dpl_commercial_bp, merc, dpl_wing",2,,6,18,CLAW,4000,1000,600,6,INTERCEPTOR,Перехватчик,12,10000,,,,,,,,,,,,,10
dpl_cymbals_wing,dpl_cymbals_Fighter,"fighter4, fighter, high, dpl_commercial_bp, merc, dpl_wing",2,,6,12,CLAW,4000,1000,600,6,FIGHTER,Истребитель,6,5000,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dpl_anomaly_fighter,dpl_anomaly_Fighter,"bomber5, bomber, high, dpl_commercial_bp, merc, dpl_wing, dpl_anomaly_drone",3,,6,99999,V,4000,2000,600,1,BOMBER,Особый дрон,25,10000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dpl_choir_wing,dpl_choir_Attacker,"bomber5, bomber, high, dpl_commercial_bp, merc",2,,6,25,V,4000,1000,600,3,BOMBER,Бомбардировщик,10,10000,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dpl_silence_drone_wing,dpl_silence_drone_standard,"no_drop, no_sell, high",3,,5,0,V,0,500,,2,SUPPORT,ПВО,15,10000,,,,,,,,,,,,,19
dpl_gunboat_wing,dpl_gunboat_standard,"no_drop, no_sell, high",3,,5,30,V,0,500,,2,SUPPORT,ПВО,30,10000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dpl_song_of_spirit_wing,dpl_song_of_spirit_standard,"no_drop, no_sell, high, restricted, dpl_wing",3,,10,21,V,4000,2000,600,3,BOMBER,Бомбардировщик,18,150000,,,,,,,,,,,,,11
dpl_marimba_X_wing,dpl_marimba_II_Attacker,"no_drop, no_sell, high, restricted",3,,18,0,V,4000,1000,750,3,BOMBER,Бомбардировщик,2,12000,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dpl_end_swarm_I_wing,dpl_end_swarm_type_I_standard,"auto_fighter, no_drop, no_sell, restricted",3,,7,18,CLAW,4000,450,600,6,INTERCEPTOR,Перехватчик,5,50000,,,,,,,,,,,,,
dpl_end_swarm_II_wing,dpl_end_swarm_type_II_standard,"auto_fighter, no_drop, no_sell, restricted",3,,7,22,BOX,4000,450,600,4,INTERCEPTOR,Перехватчик,8,50000,,,,,,,,,,,,,
dpl_end_main_wing,dpl_end_main_standard,"auto_fighter, no_drop, no_sell, restricted",3,,12,30,V,4000,1000,800,2,INTERCEPTOR,Перехватчик,16,100000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dpl_crusade_wing,dpl_crusade_standard,"auto_fighter, no_drop, no_sell, restricted",3,,24,0,V,4000,1000,800,2,INTERCEPTOR,Перехватчик,20,100000,,,,,,,,,,,,,
dpl_servant_wing,dpl_servant_standard,"auto_fighter, no_drop, no_sell, restricted",3,,24,0,V,4000,1000,800,3,INTERCEPTOR,Перехватчик,20,100000,,,,,,,,,,,,,
dpl_disciple_wing,dpl_disciple_standard,"auto_fighter, no_drop, no_sell, restricted",3,,24,0,V,4000,1000,800,2,INTERCEPTOR,Перехватчик,20,100000,,,,,,,,,,,,,
dpl_follower_wing,dpl_follower_standard,"auto_fighter, no_drop, no_sell, restricted",3,,24,0,V,4000,1000,800,3,INTERCEPTOR,Перехватчик,20,100000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
