name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Импульсный фазовый дизраптор,dpl_fluxdisruptor,,,,,,0.3,,,,0.5,,1,20,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
Фазовая молния,dpl_phase_lightning,2.5,,,,,0.25,,,,1,5,1,5,,,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png
Инжектор энергии,dpl_energyfeed,,,,,,,,,,1,8,1,15,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Специальный сброс потока ракет,dpl_missileflux,,,,,,,,,,1,8,1,20,,,,,,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/ammo_feeder.png
Ракетный перегрузчик,dpl_missileoverload,1,,,,,,,3,0.05,0.25,3,0.25,,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
Система наведения GR,dpl_relativity_targeting,,,0.015,,,,,,,1,,1,10,TRUE,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Фазово-усиленный щит,dpl_phase_enhanced_shield,,,0.02,,,,,,,1.5,,1.5,0,TRUE,,,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/fortress_shield.png
Фазовый световой удар,dpl_mote_strike,,,,,,0.1,,5,0.12,1,,1,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Вечный миг,dpl_eternal_instant,1,,,,,0.25,,,,1,6,2,15,,TRUE,TRUE,,TRUE,,,,,TRUE,,,graphics/icons/hullsys/temporal_shell.png
Экспериментальный аттрактор,dpl_mote_device,,,,,,0,,,,0.1,,0.4,,,,,,,,,,,,,restricted,graphics/icons/hullsys/reserve_deployment.png
Большой форсажный привод,dpl_burndrive,1,,,,,,,,,2,7,1,10,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Вспомогательные двигатели,dpl_plasmajets,,,,,,,,,,0.5,5,0.5,5,,,,,,,,,,,,,graphics/icons/hullsys/infernium_injector.png
Дроны DPL,dpl_drone_station,,,,,,,,4,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Устройство замены,dpl_fast_replacement,,,,,,0.5,,,,0.1,,3,60,,,,,,,,,,,,,graphics/icons/hullsys/reserve_deployment.png
Инъекция дронов,dpl_drone_drive,,,,,,0.5,,,,0.5,20,0.5,10,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Аварийное развертывание,dpl_emergency_deployment,,,,,,0.5,,,,0.1,,3,60,,,,,,,,,,,,,graphics/icons/hullsys/reserve_deployment.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Система «Лонгин»,dpl_experimental_weapon,,,,,,,,,,2.5,1,0.5,8,,,,,,,,,,,,,graphics/icons/hullsys/lidar_barrage.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подавление ЭМИ,dpl_emp_suppression,,,,,,0.3,,,,1,8,1,10,,,,,,,,,TRUE,,,,graphics/icons/hullsys/quantum_disruptor.png
Гравитонная проекция,dpl_graviton_projection,,,,,,0.3,,,,0.5,,1,15,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
Фазовая инкапсуляция,dpl_phase_encapsulation,,,,,,0.3,,,,0.5,,1,18,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
Установка мин,dpl_lay_mines,,,,,,0.1,,8,0.2,0.5,,1.5,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Плазменный индуктор,dpl_plasma_inducer,,,,,,,,,,0.5,5,0.5,20,TRUE,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Плазменная муфта,dpl_plasma_coupling,,,,,,,,,,0.5,5,0.5,10,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Плазменный перезарядник,dpl_plasma_recharger,,,,,,,,,,0.5,,0.5,10,,,,,,,,,,,,restricted,graphics/icons/hullsys/ammo_feeder.png
Плазменный инжектор,dpl_plasma_injector,,,,,,,,,,0.5,5,0.5,5,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Индуктор аномалий,dpl_mote_launcher,,,,,,,,,,0.5,1,0.5,6,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
