name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,,
Требель,dpl_trebel,3,,,450,,2000,,50,5,,2,0.1,,ENERGY,2200,,,5,,,,,,,,1000,,,100,,,"SYSTEM,STRIKE",,,Лаборатория фазового Домена,,Универсальное,,,,,,,,,,106,,
Тремоло,dpl_tremolo,3,,,700,1200,,,0,15,,,,,ENERGY,,1000,0.5,0.25,1,9,,,,,10000,,,,,,,"SYSTEM,SHOW_IN_CODEX,STRIKE,USE_VS_FRIGATES",,,Лаборатория фазового Домена,,Против брони,,,,,,,,,,105,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MRM ""Фонограф""",dpl_phonograph,3,,1500,2500,,250,,15,30,3,8,,,ENERGY,0,,0,1,2,0.5,0,0,0,,,300,100,12.5,150,,,DO_NOT_AIM,"missile8, strike4, dpl_commercial_bp",,,,Универсальное,Средняя,Средняя,,,,,,,TRUE,11.5,,
"Блок MRM ""Фонограф""",dpl_stdphonograph,3,,4000,2500,,250,,15,10,12,32,,,ENERGY,0,,0,8.25,8,0.25,0,0,0,,,300,100,12.5,150,,,DO_NOT_AIM,"missile8, strike4, dpl_commercial_bp",,,,Универсальное,Средняя,Средняя,,,,,,,TRUE,12,,
"Блок MRM ""Граммофон""",dpl_stdgramophone,3,0.5,3000,2000,,100,,90,25,12,72,,,ENERGY,0,,0,3,18,0.25,10,10,0,0,,450,120,15,550,,,"DO_NOT_AIM, HEATSEEKER","missile8, strike4, dpl_commercial_bp",,Лаборатория фазового Домена,,Универсальное,Быстрая,Нет,,,,,,,TRUE,101,,
"Тяжелая пусковая установка ""Граммофон""",dpl_hvygramophone,3,0.4,6000,2000,,100,,90,25,20,120,,,ENERGY,0,,0,5,30,0.15,0,0,0,0,,450,120,15,550,,,"DO_NOT_AIM, HEATSEEKER","missile8, strike4, dpl_commercial_bp",,Лаборатория фазового Домена,,Универсальное,Быстрая,Нет,,,,,,,TRUE,102,,
"MRM ""Граммофон""",dpl_gramophone,3,0.5,1000,2000,,100,,90,10,4,24,,,ENERGY,0,,0,1,6,0.15,0,0,0,0,,450,120,15,550,,,"DO_NOT_AIM, HEATSEEKER","missile8, strike4, dpl_commercial_bp",,Лаборатория фазового Домена,,Универсальное,,,,,,,,,TRUE,103,,
Ноты,dpl_hydraulis_notes,3,,,4000,,300,250,25,15,18,6,0.3,6,ENERGY,325,,0,18,6,0.3,,,,,,300,200,16,400,,,"DO_NOT_AIM, DO_NOT_CONSERVE","restricted, no_drop, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Лаборатория фазового Домена,,Дальняя поддержка (по площади),Быстрая,Средняя,,,"Когда эти моты попадают в цель, каждое попадание перекидывается дугой на оружие и двигатели, нанося энергетический урон с ЭМИ в размере %s от урона оружия. Моты также наносят большой урон звеньям и ракетам.",25%,,,TRUE,104,,
Минима,dpl_minim,3,,,4000,,2400,2000,25,15,,1,0.05,1,ENERGY,2500,,0,18,1,,,,,,,300,200,16,400,,,"SYSTEM,DO_NOT_AIM, DO_NOT_CONSERVE",,,Лаборатория фазового Домена,,Дальняя поддержка (по площади),Быстрая,Средняя,,,"Когда эти моты попадают в цель, каждое попадание перекидывается дугой на оружие и двигатели, нанося энергетический урон с ЭМИ в размере %s от урона оружия. Моты также наносят большой урон звеньям и ракетам.",75%,,,TRUE,104,,
