name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
,,,,,,,,,,,,,,,,,,
Расширенный взрыв,edshipyard_expanded_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.edshipyard.ExpandedExplosion,Увеличивает радиус и урон взрыва.,,graphics/hullmods/expanded_explosion.png
,,,,,,,,,,,,,,,,,,
Удаление предохранителей,edshipyard_safetyremoval,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.SafetyRemoval,"Полное удаление протоколов безопасности увеличивает максимальную скорость корабля в бою на %s/%s/%s/%s в зависимости от размера корабля, с соответствующим ростом ускорения, и позволяет бонусу двигателей при нулевом потоке работать независимо от уровня потока.

Резко снижает дальность оружия за пределами %s единиц на %s процентов.

Увеличивает маневренность на %s процентов.

Нельзя установить на гражданские корабли. Несовместимо с Safety Override.",Резко улучшает боевые характеристики.,graphics/hullmods/safety_removal.png
,,,,,,,,,,,,,,,,,,
Усиленный стабилизатор поля двигателя,edshipyard_greater_drive_field_stabilizer,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.GreatDriveFieldStabilizer,"Стабилизирует двигательную оболочку флота, увеличивая максимальную крейсерскую скорость флота на %s. Эффект нескольких стабилизаторов суммируется.

Увеличивает профиль сенсоров корабля на %s.",Снижает расход топлива всего флота.,graphics/hullmods/great_augmented_drive_field.png
,,,,,,,,,,,,,,,,,,
Малый ангар дронов,edshipyard_small_drone_hangar,,,Верфи ED,special,Истребители,5000,,TRUE,,0,0,0,0,data.hullmods.edshipyard.SmallDroneHangar,Ангары этого корабля намеренно очень тесные и подходят только для малых дронов. Корабль не поддерживает пилотируемые крылья и крылья стоимостью более 12 очков вооружения.,Только дроновые звенья.,graphics/hullmods/drone_hangar.png
,,,,,,,,,,,,,,,,,,
Специализация ПВО,edshipyard_pd_only_weapons,,,Верфи ED,"special, offensive",Оружие,5000,,TRUE,,0,0,0,0,data.hullmods.edshipyard.PDOnlyWeapons,"Все оружейные системы и турели изменены так, чтобы наводиться только на малые и быстрые цели, ограничивая корабль оружием точечной обороны и противоистребительным оружием; все не-ПВО оружие имеет большой шанс отказа.

Дальность ПВО увеличена на %s, а скорость поворота оружия на %s.",Только оружие точечной обороны.,graphics/hullmods/pd_weapons_only.png
,,,,,,,,,,,,,,,,,,
Бомбардировка Пастью Тирана,edshipyard_tyrantmaw_bombardment,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.WurgandalBombard,"Демонстрирует орбитальное превосходство. Открывает огонь из Пасти Тирана и модульного оружия при активном Оке Тирана, нанося огромный урон наземным сооружениям. Увеличивает эффективную силу планетарных рейдов на %s, но не выше общего числа морпехов во флоте. Снижает расход топлива на бомбардировку на %s единиц.",Повышает эффективность рейдов. Сильно снижает расход топлива на бомбардировку.,graphics/hullmods/wurgandal_bombard.png
,,,,,,,,,,,,,,,,,,
Массивный корпус,edshipyard_wurgandal_massivehull,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.WurgandalMassiveHull,"Этот корабль чрезвычайно велик, что дает ему и более мощный массив сенсоров, и тяжелый сенсорный профиль. Увеличивает силу сенсоров на %s и сенсорный профиль на %s. Из-за сложности интеграции такого числа систем обслуживание увеличено на %s.",Увеличивает силу и профиль сенсоров.,graphics/hullmods/wurgandal_massive.png
,,,,,,,,,,,,,,,,,,
