name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.A.R.K.S.,edshipyard_BARKS,5,1,10000,400,,80,160,,10,0,,,,KINETIC,40,,,6,,,,,,,,1500,1500,,,"STRIKE,USE_VS_FRIGATES,ANTI_FTR,PD_ALSO,SYSTEM",,,Верфи ED,,Против истребителей,,,,,Отталкивает врагов при попадании.,,,,TRUE,
L.O.U.D.B.A.R.K.S.,edshipyard_LOUDBARKS,5,1,10000,600,,80,160,,10,0,,,,KINETIC,40,,,6,,,,,,,,1500,1500,,,"STRIKE,USE_VS_FRIGATES,ANTI_FTR,PD_ALSO,SYSTEM",,,Верфи ED,,Против истребителей,,,,,Отталкивает врагов при попадании.,,,,TRUE,
Пасть Тирана,edshipyard_MAW,5,1,1000000,1700,3500,,,200,0,0,1,0.015,,ENERGY,,3000,4,2,4,3,,,,,10000,,,,,"SYSTEM, STRIKE",,,Верфи ED,,Осадное,,,,,"Заряжается 4 секунды и ведет огонь 4 секунды. При полной зарядке высвобождается мощный импульс: луч наносит цели огромный взрывной урон и запускает разрушительную неконтролируемую цепь дуг между кораблями рядом с целью. Огонь из Пасти при активной системе Око Тирана значительно повышает разрушительный потенциал.

Пока Пасть Тирана активна, модули щитов и оружия отключены. Использование этого оружия кратковременно перегружает модули щитов. Прерывание стрельбы сбросом потока или перегрузкой вызывает потерю 25% БГ. Из-за мер безопасности бой начинается с незаряженным оружием.",,,,TRUE,
Нанооблачный метатель,edshipyard_wizard,2,,1500,1000,,500,800,5,25,,,,,ENERGY,1000,,0,10,3,0.1,0,30,5,5,,250,500,10,250,"STRIKE,USE_VS_FRIGATES,GUIDED_POOR,SYSTEM",,,,,Ударное,Медленная,Отличное,,,Доппельгангеры выпускают ложные цели вместо повреждающих дронов.,,,,,4358
Ложный нанооблачный метатель,edshipyard_wizard_fake,2,,1500,1000,,150,300,5,25,,,,,ENERGY,0,,0,10,3,0.1,0,30,5,5,,250,500,10,250,"STRIKE,USE_VS_FRIGATES,GUIDED_POOR,ANTI_FTR,PD,PD_ALSO,SYSTEM",,,,,Противоракетное (область),Медленная,Отличное,,,Каждая ложная цель имеет шанс %s отвлечь ближайшие ракеты.,50%,,,,4358
Нанооблачный шепот,edshipyard_wisp,2,,,500,,10,300,,,,,0,,ENERGY,0,0,0,0.1,3,0.1,90,90,0,0,,300,200,7,1,SYSTEM,,,,,,,,,,,,,,,38
Сигнальный огонь,edshipyard_BLINKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Управление сигналами,edshipyard_CONTROLBLINKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Око Тирана,edshipyard_EYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Ангарный проход,edshipyard_PATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Портал дронов,edshipyard_WINDOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Механические клешни,edshipyard_CLAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Индикатор заряда,edshipyard_WURGBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
