name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#unique bulitin#,,,,,,,,,,,,,,,,,,,
Комплект легкой турели,HSI_LightTurret,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,TRUE,0,0,0,0,data.hullmods.HSILightTurret,,,,
Комплект тяжелой турели,HSI_HeavyTurret,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,TRUE,0,0,0,0,data.hullmods.HSIHeavyTurret,,,,
Турбофокус,HSI_TurboFocus,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSITurboFocus,"Увеличивает дальность Turbo Cannon на %s. Turbo Cannon корабля Conquest соответствует самому дальнобойному неракетному оружию корабля, но не выше 1000.",,,graphics/icons/hullmods/HSI_TurboFocus.png
Скоординированные маневры,HSI_CoordManuvers,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSICoordManuvers,Истребители запускаются катапультой при развертывании. При возвращении или перегруппировке их максимальная скорость повышается на %s. Маневренность истребителей повышается на %s за крыло.,,,graphics/icons/hullmods/HSI_CoordManuvers.png
Гибкий ангар,HSI_FlexibleHangar,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIFlexibleHangarN,"Когда ангар заполнен, дает дополнительную скорость переоснащения и выпускает резервные истребители.",,,graphics/icons/hullmods/HSI_FlexibleHangar.png
Торпедная схема,HSI_TorpedoDesign,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSITorpedoDesign,"Снижает боезапас ракетного оружия на %s, повышает максимальную скорость и ускорение ракет на половину бонуса дальности энергетического оружия. Снижает стоимость ракетного оружия в OP на %s.",,,graphics/icons/hullmods/HSI_TorpedoDesign.png
Временной якорь,HSI_TimeAnchor,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSITimeAnchor,Пиковое время эффективности не зависит от течения времени. Снижает скорость падения CR в бою после окончания пикового времени на %s.,,,graphics/icons/hullmods/HSI_TimeAnchor.png
Карманный капитал,HSI_PocketCapital,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIPocketCapital,Все среднее неракетное оружие наносит на %s больше урона. Увеличивает скорость восстановления боезапаса/зарядов неракетного оружия на %s.,,,graphics/icons/hullmods/HSI_PocketCapital.png
Бесстрашная машина,HSI_Apocalypse,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIApocalypse,"Значительно сокращает время ремонта оружия и двигателей в бою. Повышает максимальную скорость корабля, когда ближайший враг дальше 800su.",,,graphics/icons/hullmods/HSI_DGS.png
Система дрейфа,HSI_Drift,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIDrift,"Рядом с дуговым облаком повышает максимальную скорость корабля на %s, маневренность на %s, скорострельность энергетического оружия на %s и снижает его расход потока на %s.",,,graphics/icons/hullmods/HSI_Drift.png
Freischütz,HSI_Freischutz,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIFreischutz,Оружие выбирает тип магической пули. Все оружие делит общий откат и боезапас. Боезапас восстанавливается только в фазе. Каждая 7-я пуля выбирает случайного врага.,,,
Стратегия фланкера,HSI_FlankerStrategy,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIFlankerStrategy,Приказывает фланкеру держать определенную дистанцию от цели.,,,graphics/icons/hullmods/HSI_DGS.png
Дух,HSI_ElegySystem,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIElegySystem,"""Слышите? Они поют.""",,,graphics/icons/hullmods/HSI_ElegySystem.png
Производство запчастей,HSI_SparePartProduction,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.LogisticsMod.HSISparePartProduction,"Снижает боеготовность, расходуемую флотом при входе в бой, на %s, максимум до %s. Количество доступных в флоте ""Combat Auto-Maintenance Systems"": %s.",,,graphics/icons/hullmods/HSI_SparePartProduction.png
Охотник на левиафанов,HSI_LeviathanHunter,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSILeviathanHunter,"Увеличивает дальность оружия на %s, когда тактическая система полностью активна. +%s урона по капитальным кораблям и крейсерам. Во время %s тактическую систему нельзя активировать; корабль переходит в режим мобильности, повышая скорость на %s и маневренность на %s.",,,graphics/icons/hullmods/HSI_LeviathanHunter.png
Легкая торпедная схема,HSI_LightTorpDesign,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSILightTorpDesign,"Увеличивает стоимость управляемых ракет в OP на %s. Ракетное оружие с регенерацией боезапаса больше его не восстанавливает, но получает запас, эквивалентный %s секундам резервов. Несовместимо с Expanded Missile Racks.",,,graphics/icons/hullmods/HSI_TorpedoDesign.png
Arbalétrier,HSI_Arbaletrier,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIArbaletrier,Значительно сокращает время ремонта оружия и двигателей в бою.,,,
Система энтропийной обратной связи,HSI_EntrophyFeedbackSystem,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIEntrophyFeedbackSystem,,,,graphics/icons/hullmods/HSI_EntrophyFeedback.png
Матричное наведение,HSI_MatrixTargeting,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIMatrixTargeting,"Когда дружественные суда находятся примерно в %s от этого корабля, их дальность увеличивается на %s. Дальность этого корабля увеличивается на %s. Имеет сбалансированную дальность.",,,graphics/icons/hullmods/HSI_MatrixTargeting.png
Улучшенные сенсоры,HSI_EnhancedSensor,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIEnhancedSensor,Увеличивает дальность обзора корабля в бою.,,,
Бездонный охотник,HSI_DeepTorpDesign,2,,Halo Dynamics Ship Industry,"special, no_drop, no_drop_salvage",,0,,TRUE,,0,0,0,0,data.hullmods.HSIDeepTorpDesign,"Увеличивает максимальную скорость и ускорение ракет на величину бонуса дальности энергетического оружия, а также увеличивает дальность ракетного оружия на %s от этого бонуса. Стоимость управляемых ракет в OP повышается на %s.",,,graphics/icons/hullmods/HSI_TorpedoDesign.png
