name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Обратный ход времени,HSI_TimeShift,,,,100,,,,,,0,1.5,0.3,8,,,,,,TRUE,TRUE,TRUE,,TRUE,,,graphics/icons/hullsys/temporal_shell.png
Субпространственный ходок,HSI_SubSpaceWalker,,,,,,,,,,0.6,,0.3,3,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,graphics/icons/hullsys/phase_cloak.png
Крепостной барьер,HSI_FortifiedShield,,,0.025,,,,,,,1.5,,1.5,2,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE,,,graphics/icons/hullsys/fortress_shield.png
Развернуть HMG,HSI_HMGTurretDeploy,,,,,,,,3,0.0333,0.25,,0.25,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
Удар дуговыми минами,ArcMineStrike,,,,,,0.1,,5,0.05,0.25,,0.25,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
Развернуть цитадель,HSI_DeployCitadel,,,,5000,,,,,,2.5,,2,10,,,,,,,,,,TRUE,,,graphics/icons/hullsys/drone_pd_high.png
Торпедная фабрика,HSI_TorpedoFactory,,,,,,0.35,,2,0.075,1.6,0,0.4,2,,,,,,,,,,TRUE,,,graphics/icons/hullsys/missile_autoforge.png
Искажение времени,HSI_TimeWarp,,,,,,0.1,,3,0.07,1,,1,2.5,,,,,TRUE,,,,,TRUE,,,graphics/icons/hullsys/displacer.png
Тактический телепортатор,HSI_TacTeleporter,,,,,,0.15,,2,0.03,1.2,0.3,0.5,25,,,,,,,TRUE,TRUE,,TRUE,,,graphics/icons/hullsys/displacer.png
Молот человечества,HSI_HOH,,,,,,0.01,,3,0.18,,,,3,,,,,,,,,TRUE,TRUE,,,graphics/icons/hullsys/high_energy_focus.png
Осадный режим,HSI_SiegeMode,,0.25,,,,,,,,2.5,,2.5,5,TRUE,,,,,,,,TRUE,TRUE,,,graphics/icons/hullsys/high_energy_focus.png
Траур,HSI_Burial,,,,,,0.05,,,,1.5,,1.5,16,,,,,TRUE,,,,TRUE,TRUE,,restricted,graphics/icons/hullsys/displacer.png
Все или ничего,HSI_TheBet,,,,,,0.25,,1,,5,20,1,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/reserve_deployment.png
Руина,HSI_ElegySystem,,,,,,0.2,,,,0.5,10,1,15,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
Метаморфоза,HSI_ButterflyDive,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,restricted,graphics/icons/hullsys/phase_cloak.png
Асинхронный поток времени,HSI_UnstableTimeFlow,1,,,,,0.5,,,,3,9,2,10,,,,,,,,,,TRUE,,,graphics/icons/hullsys/temporal_shell.png
