id,type,text1,text2,text3,notes
HIVER_emperor,SHIP,"Об этом линкоре Hiver известно крайне мало. Его огромные размеры и тяжелое вооружение внушают страх флотам Corvus, которым приходится с ним сталкиваться.",Линкор,,
HIVER_moth,SHIP,"Об этом эсминце Hiver известно мало. Считается, что он принадлежит к другой породе Hiver из-за отсутствия бронепластин и насекомоподобного вида.",Эсминец,,
HIVER_burrower,SHIP,"Burrower, похоже, относится к более бронированной разновидности Hiver и несет несколько дронов. Корабль оснащен Salvage Gantry для помощи в спасательных и добывающих операциях.",Носитель дронов,,
HIVER_deathfly,SHIP,"Deathfly известен тем, что несет три истребителя Hiver и имеет хорошую броню.",Легкий авианосец,,
HIVER_weevil,SHIP,"Weevil используется Hiver как вооруженный грузовик, и его не стоит недооценивать. Оснащен Salvage Gantry для спасательных и добывающих операций.",Боевой грузовик,,
HIVER_mantabee,SHIP,"На первый взгляд Mantabee кажется бронированным насекомым, но столкновения показывают, что это авианосец с четырьмя летными палубами.",Авианосец,,
HIVER_queen,SHIP,"Queen, предположительно используемый правящей кастой Hiver, тяжело вооружен и имеет шесть ангаров, угрожая любому кораблю Corvus.",Линейный авианосец,,
HIVER_swimmer,SHIP,"Этот бронированный танкер так же быстр, как и жуток на вид.",Танкер,,
HIVER_prince,SHIP,Prince - корабль крейсерского размера из более насекомоподобной линии Hiver. Очень опасен на близкой дистанции.,Крейсер,,
HIVER_chinavia,SHIP,Chinavia - хорошо вооруженный и бронированный грузовой корабль Hiver. Оснащен Salvage Gantry для спасательных и добывающих операций.,Тяжелый боевой грузовик,,
HIVER_snipper,SHIP,С жуткими клешнями Snipper является смертоносным кораблем ближнего боя. Очень быстр и используется в тактике ударил-отошел.,Эсминец,,
HIVER_swallowtail,SHIP,Длинное сегментированное тело Swallowtail усеяно оружейными узлами; считается передней броневой линией тактики Hiver.,Тяжелый крейсер,,
HIVER_viridan,SHIP,"Viridan выглядит как гибрид между насекомоподобной и бронированной школами Hiver. Между эсминцем и крейсером, быстрый застрельщик для налетов.",Эсминец,,
