name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Криоартиллерия,IndEvo_cryoartillery,3,,50000,800,,1000,,50,20,16,,,,FRAGMENTATION,350,,0,1,,,0,3,0.5,3,,800,,,,,,,"energy15, no_dealer, restricted, codex_unlockable",,Replicated,,Универсальное,,,,,,,,,,22.25
Деградатор материи,IndEvo_degrader,3,,25000,600,,25,,5,30,8,,,,HIGH_EXPLOSIVE,50,,0,3,4,0.2,4,4,,,,700,,,,,,,"he10, no_dealer, restricted, codex_unlockable",,Replicated,,Против брони,,,,Spread Pattern,Схема залпа,Каждое попадание дополнительно наносит 100 ед. урона броне в течение 10 секунд. Этот урон не уменьшается бронёй.,,,,22.25
Возмутитель причинности,IndEvo_causalitygun,3,,100000,900,1200,,600,0,7,30,,,,KINETIC,,1360,0.5,0.7,1.6,4,,,,,10000,,,,,,FIRE_WHEN_INEFFICIENT,,"kinetic20, beam17, LR, no_dealer, restricted, codex_unlockable",,Replicated,,Универсальное,,,,,"Попадания по корпусу или броне часто создают дуги к орудиям и двигателям, нанося дополнительный ЭМИ- и энергетический урон. Попадания по щитам могут создать проходящую сквозь щит дугу в зависимости от уровня жёсткого потока у цели.",,,"Попадания по корпусу или броне часто создают дуги к орудиям и двигателям, нанося дополнительный ЭМИ- и энергетический урон. Попадания по щитам могут создать проходящую сквозь щит дугу в зависимости от уровня жёсткого потока у цели.",,29.1
Пульсарный карабин,IndEvo_pulsedcarbine,2,,50000,1000,,80,,5,15,15,30,2.5,10,KINETIC,72,,0,0.1,,,,,,,,1000,,,,,,,"kinetic16, no_dealer, restricted, codex_unlockable",,Replicated,,Против щитов,,,,,"Снаряды могут терять устойчивость и рассеиваться. %s выстрелов долетают до половины максимальной дальности, а %s - до полной дальности.",100% | 50%,,"Снаряды могут терять устойчивость и рассеиваться. %s выстрелов долетают до половины максимальной дальности, а %s - до полной дальности.",,22.25
Циклер разломных импульсов,IndEvo_riftgun,1,,25000,500,,40,,0,50,8,,,,ENERGY,64,,0.333333,0,,,,,,,,1000,,,,,,,"energy11, no_dealer, restricted, codex_unlockable",,Replicated,,Универсальное,,,,,"Снаряды могут создавать разломы при попадании, каждый из которых взрывается и наносит %s урона.",200,,"Снаряды могут создавать разломы при попадании, каждый из которых взрывается и наносит %s урона.",,19.25
Заградитель разломных мин,IndEvo_riftgun_minelayer,0,,,,,200,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Unknown,,,,,,,,,,,,38.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мортирная артиллерия,IndEvo_artillery_mortar,3,,0,5000,,2500,1000,1000,3,40,6,0.1,3,ENERGY,0,,1,2,3,0.75,150,150,0,0,,500,500,10,3000,,,"SYSTEM, DO_NOT_CONSERVE","he20, no_dealer, restricted, no_drop, no_drop_salvage, codex_unlockable",,DSD,,Против брони,,,,,,,,,,25.01
Рельсотронная артиллерия,IndEvo_artillery_railgun,3,,0,5000,,3500,1000,5000,2,,3,0.1,3,KINETIC,0,,5,2,3,1,0,5,5,2.5,,4200,,,500,,,"SYSTEM, DO_NOT_CONSERVE","kinetic20, no_dealer, restricted, no_drop, no_drop_salvage, codex_unlockable",,DSD,,Дальняя поддержка,,,,,,,,,,25.02
Ракетная артиллерия,IndEvo_artillery_missile,3,,0,10000,,6000,1000,1000,3,32,2,0.025,1,ENERGY,0,,0,10,,,,,,,,120,300,900,4000,,,"SYSTEM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","energy20, no_dealer, restricted, no_drop, no_drop_salvage, codex_unlockable",,DSD,,Универсальное,,,,,,,,,,25.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пульсер Хартлейт,hartpulse,1,,4500,700,,150,,0,20,20,30,2,,ENERGY,125,,0.05,0.05,1,,0,10,1,5,,1000,,,,,,,"energy18, no_dealer, restricted, codex_unlockable",,Galatia Academy,,Универсальное,,,,,,,,,,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
