bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,maximumFleetFP,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
jyd_speedball_trucker_hvb,15,spaceCommander,Speedball,Trucker,aggressive,The Truckin Pirates,The Gambler,FEMALE,pirates,graphics/portraits/speedball_trucker.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Когда мне было лет пять, я отчаянно хотела стать пираткой, с шляпой и всем прочим. У меня всё было, и я поднималась в мире! А теперь посмотрите на меня: меня зажимают такие, как вы. Как же низко я пала?""",FALSE,JYD,100000,5,Она всего лишь мелкая рыбёшка. Насколько всё может быть плохо?,JYD_gambler_standard,"lasher_PD,kite_pirates_Raider,shepherd_Frontier",50,1.1,300,1,,,FALSE,FALSE,1,1,1
jyd_operator_hvb,20,spaceCommander,The,Operator,reckless,Operator's Raiders,The Puzzler,MALE,pirates,graphics/portraits/the_operator.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Проклятье вам, злодеи, кто вы такие? И кто вас послал?""",FALSE,JYD,150000,10,"Ваши комиссионные контакты сообщили вам местоположение пирата, известного только как The Operator. Он бывший офицер пиратского клана Brown, а теперь скрывается во внешних системах после их поражения в системе Dogstar. Он летает на модифицированном крейсере и сопровождается небольшим флотом пиратских кораблей низкого и среднего уровня.",JYD_puzzle_standard,"wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier",100,1.2,350,1,,,FALSE,FALSE,1,1,1
jyd_nameless_hvb,20,spaceCommander,The,Nameless,aggressive,The Nameless Project,The Jealousy,MALE,pirates,graphics/portraits/the_nameless.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Я человек удачи и должен искать свою удачу. Неужели меня надо осуждать за то, что я зарабатываю на жизнь? Кто вы такие, чтобы допрашивать и обвинять меня?""",FALSE,JYD,200000,10,"Агенты независимых сил выследили пирата, известного только как The Nameless, до его укрытия. Он известный соратник пиратского лорда Leroy Brown, и Junk Yard Dogs назначили щедрую награду за его устранение.",JYD_jealous_standard,"doom_Support, harbinger_Strike, harbinger_Strike, afflictor_Strike, afflictor_Strike, shade_Assault, shade_Assault",150,1.3,400,1,,,FALSE,FALSE,1,1,1
jyd_rapid_roy_hvb,20,spaceCommander,Rapid,Roy,reckless,Roy's Rapid Ralliers,The Downtown,MALE,pirates,graphics/portraits/rapid_roy.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Судьба свела нас вместе. Хотя нет, на самом деле нас свели зарытые сокровища и пираты.""",FALSE,JYD,250000,10,"Открыт контракт на Rapid Roy, бывшего офицера пиратского клана Brown. Известно, что он летает на изготовленном на заказ крейсере, и такой корабль, безусловно, стоил бы риска, если бы его удалось заполучить. Junk Yard Dogs будут рады его устранению и охотно выплатят щедрую награду.",JYD_downtown_standard,"eagle_d_Assault,wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier,mule_d_pirates_Smuggler,kite_pirates_Raider",200,1.4,450,1,,,FALSE,FALSE,1,1,1
jyd_jim_walker_hvb,25,spaceCommander,Jim,Walker,aggressive,Walker's Rangers,The Slim,MALE,pirates,graphics/portraits/jim_walker.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Если вы все переметнётесь и займётесь своими делами, возможно, со временем я сделаю кого-то из вас своими лейтенантами. Если нет — поблизости есть удобный астероид, где вас можно закопать так, что никто не найдёт. Выбор за вами.""",FALSE,JYD,300000,10,"Когда-то уважаемый таможенный агент Гегемонии, Jim Walker связался с пиратским лордом Leroy Brown после того, как его поймали на взятках за игнорирование контрабандных грузов в пространстве Гегемонии. Теперь он возглавляет опасную банду преступников и разыскивается за пиратство и вымогательство.",JYD_slim_standard,"eagle_Balanced, eagle_Assault, gryphon_FS, falcon_p_Strike, falcon_p_Strike, falcon_CS, hammerhead_Balanced, hammerhead_Balanced, sunder_CS",250,1.5,500,1,,,FALSE,FALSE,1,1,1
jyd_lady_m_hvb,25,spaceAdmiral,Lady,Mississippi,aggressive,The Mississippi Family,The Just Beware,FEMALE,pirates,graphics/portraits/l _miss.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Что до меня, я самая невинная из всех. Меня лишь оклеветали неизвестные лица, завидующие моему величию. Подойди, мелкий холоп, и попробуй вспомнить, как следует обращаться с Леди.""",FALSE,JYD,750000,15,"Junk Yard Dogs назначили особенно крупную награду за пиратку, известную как Lady Mississippi, бывшую высокопоставленную офицершу пиратов Brown. Она ответственна за многочисленные нападения на независимые патрули и грузовые флоты. Известно, что она летает на сильно модифицированном крейсере-авианосце и командует весьма значительным флотом. Убейте её любой ценой, захват не рассматривается.",JYD_justbeware_standard,"afflictor_d_pirates_Strike,falcon_Attack,sunder_Assault,eagle_d_Assault,wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier,mule_d_pirates_Smuggler,kite_pirates_Raider,gremlin_d_pirates_Strike",300,1.6,550,1,,,FALSE,FALSE,1,1,1
jyd_roller_derby_hvb,25,spaceAdmiral,Queen,Rollerderby,reckless,The Roller Derby Revenge,The Six Foot Four,FEMALE,pirates,graphics/portraits/queen_roller_derby.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Как вы смеете прерывать мой день! Вы думаете, что способны тягаться СО МНОЙ? Если среди вас есть мужчина, выходи и дерись как мужчина, за которого себя выдаёшь!""",FALSE,JYD,800000,20,"Согласно сообщениям, обнаружена Queen Roller Derby, третья в командовании клана Brown. Junk Yard Dogs жаждут устранить эту психопатку за её многочисленные преступления и назначили щедрую награду. Известно, что она летает на модифицированном тяжёлом крейсере и сопровождается несколькими бывшими пиратами Brown.",JYD_sixfootfour_standard,"afflictor_d_pirates_Strike,falcon_Attack,sunder_Assault,eagle_d_Assault,wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier,mule_d_pirates_Smuggler,kite_pirates_Raider,gremlin_d_pirates_Strike",350,1.7,600,1,,,FALSE,FALSE,1,1,1
jyd_johnny_hvb,25,spaceAdmiral,Johnny,L,aggressive,The cobras,The Eaglefang,MALE,pirates,graphics/portraits/johnny.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Бей жёстко, бей первым. Я засуну этот корабль тебе так далеко в задницу, что твой экипаж будет управлять тобой!""",FALSE,JYD,850000,20,"Когда-то уважаемый командир оперативной группы Лиги Персея, Johnny связался с пиратским лордом Leroy Brown, где его жестокая тактика сделала его грозным противником и главным стрелком клана Brown. Теперь, после гибели клана, он стал ренегатом и разыскивается за преступления и жестокие убийства. JYD назначили крупную награду за его устранение.",JYD_eaglefang_standard,"eagle_d_Assault,mora_Support,afflictor_d_pirates_Strike,falcon_Attack,sunder_Assault,eagle_d_Assault,wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier,mule_d_pirates_Smuggler,kite_pirates_Raider,gremlin_d_pirates_Strike,cerberus_d_pirates_Shielded",375,1.8,635,1,,,FALSE,FALSE,1,1,1
jyd_treetop_lover_hvb,30,spaceAdmiral,Treetop,Lover,aggressive,Lover's lovlies,The Treetop,MALE,pirates,graphics/portraits/treetop.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Проклятье моей крови, мне жаль, но я не могу отдать вам этот славный корабль. Уходите сейчас, ибо я презираю причинять кому-либо вред, когда это не приносит мне выгоды.""",FALSE,JYD,900000,25,"Тревога! Бывший второй в командовании пиратов Brown был замечен, и за его немедленное устранение назначена награда. Самозваный Treetop Lover летает на изготовленном на заказ линкоре, построенном на незаконные средства, добытые во времена Brown. Его нельзя недооценивать: корабль смертоносен, а сам он, предположительно, формирует новый флот и начинает собственный клан.",JYD_treetop_standard,"eagle_d_Assault,mora_Support,afflictor_d_pirates_Strike,falcon_Attack,sunder_Assault,eagle_d_Assault,wolf_Strike,lasher_PD,kite_pirates_Raider,shepherd_Frontier,mule_d_pirates_Smuggler,kite_pirates_Raider,gremlin_d_pirates_Strike,cerberus_d_pirates_Shielded",400,1.8,650,1,,,FALSE,FALSE,1,1,1
jyd_leroy_brown_hvb,40,spaceMarshal,Leroy,Brown,aggressive,Treetop Lovers,The Continental,MALE,pirates,graphics/portraits/leroy_brown.png,"При приближении к флоту офицер связи сообщает о входящем сигнале. ""Ах, маленькая фракция, которая смогла, наконец-то пришла поиграть. Смотрите, у вас теперь моя бывшая система и база операций. Может, сочтёмся? Месть может насытить вашу душу, но не заблуждайтесь: это конец, а не начало.""",FALSE,JYD,1000000,35,"Junk Yard Dogs объявили открытый контракт на пиратского лорда Leroy Brown, известного налётами и захватами независимых горнодобывающих конвоев. Агентам Гегемонии наконец удалось отследить его и его Raiders до логова за пределами системы. У JYD сейчас недостаточно сил, чтобы справиться с этим боем самостоятельно, поэтому они предлагают независимым подрядчикам щедрую награду. Известно, что он пилотирует уникально модифицированный линкор и командует небольшим флотом украденных кораблей, переделанных под пиратские.",JYD_continental_lincoln,"wolf_d_pirates_Attack, sunder_d_Assault, mule_d_pirates_Standard,  lasher_Assault, kite_pirates_Raider, hound_d_pirates_Standard, hammerhead_d_CS, enforcer_d_pirates_Strike, cerberus_d_pirates_Shielded, brawler_Assault, colossus3_Pirate, atlas2_Standard",450,1.9,700,1,,,FALSE,FALSE,1,1,1
