name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Ballistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteroid Breaker,JYD_ab,1,0.5,1000,400,,50,0,10,85,5,,,,FRAGMENTATION,8,,0,0.3,3,0.1,0,5,1,15,,1000,,,10,,,PD,"pd6, kinetic3, SR, ",,JYD Kinetic,,ПКО,,,,,,,,,,
Long Range Kinetic Drill,JYD_lrk,1,0.5,4600,1200,,200,,20,8,20,,,,KINETIC,200,,0,1,1,,,10,5,10,,800,,,35,,,,"kinetic12, jydwe_bp",,JYD Kinetic,,Против щитов,,,,,,,,,,
Mining Recoilless Blaster,JYD_mrb,1,0.5,2500,800,,220,,15,20,15,,,,HIGH_EXPLOSIVE,150,,0,1,1,,0,15,4,10,,900,,,30,,,,"he16, jydwe_bp",,JYD HE,,Против брони,,,,,,,,,,
Drone PD gun,JYD_abf,1,0.5,800,450,,25,,8,80,2,,,,FRAGMENTATION,4,,0,0.2,1,,0,5,1,10,,1700,,,20,,,PD,"pd6, kinetic3, jydwe_bp",,JYD Kinetic,,ПКО,,,,,,,,,,
Heavy Asteroid Blaster,JYD_hab,2,,1200,500,,26,,10,55,10,,,,FRAGMENTATION,9,,0,0.2,1,0.1,0,5,1,15,,1000,,,35,,,PD,"pd10, SR, jydwe_bp",,JYD Frag,,ПКО,,,,,,,,,,
Light Asteroid Buster Cannon,JYD_labc,0,,195,600,,75,,4,30,2,,,,KINETIC,50,,0,1,1,,0,15,3,10,,500,,,10,,,,"kinetic6, jydwe_bp",,JYD Kinetic,,Против щитов,,,,,,,,,,
Asteroid Buster Cannon,JYD_abc,2,0.5,1600,700,,80,,10,30,6,,,,KINETIC,80,,0.6,0,1,,,5,1,15,,1000,,,50,,,,"kinetic6, jydwe_bp",,JYD Kinetic,,Против щитов,,,,,,,,,,
Medium Asteroid Buster Cannon,JYD_mabc,2,0.5,3300,800,,85,,10,30,11,,,,KINETIC,80,,0.8,0.2,1,,,10,2,12,,1000,,,50,,,,"kinetic14, jydwe_bp",,JYD Kinetic,,Против щитов,,,,,,,,,,
Long Range Asteroid Blaster,JYD_lab,2,0.5,4600,1000,,1333,,30,8,18,,,,HIGH_EXPLOSIVE,1333,,0,5,1,,0,10,5,5,,950,,,55,,,,"kinetic12, jydwe_bp",,JYD HE,,Против брони,,,,,,,,,,
