id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon
,,,,,,,,,,,,
#Boss Core Skills,,,,,,,,,,,,
zea_dawn_boss_core_skill,Рассвет,10000,1,0,,"Прошу, вам нужно передумать! Конструкт Ниан, это... это «Ядро Dawn» - настоящее чудовище! Не знаю, какой документ вас в этом убедил, но послушайте меня: на что бы вы ни рассчитывали, оно сделает гораздо хуже!",Восстановленный журнал покойной д-ра Мириам Каун,TRUE,FALSE,FALSE,"npc_only, ai_core_only",graphics/zea/icons/skills/dawn_boss_core_skill.png
zea_dusk_boss_core_skill,Сумерки,10000,1,0,,"Интеграция человека в Проект была гениальным ходом. Агенты могут подталкивать ядра в фазе, а ядро - мотивировать агента при выходе из нее. Это не безумие, это эволюция!","Руководитель проекта д-р Октавия Ян, на отклоненном стратегическом совещании Tri-Tachyon",TRUE,FALSE,FALSE,"npc_only, ai_core_only",graphics/zea/icons/skills/dusk_boss_core_skill.png
zea_elysia_boss_core_skill,Элизия,10000,1,0,,"Я сделаю всё, чтобы остановить чуму ИИ Tri-Tachyon - но тушить пожар огнем, используя эту так называемую «Небесную Тюрьму», кажется верным способом накликать беду.","Вице-адмирал Элиас Родс, засекреченная связь",TRUE,FALSE,FALSE,"npc_only, ai_core_only",graphics/zea/icons/skills/elysia_boss_core_skill.png
,,,,,,,,,,,,
,,,,,,,,,,,,
#Apt,,,,,,,,,,,,
zea_boss_core_aptitude,,0,,,,,,,,,npc_only,graphics/icons/skills/category_combat.png
zea_dawn_core_aptitude,,0,,,,,,,,,npc_only,graphics/icons/skills/category_combat.png
zea_dusk_core_aptitude,,0,,,,,,,,,npc_only,graphics/icons/skills/category_combat.png
zea_elysian_core_aptitude,,0,,,,,,,,,npc_only,graphics/icons/skills/category_combat.png
