name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Инерционный супернагнетатель,nskr_inertial,2,,Kesteven,"offensive, merc, kesteven, no_drop, no_drop_salvage, codex_require_related",Weapons,8000,,,,8,10,12,15,lostsector.hullmods.Inertial,Корабельное снарядное оружие разгоняется сверх нормы. Неракетное снарядное оружие получает %s текущей скорости корабля как бонусный урон.,,,graphics/hullmods/nskr_inertial.png
Нестабильный потоковый инжектор,nskr_volatile,2,,Kesteven,"special, engines, offensive, merc, kesteven, no_drop, no_drop_salvage, codex_require_related","Weapons, Engines, Special",9000,,,,10,15,25,40,lostsector.hullmods.Volatile,"Модификации потоковой сети корабля значительно повышают эффективность при низком уровне нагрузки, но вызывают серьезную неэффективность, если потоку позволить накапливаться.",,,graphics/hullmods/nskr_volatile.png
Банки высокой емкости,nskr_bigBats,2,,Kesteven,"offensive, merc, kesteven, no_drop, no_drop_salvage, codex_require_related",Special,7000,,,,6,12,20,30,lostsector.hullmods.BigBats,Огромные резервы запасной энергии увеличивают максимум зарядов системы на %s. Также применяется к системам в защитном слоте.,,,graphics/hullmods/nskr_bigBats.png
Защита критических точек,nskr_criticalArmor,2,,Kesteven,"defensive, merc, kesteven, standard, no_drop, no_drop_salvage, codex_require_related",Defenses,6500,,,,8,15,20,40,lostsector.hullmods.CriticalArmor,"Защиту легко бронированных кораблей можно значительно усилить целевыми модификациями критических структурных компонентов. Увеличивает броню корабля с %s/%s/%s/%s до %s/%s/%s/%s единиц, в зависимости от размера корпуса.",Увеличивает броню.,,graphics/hullmods/nskr_criticalArmor.png
,,,,,,,,,,,,,,,,,,,
Связи Kesteven,CHM_kesteven,,,Kesteven,,,,,TRUE,,0,0,0,0,lostsector.hullmods.CHM_kesteven,"Обширная сеть контактов Kesteven позволяет использовать налоговые возвраты, субподрядчиков, дешевый труд, государственные гранты и юридические лазейки, чтобы выжать каждый кредит.

Вы возвращаете %s своих ежемесячных расходов флота, включая припасы, топливо и зарплаты экипажа.",,,graphics/hullmods/nskr_kestevenCC.png
,,,,,,,,,,,,,,,,,,,
Сверхкалиберная батарея,nskr_ultracaliber,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Ultracaliber,"Снарядное оружие, установленное на этом корпусе, специально модифицировано, изменяя характеристики неракетного оружия.",,,graphics/hullmods/nskr_ultracaliber.png
Система ABSORB,nskr_absorption,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Absorption,Обширные модификации корпуса позволяют этому кораблю поглощать энергию входящего огня и перенаправлять ее в оружейные системы.,,,graphics/hullmods/nskr_absorption.png
Усиленные системы,nskr_augmented,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Augmented,Характеристики этого корабля меняются в зависимости от установленных модификаций корпуса.,,,graphics/hullmods/nskr_augmented.png
Усиленное оружие,nskr_augmented_weapons,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Augmented_weapons,"Этот корабль спроектирован так, чтобы адаптироваться к текущей оружейной конфигурации.",,,graphics/hullmods/nskr_augmented_weapons.png
,,,,,,,,,,,,,,,,,,,
Микровесовые магазины,nskr_bigLightMags,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.BigLightMags,Увеличивает боезапас всего малого оружия на %s.,,,graphics/hullmods/nskr_bigLightMags.png
Интеграция тяжелого оружия,nskr_hwi,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Hwi,Снижает стоимость крупного оружия в очках оснащения на %s.,Снижает стоимость крупного баллистического оружия в очках оснащения.,,graphics/hullmods/nskr_hwi.png
Специализация на тяжелых ракетах,nskr_missile_spec,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Missile_spec,"Зарядные и производственные системы этого корабля поддерживают запуск более тяжелых и многочисленных ракет, чем стандартные. Увеличивает емкость ракетных установок на %s и прочность на %s, но снижает маневренность, скорость и скорость поворота.",,,graphics/hullmods/nskr_missile_spec.png
Высокоэнергетические оружейные системы,nskr_acoils,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Acoils,"Среднее энергетическое оружие этого корабля получает %s единиц дополнительной базовой дальности, а все энергетическое оружие тратит на %s меньше потока.",,,graphics/hullmods/nskr_acoils.png
ЭМИ-ядро,nskr_emCore,,,,hide_in_codex,,,,TRUE,,0,0,0,0,lostsector.hullmods.StupidFuckingHax,Техническая запись - не должна появляться в игре!,,,graphics/hullmods/terminator_core.png
,,,,,,,,,,,,,,,,,,,
Охотник на нечестивое,nskr_machineSpirit,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.MachineSpirit,"Оружейные и прицельные системы этого корабля глубоко модифицированы для противодействия автоматизированным судам. Механизм покрыт ручными безделушками и религиозными иконами, и его принцип остается неясным.",,,graphics/hullmods/nskr_machineSpirit.png
Hellspawn dummy,nskr_hellSpawnStats,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.hullmods.HellSpawnStats,,,,graphics/hullmods/nskr_machineSpirit.png
ThronesGift dummy,nskr_holySpirit,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.hullmods.HolySpirit,,,,graphics/hullmods/nskr_machineSpirit.png
Материнский корабль,nskr_mothership,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Mothership,Сам масштаб корабля влияет на эффективность некоторых систем.,,,graphics/hullmods/nskr_mothership.png
Параметры материнского корабля,nskr_mothership_frigate,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.hullmods.MothershipFrigateStats,Сам масштаб корабля влияет на эффективность некоторых систем.,,,graphics/hullmods/nskr_mothership.png
Ядро причинности,nskr_causality,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Causality,"Энергия, извлеченная из обращения времени входящих снарядов, временно накапливается в корабле, давая растущие усиления.",,,graphics/hullmods/nskr_causality.png
Адаптивный протокол,nskr_protocol,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Protocol,"Этот корабль может переключаться между тремя режимами, каждый из которых усиливает двигатели, оружие или защиту. Каждому режиму требуется %s для достижения полной эффективности.","Может менять режимы для усиления оружия, двигателей или защиты.",,graphics/hullmods/nskr_protocol.png
Антиматериальная нагрузка,nskr_aed,,,,hide_in_codex,,,,TRUE,,0,0,0,0,lostsector.hullmods.Aed,"[ОШИБКА БАЗЫ ДАННЫХ:451]OOOOOOoooooooooooooooo E ee 				
[Если проблема сохраняется, обратитесь в ближайший сервисный центр TriPad™ для диагностики и ремонта.]",,,graphics/hullmods/nskr_aed.png
Продвинутый проектор щита,nskr_focused_shield,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Focused_shield,"Продвинутый проектор щита, который усиливает фокусировку по мере роста потока. Увеличивает размер щита до %s, уменьшая его до %s при накоплении потока. Также повышает эффективность щита до %s и скорость разворачивания до %s, масштабируясь от %s при нулевой нагрузке.",Меняет размер и эффективность щита в зависимости от уровня нагрузки,,graphics/hullmods/nskr_focused_shield.png
Многофазные оружейные катушки,nskr_multi_phased,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Multi_phased,"Высокоэнергетические многофазные потоковые катушки повышают эффективность оружейного потока. Затраты потока всего оружия снижаются от %s до %s, масштабируясь с текущим уровнем нагрузки корабля.",,,graphics/hullmods/nskr_multi_phased.png
Утерянный прототип,nskr_lost_prot,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Lost_prot,"Происхождение этого корабля неизвестно, а внутренние системы слишком сложны для простого обслуживания, что повышает ежемесячные расходы на %s. Он также плохо переносит затяжные боевые действия.

Увеличивает скорость падения CR в бою после окончания пикового времени.",Увеличивает ежемесячное обслуживание и падение CR после окончания пикового времени.,,graphics/hullmods/nskr_lost_prot.png
Неизвестное производство,nskr_domain_era,,,,hide_in_codex,,,,TRUE,,0,0,0,0,lostsector.hullmods.Domain_era,"[ОШИБКА БАЗЫ ДАННЫХ:451]OOOOOOoooooooooooooooo E ee 				
[Если проблема сохраняется, обратитесь в ближайший сервисный центр TriPad™ для диагностики и ремонта.]",,,graphics/hullmods/nskr_domain_era.png
,,,,,,,,,,,,,,,,,,,
Rage dummy,nskr_rage_mod,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.hullmods.Rage_mod,,,,
Teleport dummy,nskr_teleport_dummy,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.hullmods.Teleport_dummy,,,,
Takedown dummy,nskr_takedown,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.hullmods.Takedown,,,,
Pullback dummy,nskr_pullback,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.hullmods.Pullback,,,,
HAX,nskr_stupidFuckingHax,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,lostsector.hullmods.StupidFuckingHax,,,,
,,,,,,,,,,,,,,,,,,,
Разрядник потоковой аномалии,nskr_rogue_tech,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Rogue_tech,"Сложный реактор корабля создает искажающую пространство аномалию. Дает плоское увеличение базовой дальности на %s единиц для некрупного энергетического оружия. Скорострельность энергетического оружия всегда повышена на %s, а расход нагрузки снижен.",Усиливает энергетическое оружие в зависимости от уровня нагрузки,,graphics/hullmods/nskr_rogue_tech.png
Корабль Rogue Company,nskr_rogue_co,,,,codex_require_related,,,,TRUE,,0,0,0,0,lostsector.hullmods.Rogue_co,"Сложные бортовые системы позволяют этому кораблю выполнять ограниченные гражданские функции, увеличивая добычу ресурсов при разборе заброшенных станций, остовов и обломков на %s. Это относится только к обычным материалам вроде топлива и припасов.",,,graphics/hullmods/nskr_rogue_co.png
,,,,,,,,,,,,,,,,,,,
