id,name,class,priority,special,requiredMod,notes
farming,Сельское хозяйство,exerelin.world.industry.Farming,2,,,
mining,Добыча,exerelin.world.industry.Mining,3,,,
techmining,Техдобыча,exerelin.world.industry.TechMining,1,,,
refining,Переработка,exerelin.world.industry.Refining,1,,,
lightindustry,Легкая промышленность,exerelin.world.industry.LightIndustry,1,,,
heavyindustry,Тяжелая промышленность,exerelin.world.industry.HeavyIndustry,1,,,
fuelproduction,Производство топлива,exerelin.world.industry.FuelProduction,1,,,
none,Без отрасли,exerelin.world.industry.NullIndustry,1,,,
militarybase,Военная база,exerelin.world.industry.MilitaryBase,0,,,"currently not generated as an economic industry, it's added elsewhere; this just prevents crashes if someone uses it"
commerce,Коммерция,exerelin.world.industry.Commerce,,TRUE,,
waystation,Промежуточная станция,exerelin.world.industry.Waystation,,TRUE,,
cryosanctum,Криосанктум,exerelin.world.industry.Cryosanctum,,TRUE,,
ms_medCenter,Медцентр,exerelin.world.industry.MedCenter,,TRUE,shadow_ships,
ms_supersolar,Массивные солнечные коллекторы,exerelin.world.industry.SuperSolar,,TRUE,shadow_ships,
ii_interstellarbazaar,Межзвездный базар,exerelin.world.industry.ImperialBazaar,,TRUE,Imperium,
#IndEvo_AdAssem,Variable Assembler,exerelin.world.industry.deconomics.VariableAssembler,,TRUE,IndEvo,
IndEvo_ScrapYard,Дворы разборки,exerelin.world.industry.deconomics.SalvageYards,1,,IndEvo,
IndEvo_pirateHaven,Каперская база,exerelin.world.industry.deconomics.PrivateerBase,,TRUE,IndEvo,
IndEvo_dryDock,Доки восстановления,exerelin.world.industry.deconomics.RestorationDocks,,TRUE,IndEvo,
IndEvo_Academy,Академия,exerelin.world.industry.deconomics.Academy,,TRUE,IndEvo,
IndEvo_senate,Сенат,exerelin.world.industry.deconomics.Senate,,TRUE,IndEvo,
IndEvo_ReqCenter,Центр реквизиций,exerelin.world.industry.deconomics.RequisitionsCenter,,TRUE,IndEvo,
victourism,Торговля и туризм,exerelin.world.industry.vic.Tourism,,TRUE,vic,
vicbiolabs,Комплекс биологических исследований,exerelin.world.industry.vic.BioLabs,,TRUE,vic,
vic_revCenter,Центр ревитализации VIC,exerelin.world.industry.vic.RevCenter,,TRUE,vic,
