id,name,class,requiredMod
nanoforge_pristine,Безупречный нанокузнец,exerelin.world.industry.bonus.Nanoforge,
nanoforge_corrupted,Поврежденный нанокузнец,exerelin.world.industry.bonus.Nanoforge,
synchrotron,Синхротрон,exerelin.world.industry.bonus.Synchrotron,
aiCore_heavyindustry,AI-ядро (тяжелая промышленность),exerelin.world.industry.bonus.AICoreHeavyIndustry,
aiCore_fuelprod,AI-ядро (производство топлива),exerelin.world.industry.bonus.AICoreFuelProduction,
aiCore_military,AI-ядро (военная отрасль),exerelin.world.industry.bonus.AICoreMilitary,
aiCore_station,AI-ядро (орбитальная станция),exerelin.world.industry.bonus.AICoreStation,
aiCore_other,AI-ядро (прочее),exerelin.world.industry.bonus.AICoreOther,
aiCore_any,AI-ядро (любое),exerelin.world.industry.bonus.AICoreAny,
population_upsize,Рост населения,exerelin.world.industry.bonus.PopulationUpsize,
vic_soil_nanites2,Растворы трансфигурации,exerelin.world.industry.vic.SoilNanites2,vic
