name,secondary,tags,parents,frequency,reusable
Kaifu,,planet,Godunov,,
Sagan,,planet,Godunov,,
Schwarzschild,,planet,Godunov,,
Oort,,planet,Godunov,,
Huang,,planet,Godunov,,
Hubble,,planet,Godunov,,
Abetti,,planet,Godunov,,
Xenophon,,planet,Groom,,
Khaldun,,planet,Groom,,
Machiavelli,,planet,Groom,,
Crossley,,planet,Groom,,
Jade,,planet,Malachite,,
Emerald,,planet,Malachite,,
Ruby,,planet,Malachite,,
Sapphire,,planet,Malachite,,
Zircon,,planet,Malachite,,
Quartz,,planet,Malachite,,
Pearl,,planet,Malachite,,
Peridot,,planet,Malachite,,
