id,hullIds,name,paintjobFamily,spriteId,unlockedAutomatically,tags,unlockConditions,description
ORA_Aquamarine_Allure,ora_allure,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_allure.png,TRUE,,,
ORA_Aquamarine_Ascension ,ora_ascension,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_ascension.png,TRUE,,,
ORA_Aquamarine_Awareness,ora_awareness,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_awareness.png,TRUE,,,
ORA_Aquamarine_Beatitude,ora_beatitude,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_beatitude.png,TRUE,,,
ORA_Aquamarine_Bliss,ora_bliss,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_bliss.png,TRUE,,,
ORA_Aquamarine_Communion,ora_communion,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_communion.png,TRUE,,,
ORA_Aquamarine_Discernment,ora_discernment,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_discernment.png,TRUE,,,
ORA_Aquamarine_Elevation,ora_elevation,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_elevation.png,TRUE,,,
ORA_Aquamarine_Enlightenment,ora_enlightenment,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_enlightenment.png,TRUE,,,
ORA_Aquamarine_Felicity,ora_felicity,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_felicity.png,TRUE,,,
ORA_Aquamarine_Fervor,ora_fervor,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_fervor.png,TRUE,,,
ORA_Aquamarine_Grace,ora_grace,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_grace.png,TRUE,,,
ORA_Aquamarine_Harmony,ora_harmony,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_harmony.png,TRUE,,,
ORA_Aquamarine_Mirth,ora_mirth,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_mirth.png,TRUE,,,
ORA_Aquamarine_Revelation,ora_revelation,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_revelation.png,TRUE,,,
ORA_Aquamarine_Sanctuary,ora_sanctuary,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_sanctuary.png,TRUE,,,
ORA_Aquamarine_Wisdom,ora_wisdom,Aquamarine,Aquamarine,graphics/Aquamarine/ships/ora_wisdom.png,TRUE,,,
ORA_GreenFractal_Allure,ora_allure,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_allure.png,TRUE,,,
ORA_GreenFractal_Ascension ,ora_ascension,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_ascension.png,TRUE,,,
ORA_GreenFractal_Awareness,ora_awareness,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_awareness.png,TRUE,,,
ORA_GreenFractal_Beatitude,ora_beatitude,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_beatitude.png,TRUE,,,
ORA_GreenFractal_Bliss,ora_bliss,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_bliss.png,TRUE,,,
ORA_GreenFractal_Communion,ora_communion,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_communion.png,TRUE,,,
ORA_GreenFractal_Discernment,ora_discernment,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_discernment.png,TRUE,,,
ORA_GreenFractal_Elevation,ora_elevation,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_elevation.png,TRUE,,,
ORA_GreenFractal_Enlightenment,ora_enlightenment,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_enlightenment.png,TRUE,,,
ORA_GreenFractal_Felicity,ora_felicity,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_felicity.png,TRUE,,,
ORA_GreenFractal_Fervor,ora_fervor,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_fervor.png,TRUE,,,
ORA_GreenFractal_Grace,ora_grace,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_grace.png,TRUE,,,
ORA_GreenFractal_Harmony,ora_harmony,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_harmony.png,TRUE,,,
ORA_GreenFractal_Mirth,ora_mirth,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_mirth.png,TRUE,,,
ORA_GreenFractal_Revelation,ora_revelation,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_revelation.png,TRUE,,,
ORA_GreenFractal_Sanctuary,ora_sanctuary,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_sanctuary.png,TRUE,,,
ORA_GreenFractal_Wisdom,ora_wisdom,Green Fractal,GreenFractal,graphics/GreenFractal/ships/ora_wisdom.png,TRUE,,,
ORA_Gunmetal_Allure,ora_allure,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_allure.png,TRUE,,,
ORA_Gunmetal_Ascension ,ora_ascension,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_ascension.png,TRUE,,,
ORA_Gunmetal_Awareness,ora_awareness,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_awareness.png,TRUE,,,
ORA_Gunmetal_Beatitude,ora_beatitude,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_beatitude.png,TRUE,,,
ORA_Gunmetal_Bliss,ora_bliss,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_bliss.png,TRUE,,,
ORA_Gunmetal_Communion,ora_communion,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_communion.png,TRUE,,,
ORA_Gunmetal_Discernment,ora_discernment,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_discernment.png,TRUE,,,
ORA_Gunmetal_Elevation,ora_elevation,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_elevation.png,TRUE,,,
ORA_Gunmetal_Enlightenment,ora_enlightenment,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_enlightenment.png,TRUE,,,
ORA_Gunmetal_Felicity,ora_felicity,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_felicity.png,TRUE,,,
ORA_Gunmetal_Fervor,ora_fervor,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_fervor.png,TRUE,,,
ORA_Gunmetal_Grace,ora_grace,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_grace.png,TRUE,,,
ORA_Gunmetal_Harmony,ora_harmony,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_harmony.png,TRUE,,,
ORA_Gunmetal_Mirth,ora_mirth,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_mirth.png,TRUE,,,
ORA_Gunmetal_Revelation,ora_revelation,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_revelation.png,TRUE,,,
ORA_Gunmetal_Sanctuary,ora_sanctuary,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_sanctuary.png,TRUE,,,
ORA_Gunmetal_Wisdom,ora_wisdom,Gunmetal,Gunmetal,graphics/Gunmetal/ships/ora_wisdom.png,TRUE,,,
ORA_Imperial_Allure,ora_allure,Imperial,Imperial,graphics/Imperial/ships/ora_allure.png,TRUE,,,
ORA_Imperial_Ascension ,ora_ascension,Imperial,Imperial,graphics/Imperial/ships/ora_ascension.png,TRUE,,,
ORA_Imperial_Awareness,ora_awareness,Imperial,Imperial,graphics/Imperial/ships/ora_awareness.png,TRUE,,,
ORA_Imperial_Beatitude,ora_beatitude,Imperial,Imperial,graphics/Imperial/ships/ora_beatitude.png,TRUE,,,
ORA_Imperial_Bliss,ora_bliss,Imperial,Imperial,graphics/Imperial/ships/ora_bliss.png,TRUE,,,
ORA_Imperial_Communion,ora_communion,Imperial,Imperial,graphics/Imperial/ships/ora_communion.png,TRUE,,,
ORA_Imperial_Discernment,ora_discernment,Imperial,Imperial,graphics/Imperial/ships/ora_discernment.png,TRUE,,,
ORA_Imperial_Elevation,ora_elevation,Imperial,Imperial,graphics/Imperial/ships/ora_elevation.png,TRUE,,,
ORA_Imperial_Enlightenment,ora_enlightenment,Imperial,Imperial,graphics/Imperial/ships/ora_enlightenment.png,TRUE,,,
ORA_Imperial_Felicity,ora_felicity,Imperial,Imperial,graphics/Imperial/ships/ora_felicity.png,TRUE,,,
ORA_Imperial_Fervor,ora_fervor,Imperial,Imperial,graphics/Imperial/ships/ora_fervor.png,TRUE,,,
ORA_Imperial_Grace,ora_grace,Imperial,Imperial,graphics/Imperial/ships/ora_grace.png,TRUE,,,
ORA_Imperial_Harmony,ora_harmony,Imperial,Imperial,graphics/Imperial/ships/ora_harmony.png,TRUE,,,
ORA_Imperial_Mirth,ora_mirth,Imperial,Imperial,graphics/Imperial/ships/ora_mirth.png,TRUE,,,
