id,paintjobFamilies,weaponIds,spriteMap
ORA_Aquamarine_Animus,Aquamarine,ora_animus,"graphics/ORA/weapons/ora_animusH.png -> graphics/Aquamarine/weapons/ora_animusH.png, graphics/ORA/weapons/ora_animusT.png -> graphics/Aquamarine/weapons/ora_animusT.png "
ORA_Aquamarine_Calling,Aquamarine,ora_calling,"graphics/ORA/weapons/ora_callingH.png -> graphics/Aquamarine/weapons/ora_callingH.png, graphics/ORA/weapons/ora_callingT.png -> graphics/Aquamarine/weapons/ora_callingT.png "
ORA_Aquamarine_Choir,Aquamarine,ora_choir,"graphics/ORA/weapons/ora_choirT.png -> graphics/Aquamarine/weapons/ora_choirT.png, graphics/ORA/weapons/ora_choirH.png -> graphics/Aquamarine/weapons/ora_choirH.png"
ORA_Aquamarine_Echoes,Aquamarine,ora_echoes,"graphics/ORA/weapons/ora_echoesT.png -> graphics/Aquamarine/weapons/ora_echoesT.png, graphics/ORA/weapons/ora_echoesH.png -> graphics/Aquamarine/weapons/ora_echoesH.png"
ORA_Aquamarine_Eschewal,Aquamarine,ora_eschewal,"graphics/ORA/weapons/ora_eschewalT.png -> graphics/Aquamarine/weapons/ora_eschewalT.png, graphics/ORA/weapons/ora_eschewalH.png -> graphics/Aquamarine/weapons/ora_eschewalH.png"
ORA_Aquamarine_Eschewal_Fighter,Aquamarine,ora_eschewalFighter,graphics/ORA/weapons/ora_eschewalF.png -> graphics/Aquamarine/weapons/ora_eschewalF.png
ORA_Aquamarine_Incantation,Aquamarine,ora_incantation,"graphics/ORA/weapons/ora_incantationT.png -> graphics/Aquamarine/weapons/ora_incantationT.png, graphics/ORA/weapons/ora_incantationH.png -> graphics/Aquamarine/weapons/ora_incantationH.png"
ORA_Aquamarine_Invocation,Aquamarine,ora_invocation,"graphics/ORA/weapons/ora_invocationT.png -> graphics/Aquamarine/weapons/ora_invocationT.png, graphics/ORA/weapons/ora_invocationH.png -> graphics/Aquamarine/weapons/ora_invocationH.png"
ORA_Aquamarine_Litany,Aquamarine,ora_litany,"graphics/ORA/weapons/ora_litanyT.png -> graphics/Aquamarine/weapons/ora_litanyT.png, graphics/ORA/weapons/ora_litanyH.png -> graphics/Aquamarine/weapons/ora_litanyH.png"
ORA_Aquamarine_Prayer,Aquamarine,ora_prayer,"graphics/ORA/weapons/ora_prayerT.png -> graphics/Aquamarine/weapons/ora_prayerT.png, graphics/ORA/weapons/ora_prayerH.png -> graphics/Aquamarine/weapons/ora_prayerH.png"
ORA_Aquamarine_Recital,Aquamarine,ora_recital,"graphics/ORA/weapons/ora_recitalT.png -> graphics/Aquamarine/weapons/ora_recitalT.png, graphics/ORA/weapons/ora_recitalH.png -> graphics/Aquamarine/weapons/ora_recitalH.png"
ORA_Aquamarine_Sempiternal,Aquamarine,ora_sempiternal,"graphics/ORA/weapons/ora_sempiternalT.png -> graphics/Aquamarine/weapons/ora_sempiternalT.png, graphics/ORA/weapons/ora_sempiternalH.png -> graphics/Aquamarine/weapons/ora_sempiternalH.png, graphics/ORA/weapons/ora_sempiternalTB.png -> graphics/Aquamarine/weapons/ora_sempiternalTB.png, graphics/ORA/weapons/ora_sempiternalHB.png -> graphics/Aquamarine/weapons/ora_sempiternalHB.png"
ORA_GreenFractal_Animus,GreenFractal,ora_animus,"graphics/ORA/weapons/ora_animusH.png -> graphics/GreenFractal/weapons/ora_animusH.png, graphics/ORA/weapons/ora_animusT.png -> graphics/GreenFractal/weapons/ora_animusT.png "
ORA_GreenFractal_Calling,GreenFractal,ora_calling,"graphics/ORA/weapons/ora_callingH.png -> graphics/GreenFractal/weapons/ora_callingH.png, graphics/ORA/weapons/ora_callingT.png -> graphics/GreenFractal/weapons/ora_callingT.png "
ORA_GreenFractal_Choir,GreenFractal,ora_choir,"graphics/ORA/weapons/ora_choirT.png -> graphics/GreenFractal/weapons/ora_choirT.png, graphics/ORA/weapons/ora_choirH.png -> graphics/GreenFractal/weapons/ora_choirH.png"
ORA_GreenFractal_Echoes,GreenFractal,ora_echoes,"graphics/ORA/weapons/ora_echoesT.png -> graphics/GreenFractal/weapons/ora_echoesT.png, graphics/ORA/weapons/ora_echoesH.png -> graphics/GreenFractal/weapons/ora_echoesH.png"
ORA_GreenFractal_Eschewal,GreenFractal,ora_eschewal,"graphics/ORA/weapons/ora_eschewalT.png -> graphics/GreenFractal/weapons/ora_eschewalT.png, graphics/ORA/weapons/ora_eschewalH.png -> graphics/GreenFractal/weapons/ora_eschewalH.png"
ORA_GreenFractal_Eschewal_Fighter,GreenFractal,ora_eschewalFighter,graphics/ORA/weapons/ora_eschewalF.png -> graphics/GreenFractal/weapons/ora_eschewalF.png
ORA_GreenFractal_Incantation,GreenFractal,ora_incantation,"graphics/ORA/weapons/ora_incantationT.png -> graphics/GreenFractal/weapons/ora_incantationT.png, graphics/ORA/weapons/ora_incantationH.png -> graphics/GreenFractal/weapons/ora_incantationH.png"
ORA_GreenFractal_Invocation,GreenFractal,ora_invocation,"graphics/ORA/weapons/ora_invocationT.png -> graphics/GreenFractal/weapons/ora_invocationT.png, graphics/ORA/weapons/ora_invocationH.png -> graphics/GreenFractal/weapons/ora_invocationH.png"
ORA_GreenFractal_Litany,GreenFractal,ora_litany,"graphics/ORA/weapons/ora_litanyT.png -> graphics/GreenFractal/weapons/ora_litanyT.png, graphics/ORA/weapons/ora_litanyH.png -> graphics/GreenFractal/weapons/ora_litanyH.png"
ORA_GreenFractal_Prayer,GreenFractal,ora_prayer,"graphics/ORA/weapons/ora_prayerT.png -> graphics/GreenFractal/weapons/ora_prayerT.png, graphics/ORA/weapons/ora_prayerH.png -> graphics/GreenFractal/weapons/ora_prayerH.png"
ORA_GreenFractal_Recital,GreenFractal,ora_recital,"graphics/ORA/weapons/ora_recitalT.png -> graphics/GreenFractal/weapons/ora_recitalT.png, graphics/ORA/weapons/ora_recitalH.png -> graphics/GreenFractal/weapons/ora_recitalH.png"
ORA_GreenFractal_Sempiternal,GreenFractal,ora_sempiternal,"graphics/ORA/weapons/ora_sempiternalT.png -> graphics/GreenFractal/weapons/ora_sempiternalT.png, graphics/ORA/weapons/ora_sempiternalH.png -> graphics/GreenFractal/weapons/ora_sempiternalH.png, graphics/ORA/weapons/ora_sempiternalTB.png -> graphics/GreenFractal/weapons/ora_sempiternalTB.png, graphics/ORA/weapons/ora_sempiternalHB.png -> graphics/GreenFractal/weapons/ora_sempiternalHB.png"
ORA_Gunmetal_Animus,Gunmetal,ora_animus,"graphics/ORA/weapons/ora_animusH.png -> graphics/Gunmetal/weapons/ora_animusH.png, graphics/ORA/weapons/ora_animusT.png -> graphics/Gunmetal/weapons/ora_animusT.png "
ORA_Gunmetal_Calling,Gunmetal,ora_calling,"graphics/ORA/weapons/ora_callingH.png -> graphics/Gunmetal/weapons/ora_callingH.png, graphics/ORA/weapons/ora_callingT.png -> graphics/Gunmetal/weapons/ora_callingT.png "
ORA_Gunmetal_Choir,Gunmetal,ora_choir,"graphics/ORA/weapons/ora_choirT.png -> graphics/Gunmetal/weapons/ora_choirT.png, graphics/ORA/weapons/ora_choirH.png -> graphics/Gunmetal/weapons/ora_choirH.png"
ORA_Gunmetal_Echoes,Gunmetal,ora_echoes,"graphics/ORA/weapons/ora_echoesT.png -> graphics/Gunmetal/weapons/ora_echoesT.png, graphics/ORA/weapons/ora_echoesH.png -> graphics/Gunmetal/weapons/ora_echoesH.png"
ORA_Gunmetal_Eschewal,Gunmetal,ora_eschewal,"graphics/ORA/weapons/ora_eschewalT.png -> graphics/Gunmetal/weapons/ora_eschewalT.png, graphics/ORA/weapons/ora_eschewalH.png -> graphics/Gunmetal/weapons/ora_eschewalH.png"
ORA_Gunmetal_Eschewal_Fighter,Gunmetal,ora_eschewalFighter,graphics/ORA/weapons/ora_eschewalF.png -> graphics/Gunmetal/weapons/ora_eschewalF.png
ORA_Gunmetal_Incantation,Gunmetal,ora_incantation,"graphics/ORA/weapons/ora_incantationT.png -> graphics/Gunmetal/weapons/ora_incantationT.png, graphics/ORA/weapons/ora_incantationH.png -> graphics/Gunmetal/weapons/ora_incantationH.png"
ORA_Gunmetal_Invocation,Gunmetal,ora_invocation,"graphics/ORA/weapons/ora_invocationT.png -> graphics/Gunmetal/weapons/ora_invocationT.png, graphics/ORA/weapons/ora_invocationH.png -> graphics/Gunmetal/weapons/ora_invocationH.png"
ORA_Gunmetal_Litany,Gunmetal,ora_litany,"graphics/ORA/weapons/ora_litanyT.png -> graphics/Gunmetal/weapons/ora_litanyT.png, graphics/ORA/weapons/ora_litanyH.png -> graphics/Gunmetal/weapons/ora_litanyH.png"
ORA_Gunmetal_Prayer,Gunmetal,ora_prayer,"graphics/ORA/weapons/ora_prayerT.png -> graphics/Gunmetal/weapons/ora_prayerT.png, graphics/ORA/weapons/ora_prayerH.png -> graphics/Gunmetal/weapons/ora_prayerH.png"
