id,type,text1,text2,text3,notes
,,,,,
,,,,,
# WEAPONS WEAPONS WEAPONS
,,,,,
,,,,,
,,,,,
#CHOIR
,,,,,
,,,,,
,,,,,
ora_choir,WEAPON,"Ion Cannon увеличенной дальности, настроенная на эффективное нарушение взрывателей и двигателей вражеских ракет. Из-за недоверия Третьего Собрания к лучевому оружию они выкупили права на производство этой устаревшей, но надежной системы ПКО.",ПКО,,
,,,,,
,,,,,
,,,,,
#LITANY
,,,,,
,,,,,
,,,,,
ora_litany,WEAPON,"Малоизвестная ветвь бластерного оружия, Litany почти не использовалась до Великого Коллапса. Для малого энергетического оружия она имела впечатляющую дальность и урон, но неточность зарядов и низкая длительная скорострельность отпугивали покупателей.",Ближняя поддержка,,
,,,,,
,,,,,
,,,,,
#RECITAL
,,,,,
,,,,,
,,,,,
ora_recital,WEAPON,"Скорострельное плазменное оружие, использующее остаточное тепло предыдущего выстрела для формирования следующего. Чем длиннее очередь, тем выше темп и лучше эффективность нагрузки.",Штурмовое,,
,,,,,
,,,,,
,,,,,
#ANIMUS
,,,,,
,,,,,
,,,,,
ora_animus,WEAPON,"Короткодействующий, но смертоносный Animus Blaster - глубокая модификация старых открытых чертежей Anti-Matter Blaster первого поколения. Увеличенная турель позволяет питать оружие из защищенных топливных резервов корабля.",Ударное,,
,,,,,
,,,,,
,,,,,
#ESCHEWAL
,,,,,
,,,,,
,,,,,
ora_eschewal,WEAPON,"Лицензированная модификация Heavy Blaster. Вторичное магнитное поле удерживает плазменный заряд намного дольше, резко повышая дальность, но снижая начальную скорость.",Огневая поддержка,,
,,,,,
,,,,,
,,,,,
#ECHOES
,,,,,
,,,,,
,,,,,
ora_echoes,WEAPON,"Тяжелый ионный бластер, обменивающий ЭМИ-урон на универсальность. Может служить артиллерией поддержки, отключающей корабли, или мощной ПКО против малых целей и ракет.",Огневая поддержка,,
,,,,,
,,,,,
,,,,,
#PRAYER
,,,,,
,,,,,
,,,,,
ora_prayer,WEAPON,"Ракетная установка насыщения с ограниченной перезарядкой, созданная для раннего давления на врага и навязывания выгодного боя.",Огневая поддержка,,
,,,,,
,,,,,
,,,,,
#INVOCATION
,,,,,
,,,,,
,,,,,
ora_invocation,WEAPON,"Фазированная первая ступень, ограниченное дальнее наведение и широкий радиус детонации делают Invocation почти абсолютным оружием. Его сдерживают абсурдные требования к установке и поток при стрельбе.",Огневая поддержка,,
,,,,,
,,,,,
,,,,,
#SEMPITERNAL
,,,,,
,,,,,
,,,,,
ora_sempiternal,WEAPON,"Оружие для наказания малых целей, подходящих слишком близко к кораблям Альянса. Заказано как короткодистанционное средство запрета зоны против юрких фрегатов.",Штурмовое,,
,,,,,
,,,,,
,,,,,
#CALLING
,,,,,
,,,,,
,,,,,
ora_calling,WEAPON,"Грубое решение проблемы ранних плазменных сфер: Calling Scatterer умножает число параллельных пускателей, перегружая оборону врага и гарантируя часть попаданий.",Штурмовое,,
,,,,,
,,,,,
,,,,,
#INCANTATION
,,,,,
,,,,,
,,,,,
ora_incantation,WEAPON,"Спаренное усиленное ядро Plasma Cannon, создающее более мощные разряды ценой отсутствия длительной скорострельности и точности.",Артиллерия,,
,,,,,
,,,,,
,,,,,
