name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Formula,,,,,,#=(U2*H2)/(S2+T2+((U2-1)*V2)),,,,,,,,,,,#=(U2*Q2)/(S2+T2+((U2-1)*V2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choir Emitter,ora_choir,0,,350,500,,25,40,0,50,7,,,,ENERGY,15,,0,0.6,5,0.1,5,10,2,10,,1000,,,,,,PD,"pd8,utility10,energy5,ora_wep_bp",,Outer Rim Alliance,,ПКО,,,,,%s: С высокой вероятностью выводит ракету из строя.,Warhead Disruption,,,,
#Litany Thrower,ora_litany,1,,650,700,,150,,100,90,7,6,1,,ENERGY,150,,0.5,0.5,99999,0.25,5,15,2,5,,400,,,20,0.5,,"NO_TURN_RATE_BOOST_WHEN_IDLE, DO_NOT_CONSERVE","energy10,ora_wep_bp",,Outer Rim Alliance,,Универсальное,,,,,,,,,,
#Recital Deliverer,ora_recital,0,,500,500,,45,,,90,6,,,,ENERGY,30,,0,0.25,,,0,7.5,0.5,5,,1000,,,20,,,"DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","energy9,ora_wep_bp",,Outer Rim Alliance,,Ударное,,,,,"Урон/сек растет: %s > %s, поток/сек снижается: %s > %s",180|450|340|300,"%s: При открытии огня создает %s дополнительного потока; с длинной очередью эта величина падает, а скорострельность растет. Максимальная эффективность достигается на %s выстреле.",Variable Efficiency|300%|10th,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litany Thrower,ora_litany,1,,650,600,,150,,100,90,7,,,,ENERGY,135,,0.5,2,3,0.25,5,15,2,5,,400,,,20,0.5,,"NO_TURN_RATE_BOOST_WHEN_IDLE, DO_NOT_CONSERVE","energy10,ora_wep_bp",,Outer Rim Alliance,,Универсальное,,,Средняя,,,,,,,
Recital Deliverer,ora_recital,0,,500,500,,30,,,90,6,,,,ENERGY,20,,0,0.25,,,0,7.5,0.5,5,,1000,,,20,,,"DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","energy9,ora_wep_bp",,Outer Rim Alliance,,Ударное,,,,,"Урон/сек растет: %s > %s, поток/сек снижается: %s > %s",120|300|240|200,"%s: При открытии огня создает %s дополнительного потока; с длинной очередью эта величина падает, а скорострельность растет. Максимальная эффективность достигается на %s выстреле.",Variable Efficiency|300%|10th,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animus Blaster,ora_animus,2,,3500,500,,1400,,300,12,16,2,0.2,1,ENERGY,2000,,0.25,2.5,2,0.25,5,15,10,1,,1000,,,100,,,"STRIKE,USE_VS_FRIGATES","strike15,SR,rare_bp",,Outer Rim Alliance,,Ударное,,,,,,,,,,
Eschewal Projector,ora_eschewal,0,,2000,800,,500,,0,60,13,,,,ENERGY,360,,0,3.9,2,0.1,1,10,1,5,,450,,,,0.5,,NO_TURN_RATE_BOOST_WHEN_IDLE,"energy14,LR,ora_wep_bp,rare_bp",,Outer Rim Alliance,,Давление с большой дистанции,,,Медленная,,%s: Попадания по корпусу или броне гасят скорость цели на %s. При попадании по щитам эффект вдвое слабее.,Inertial disruption|25%,,,,
