name,gender,usage,category
Nugzork,,f,ork
Azugar,,f,ork
Skarkrusha,,"f, l",ork
Jawcrackah,,"f, l",ork
Firebasha,,l,ork
Eadclompa,,l,ork
Azgugar,,f,ork
Snutgragus,,"f, l",ork
Bonespitta,,l,ork
Snotux,,f,ork
Wagturk,,"f, l",ork
Vrugdokh,,f,ork
Skargrim,,f,ork
Gorgrod,,f,ork
Nazdrekh,,f,ork
Domehackah,,l,ork
Skarhacka,,l,ork
Crowntrasha,,l,ork
Goreshreddah,,l,ork
Shroomsmasha,,l,ork
Gitstompa,,l,ork
'elldiva,,l,ork
Gruktug,,"f, l",ork
Skurlox,,"f, l",ork
Khutznug,,f,ork
Deffhead,,l,ork
Darkkrumpa,,"f, l",ork
Rekkslashah,,"f, l",ork
Dazdragus,,f,ork
Ukurd,,f,ork
Smatgrukh,,"f, l",ork
Faceshreddah,,l,ork
Bonebreakah,,l,ork
Grimclompa,,f,ork
Ghaktaz,,f,ork
Braingutta,,l,ork
Madcrushah,,"f, l",ork
'Eadcrumpa,,l,ork
Godsmashah,,l,ork
Trorgrard,,f,ork
Grakkad,,f,ork
Klawskar,,"f, l",ork
Orgrurd,,f,ork
Gorbad,,f,ork
Azhag,,f,ork
Uzgrom,,f,ork
Ughulhard,,"f, l",ork
Rekkkraka,,l,ork
Zruskram,,f,ork
Igduz,,f,ork
Jawfist,,"f, l",ork
Glumrippa,,"f, l",ork
Glug,,f,ork
Glum,,f,ork
Zadrazz,,f,ork
Kuragas,,f,ork
loothoarda,,l,ork
Shipbreaka,,l,ork
Bludflag,,l,ork
Gorgutz,,f,ork
