name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Орочий корабль,ls_orky,0,,,,,,,TRUE,,0,0,0,0,data.hullmods.ls_orky,"Эта посудина сделана парнями по-настоящему орочьей. Теперь она летит быстрей и крушит все как надо! ВААААГХ!

Любовь орков к скорости неизбежно приводит к самым разным переделкам, чтобы их корабли летели быстрее. С другой стороны, полное пренебрежение обслуживанием и нормальным наведением снижает надежность и точность, зато у таких кораблей обычно меньше уязвимых деталей, которые можно повредить в бою.

- Максимальная скорость увеличена на %s/%s/%s/%s ед.
- Дальность баллистического и энергетического оружия снижена на %s 
- Отдача оружия увеличена на %s
- Пиковое время боеготовности снижено на %s
- Прочность оружия и двигателей увеличена на %s
- Корабль наносит на %s больше урона при столкновениях и получает на %s меньше урона от взрывающихся кораблей.

Орочья переделка уже превратила стандартные протоколы безопасности в шутку, так что установка обычных аварийных форсажей на этот корабль бессмысленна.",,,graphics/hullmods/orky.png
Смерточерепа,ls_deathskull,0,,,,,,,TRUE,,0,0,0,0,data.hullmods.ls_deathskulls,"Эта рухлядь теперь годится для настоящего лута. Где моя синяя краска, хе-хе.

Даже среди орков Смерточерепа известны своей страстью к воровству и трофеям. Неудивительно, что они забивают все закоулки кораблей украденными деталями, так что запасные части всегда под рукой, когда нужен ремонт.

Смерточерепа суеверно верят, что синий цвет приносит удачу. Как ни странно, их выкрашенные в синий корабли действительно подозрительно часто избегают части повреждений.

- Скорость ремонта оружия и двигателей увеличена на %s
- Получает %s/%s/%s/%s очков брони только для расчета урона, истребители получают %s",,,graphics/hullmods/DS.png
Мек-спешл,ls_mek,0,,,,,,,TRUE,,0,0,0,0,data.hullmods.ls_mek,"На этом корабле стоят самые большие и блестящие генераты, чтобы все ззаппы и бласты получали правильный сок! Эй, не трогай это!

Этот корабль особенно 'кастомизирован' мекбоем и еще безумнее обычного орочьего боевого корабля. Разные полезные детали и прибамбасы повышают скорость ремонта корабля на %s, а перегруженные генераторы повышают урон энергетического оружия на %s.

Однако перегруженная и опасная схема энергосистем делает корабль крайне уязвимым к отказам питания, увеличивая длительность перегрузки на %s и получаемый ЭМИ-урон на %s.",,,graphics/hullmods/mek.png
Дурные Луны,ls_badmoons,0,,,,,,,TRUE,,0,0,0,0,data.hullmods.ls_badmoons,"У нас больше всех зубов, самый шикарный корабль и больше всего дакки! Вот почему мы лучшие!

Дурные Луны - самый богатый из орочьих кланов, что-то вроде торговой касты. Эти орки предпочитают роскошный и утонченный образ жизни, по орочьим меркам, и тратят богатство на самые шикарные штуки и прибамбасы. Поэтому их снаряжение обычно лучше среднего орочьего.

В бою Дурные Луны тоже любят держаться подальше и демонстрировать подавляющую дальнобойную мощь, вместо того чтобы 'лезть в драку'.

- Максимальная боеготовность увеличена на %s
- Дальность энергетического и баллистического оружия увеличена на %s/%s/%s/%s
- Дальность энергетического и баллистического оружия истребителей увеличена на %s",,,graphics/hullmods/BM.png
Злые Солнца,ls_evilsuns,0,,,,,,,TRUE,,0,0,0,0,data.hullmods.ls_evilsuns,"Красные летят быстрее!

Злые Солнца - орочий клан, помешанный на скорости и максимально громком шуме в бою. Они приняли орочью веру в то, что покрашенное красным едет быстрее; и, как вера Смерточерепов в удачный синий цвет, это почему-то дает заметный прирост скорости и маневренности.

- Маневренность увеличена на %s 
- Максимальная скорость корабля увеличена на %s/%s/%s/%s ед.
- Максимальная скорость истребителей увеличена на %s ед.",,,graphics/hullmods/ES.png
Змеекусы,ls_snakebites,0,,,,,,,TRUE,,0,0,0,0,data.hullmods.ls_snakebites,"Старые пути - самые лучшие!

Змеекусы - довольно примитивный орочий клан, преданный 'старым путям'. Они заменяют большую часть электроники на примитивные аналоги или сквигов, из-за чего почти невосприимчивы к электронной войне, а их крепкие как гвозди корабли удивительно трудно вывести из строя окончательно.

- Получаемый ЭМИ-урон снижен на %s.
- Неистребители медленно чинятся в бою до %s или %s от максимальной прочности, смотря что выше.",,,graphics/hullmods/SB.png
Кровавые Топоры,ls_bloodaxes,0,,,,,,,TRUE,,0,0,0,0,data.hullmods.ls_bloodaxes,"Думай, болван! Думай! Получить по башке до того, как влезешь в драку, просто расточительство!

Кровавые Топоры - крайне необычный орочий клан, известный использованием тактики, камуфляжа и даже тем, что считает отступление чем-то, что можно сделать намеренно. Несмотря на полное непонимание камуфляжа и электронной войны, их попытки копировать эти 'тактики' почему-то дают похожий результат.

- Профиль сенсоров корабля снижен на %s
- Каждый корабль дает %s/%s/%s/%s рейтинга РЭБ в зависимости от размера
- Урон от неракетных снарядов, выпущенных кораблями как минимум %s/%s/%s/%s/%s",,,graphics/hullmods/BA.png
Гоффы,ls_goffs,0,,,,,,,TRUE,,0,0,0,0,data.hullmods.ls_goffs,"Мы самые большие и сильные! Думаешь иначе? Подойди и попробуй, мелкий сопляк!

Гоффы - самый крупный и сильный орочий клан, с самыми крупными и сильными орками. В отличие от большинства орков, Гоффы относятся к драке крайне серьезно и презирают хитрые трюки и технологии, предпочитая лобовую атаку с тяжелой носовой броней и оружием ближнего боя.

- Броня корабля увеличена на %s в передней части.
- Броня корабля снижена на %s по бокам и в корме.",,,graphics/hullmods/ls_GO.png
Коммандос,ls_kommando,0,,,,,,,TRUE,,0,0,0,0,data.hullmods.ls_kommando,"Другие болваны могут говорить что хотят, но они только и делают, что ловят пули от людей с нормальной даккой. Если хочешь, чтобы работа была сделана быстро, правильно и скрытно, зовешь Коммандос.

Коммандос - подгруппа орков, которая действительно предпочитает скрытный подход к войне. Вместо лобовой атаки с ревущими пушками они прячутся во тьме пустоты и бьют туда, где цель слабее всего. Их трюки и маскировка каким-то образом работают и снижают заметность для сенсоров на %s. Умение вынюхивать уязвимые цели также повышает урон по оружию и двигателям на %s.

Маскировка настолько эффективна, что в течение %s/%s/%s/%s секунд после начала боя, в зависимости от размера корпуса, корабли Коммандос НЕ имеют столкновений и не могут быть поражены, пока не выстрелят или не приблизятся примерно на %s/%s/%s/%s к вражескому кораблю или истребителю.",,,graphics/hullmods/ls_Kommando.png
Лисья ярость,mikohime_dash,0,,,,,,,TRUE,,0,0,0,0,data.shipsystems.mikohime_dash,"Тот, кто спроектировал эту систему, почти по-орочьи одержим скоростью. Несмотря на мощный эффект искривления времени, воспринимаемый поток времени всех живых существ в зоне действия привязан к нормальному временному потоку, создавая ощущение экстремального ускорения.

Нажмите C в бою, чтобы сместить корабль в направлении текущей скорости и на короткий миг умножить поток времени корабля в 4 раза. Это не влияет на воспринимаемый поток времени тех, кто им управляет. Избыточный поток корабля также сбрасывается ЭМИ-дугами, если в пределах 500 ед. есть вражеские цели; каждый рывок может создать до 8 дуг. Быстро восстанавливает до 4 зарядов.

ЭТА СИСТЕМА ХРУПКАЯ И НЕ БУДЕТ РАБОТАТЬ, ЕСЛИ НА КОРАБЛЕ ЕСТЬ D-МОДЫ",.,.,graphics/hullmods/maiden_serenade_refit.png
