name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
# Add your ships here. Couple of ships left commented out as reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See https://starsector.fandom.com/wiki/Ship_Data_CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Onslaught,onslaught,Линкор,Низкие технологии,burndrive,28,20000,1750,17000,15000,600,360,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,,"rare_bp, merc",,0.4,2,4,,500
#,module_bastion_pd1,Бастион ПВО 1,,flarelauncher_active,1,3000,500,1250,3500,140,44,0,0,0,0,10,10,240,FRONT,,170,0.4,0.8,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2050
Cerberus (DS),ls_looted_cerberus_ds,Трофейная канонерка,Смерточерепа,ls_ere_we_go,5,2500,400,1500,1875,150,55,,110,100,75,60,120,350,FRONT,,120,0.5,1,,,20,50,100,40,1,40,10,10000,8,10,240,0.25,4,4,25,100,,,,,,ls_ds_bp,,0.3,2,2,,1000
Laberus (DS),ls_laberus_ds,Трофейный фрегат,Смерточерепа,ls_reactor_boosta,5,2000,400,2000,1875,150,50,,110,100,75,60,120,350,FRONT,,180,0.5,1,,,20,50,80,40,1,40,10,10000,8,10,240,0.25,4,4,25,100,,,,,,ls_ds_bp,,0.3,2,2,,1002
Mudskipper (DS),ls_mudskipper_ds,Трофейная канонерка,Смерточерепа,ls_redbutton,3,1000,150,750,938,75,25,,90,80,50,45,60,250,NONE,,0,0,0,,,5,100,70,40,1,40,9,3000,5,10,180,0.25,2,2,35,70,,,50,100,,ls_ds_bp,,0.5,2,2,,1003
Brawler (DS),ls_brawler_ds,Трофейная канонерка,Смерточерепа,ls_dakka,7,2000,450,3000,3125,250,50,,100,180,120,60,120,300,FRONT,,270,0.4,0.8,,,15,30,40,20,1,20,9,12000,8,10,300,0.25,5,5,,,,,,,,ls_ds_bp,,0.4,2,2,,207
Wayfarer (DS),ls_wayfarer_ds,Трофейный авианосец,Смерточерепа,flarelauncher,7,2000,250,1600,1500,120,55,1,120,105,70,45,90,300,OMNI,,120,0.4,1,,,35,50,40,40,1,40,10,22000,8,10,240,0.25,6,6,30,,,,,,CARRIER,ls_ds_bp,,0.5,2,2,,221
Shootaskipper (DS),ls_shoota_skipper_ds,Мега-файта,Смерточерепа,ls_reactor_boosta,6,1500,300,2000,,150,45,,130,120,70,60,90,275,FRONT,,180,0.4,0.8,,,5,30,30,25,1,25,10,12000,8,20,180,0.25,4,4,,,,,,,,ls_ds_bp,,0.5,2,3,,222
Centurion (DS),ls_centurion_ds,Трофейный тяжёлый фрегат,Смерточерепа,damper,7,2250,500,2200,2188,175,60,,120,110,90,40,80,325,OMNI,,180,0.4,0.8,,,30,50,50,25,1,25,10,20000,8,10,240,0.25,5,5,,,,,,,,ls_ds_bp,,0.4,2,4,,219
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammerhead (DS),ls_hammerhead_ds,Трофейный эсминец,Смерточерепа,ls_ere_we_go,10,5000,500,4200,4167,250,95,,90,60,40,30,60,450,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,40000,5,12,360,0.25,10,10,,,,,,,,ls_ds_bp,,0.5,2,3,,300
Mule (DS),ls_mule_ds,Трофейный эсминец,Смерточерепа,ls_redbutton,9,5500,650,3000,2500,200,85,,60,40,20,20,15,550,FRONT,,120,0.4,1,,,40,100,250,80,2,40,9,34000,5,10,420,0.25,8,8,36,125,,,,,,ls_ds_bp,,0.5,2,3,,1001
Tarsus (DS),ls_tarsus_ds,Дакка-авианосец,Смерточерепа,ls_reactor_boosta,8,4250,400,3000,2083,200,65,,45,35,25,25,15,450,FRONT,,120,0.4,1,,,30,80,100,80,3,27,8,18000,5,10,420,0.25,7,7,117,117,,,,,,ls_ds_bp,,0.5,2,3,,1004
Manticore (DS),ls_manticore_ds,Трофейный эсминец,Смерточерепа,ls_dakka,12,5000,750,5500,4167,300,95,,80,70,50,30,50,400,OMNI,,150,0.4,1,,,50,80,80,50,2,25,9,48000,5,12,420,0.25,12,12,,,,,,,,ls_ds_bp,,0.4,2,3,,303.5
Terror (DS),ls_terror_ds,Корабль ужаса,Смерточерепа,ls_ere_we_go,10,5000,600,4000,1833,250,85,1,80,80,60,30,30,500,FRONT,,180,0.4,1,,,100,350,150,60,2,30,10,40000,5,12,420,0.25,11,11,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",ls_ds_bp,,0.5,2,3,,314
Terror (DS - CV),ls_terror_ds_cv,Корабль ужаса,Смерточерепа,damper,11,4500,500,3000,1833,225,80,2,80,80,60,30,30,500,FRONT,,180,0.4,1,,,100,200,100,60,2,30,10,58000,5,12,420,0.25,15,15,,,,,,,CARRIER,ls_ds_bp,,0.5,2,3,,315
Loota (DS),ls_loota_ds,Эсминец мародеров,Смерточерепа,forgevats,8,4750,450,2700,2083,175,65,1,50,40,25,25,15,500,FRONT,,180,0.4,1,,,80,120,200,90,3,30,9,32000,5,10,420,0.25,7,7,117,117,,,,,,ls_ds_bp,,0.5,2,3,,1004
Kill Bursta (DS),ls_kill_bursta_ds,Осадная мортира,Смерточерепа,ls_plough_them,14,6500,800,5500,,350,95,,60,50,40,30,35,600,FRONT,,210,0.4,0.8,,,60,150,150,120,3,40,9,95000,5,15,420,0.25,18,18,,,,,,,SHIP_WITH_MODULES,rare_bp,0.2,0.5,2,3,,1005
