id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
ls_attack_fighta_ds_wing,ls_attack_fighta_ds_base,"fighter4, fighter, ls_ds_bp",0,,5,6,V,4000,500,,4,FIGHTER,Истребитель,8,6500,,,,,,,,,,,,,1
ls_fighta_bomma_ds_wing,ls_fighta_bomma_ds_base,"bomber4, bomber,  ls_ds_bp",0,,7,15,V,4000,1200,,3,BOMBER,Истребитель-бомбардировщик,15,8500,,,,,,,,,,,,,2
ls_kan_ds_wing,ls_kan_ds_flakka,"fighter4, ls_ds_bp",1,,6,8,BOX,2000,500,,3,FIGHTER,Истребитель,12,6500,,,,,,,,,,,,,3
ls_klawkan_ds_wing,ls_klawkan_ds_klaw,"fighter,no_drop, no_sell,restricted",1,,6,9,V,2000,20,,3,FIGHTER,Истребитель,12,7000,,,,,,,,,,,,,4
ls_drilla_kan_ds_wing,ls_drilla_kan_ds_drill,"fighter4, ls_ds_bp",1,,6,9,V,2000,20,,3,FIGHTER,Истребитель,12,7000,,,,,,,,,,,,,5
ls_miningpod_wing,ls_miningpod_base,"ls_orky_bp, stay_in_front_of_ship, support0, drone, auto_fighter",0,,5,6,V,1000,100,,3,SUPPORT,Дрон,8,8000,,,,,,,,,,,,,6
ls_kan_es_wing,ls_kan_es_kan_base,"fighter4, fighter, ls_es_bp",1,,6,8,V,2000,20,,3,FIGHTER,Истребитель,12,7000,,,,,,,,,,,,,7
ls_attack_fighta_es_wing,ls_attack_fighta_es_base,"fighter4, fighter, ls_es_bp",0,,5,6,V,4000,500,,4,FIGHTER,Истребитель,8,6500,,,,,,,,,,,,,1
ls_fighta_bomma_es_wing,ls_fighta_bomma_es_base,"fighter6, fighter, ls_es_bp",0,,6,12,V,4000,500,,3,FIGHTER,Истребитель-бомбардировщик,12,8000,,,,,,,,,,,,,2
ls_blitza_bomma_es_wing,ls_blitza_bomma_es_bomber,"bomber7, bomber, ls_es_bp",1,,6,12,V,4000,1000,,3,BOMBER,Бомбардировщик,12,8000,,,,,,,,,,,,,3
ls_bomma_ds_wing,ls_bomma_ds_bomber,"bomber5, bomber,  ls_ds_bp",1,,7,16,BOX,6000,1000,,2,BOMBER,Бомбардировщик,20,8000,,,,,,,,,,,,,4
ls_landa_wing,ls_landa_base,"fighter3, interceptor, stay_in_front_of_ship,no_drop, no_sell",1,,5,6,BOX,3000,500,,1,FIGHTER,Ланда,30,8000,,,,,,,,,,,,,5
ls_drillakilla_es_wing,ls_drillakilla_es_drilla,"fighter5, fighter, ls_es_bp",1,,7,14,V,4000,5,,3,FIGHTER,Бурилка,14,9000,,,,,,,,,,,,,6
ls_blasta_pod_bm_wing,ls_blasta_pod_bm_blasta,"fighter3, fighter, ls_bm_bp, drone, auto_fighter",0,,5,2,BOX,3000,500,,4,FIGHTER,Бласта-под,6,7000,,,,,,,,,,,,,7
ls_attack_fighta_bm_wing,ls_attack_fighta_bm_custom,"fighter4, interceptor, ls_bm_bp",0,,5,6,V,4000,600,,4,FIGHTER,Истребитель,10,6500,,,,,,,,,,,,,8
ls_fighta_bomma_bm_wing,ls_fighta_bomma_bm_custom,"bomber6, bomber, ls_bm_bp",1,,6,21,V,4000,1200,300,3,BOMBER,Бомбардировщик,20,10000,,,,,,,,,,,,,9
ls_kan_bm_wing,ls_kan_bm_custom,"fighter4, ls_bm_bp",1,,6,8,V,2000,400,,3,FIGHTER,Истребитель,12,7000,,,,,,,,,,,,,4
ls_fighta_sb_wing,ls_fighta_sb_custom,"fighter4, ls_sb_bp",0,,5,5,V,3000,400,,3,FIGHTER,Истребитель,10,5500,,,,,,,,,,,,,5
ls_hunta_killa_ba_wing,ls_hunta_killa_ba_custom,"interceptor3, interceptor, ls_ba_bp",1,,6,8,V,4000,500,,4,INTERCEPTOR,Перехватчик,8,6000,,,,,,,,,,,,,6
ls_blasta_bomma_wing,ls_blasta_bomma_custom,"fighter6, fighter, ls_ba_bp",1,,6,12,BOX,5000,500,,2,FIGHTER,Истребитель-бомбардировщик,12,8000,,,,,,,,,,,,,7
ls_night_squawk_ba_wing,ls_night_squawk_ba_custom,"bomber6, bomber, ls_ba_bp",2,,6,15,BOX,4000,600,,2,BOMBER,Истребитель-бомбардировщик,15,9500,,,,,,,,,,,,,
ls_kan_ba_wing,ls_kan_ba_custom,"fighter4, fighter, ls_ba_bp",1,,6,8,V,2000,20,,3,FIGHTER,Истребитель,15,7000,,,,,,,,,,,,,
