id,type,frame,magnitude,map,path
ls_looted_cerberus_ds,ship,,1.5,normal,graphics/maps/ships/Cerberus Looted 2_normal.png
ls_laberus_ds,ship,,1.5,normal,graphics/maps/ships/Cerberus Looted_normal.png
ls_mudskipper_ds,ship,,1.5,normal,graphics/maps/ships/mudskipper Looted_normal.png
ls_brawler_ds,ship,,1.5,normal,graphics/maps/ships/ls_brawler_ds_normal.png
ls_wayfarer_ds,ship,,1.5,normal,graphics/maps/ships/ls_wayfarer_ds_normal.png
,,,,,
ls_hammerhead_ds,ship,,1.5,normal,graphics/maps/ships/ls_hammerhead_ds_normal.png
ls_mule_ds,ship,,1.5,normal,graphics/maps/ships/mule_looted 2_normal.png
ls_tarsus_ds,ship,,1.5,normal,graphics/maps/ships/tarsus_looted_normal.png
,,,,,
,,,,,
ls_mora_ds,ship,,1.5,normal,graphics/maps/ships/mora looted_normal.png
ls_venture_ds,ship,,1.5,normal,graphics/maps/ships/venture_orky_normal.png
,,,,,
,,,,,
ls_tur_ds,ship,,1.5,normal,graphics/maps/ships/ls_tur_ds_normal.png
ls_mek_box_ds,ship,,1.5,normal,graphics/maps/ships/ls_mek_box_ds_normal.png
ls_heron_ds,ship,,1.5,normal,graphics/maps/ships/ls_heron_ds_normal.png
ls_yaroudomo,ship,,1.5,normal,graphics/maps/ships/ls_yarodomo_ds_normal.png
,,,,,
ls_hulk_ds,ship,,1.5,normal,graphics/maps/ships/ls_hulk_ds_normal.png
,,,,,
ls_attack_fighta_ds,ship,,1.5,normal,graphics/maps/ships/broadsword Looted_normal.png
ls_fighta_bomma_ds,ship,,1.5,normal,graphics/maps/ships/Fighta_Bomma_ds_normal.png
,,,,,
ls_kan_ds,ship,,1.5,normal,graphics/maps/ships/ls_kan_ds_normal.png
,,,,,
ls_onihime_bm,ship,,1.5,normal,graphics/maps/ships/onihime_looted_normal.png
,,,,,
ls_attack_fighta_es,ship,,1.5,normal,graphics/maps/ships/attack_fighta_es_normal.png
ls_big_rok_ds,ship,,1.5,normal,graphics/maps/ships/ls_big_rok_ds_normal.png
ls_big_rok_left_ds,ship,,1.5,normal,graphics/maps/ships/ls_big_rok_left_ds_normal.png
ls_big_rok_right_ds,ship,,1.5,normal,graphics/maps/ships/ls_big_rok_right_ds_normal.png
ls_blasta_pod_bm,ship,,1.5,normal,graphics/maps/ships/ls_blasta_pod_normal.png
ls_blitza_bomma_es,ship,,1.5,normal,graphics/maps/ships/ls_blitza_bomma_es_normal.png
ls_bomma_ds,ship,,1.5,normal,graphics/maps/ships/ls_bomma_ds_normal.png
ls_centurion_ds,ship,,1.5,normal,graphics/maps/ships/ls_centurion_ds_normal.png
ls_dram_es,ship,,1.5,normal,graphics/maps/ships/ls_dram_es_normal.png
ls_drillakilla_es,ship,,1.5,normal,graphics/maps/ships/ls_drillakila_es_normal.png
ls_drilla_es,ship,,1.5,normal,graphics/maps/ships/ls_drilla_es_normal.png
,,,,,
ls_eagle_ds,ship,,1.5,normal,graphics/maps/ships/ls_eagle_normal.png
ls_eagle_es,ship,,1.5,normal,graphics/maps/ships/ls_eagle_es_normal.png
ls_fighta_bomma_es,ship,,1.5,normal,graphics/maps/ships/fighta_bomma_es_normal.png
ls_flame_rumbla_es,ship,,1.5,normal,graphics/maps/ships/ls_flame_rumbla_normal.png
ls_haula,ship,,1.5,normal,graphics/maps/ships/ls_haula_normal.png
ls_hound_es,ship,,1.5,normal,graphics/maps/ships/ls_hound_es_normal.png
,,,,,
ls_kite_es,ship,,1.5,normal,graphics/maps/ships/ls_kite_es_normal.png
,,,,,
,,,,,
ls_landa,ship,,1.5,normal,graphics/maps/ships/ls_landa_normal.png
ls_lasher_es,ship,,1.5,normal,graphics/maps/ships/ls_lasher_es_normal.png
ls_manticore_ds,ship,,1.5,normal,graphics/maps/ships/ls_manticore_normal.png
ls_megabommer_ds,ship,,1.5,normal,graphics/maps/ships/ls_megabommer_normal.png
ls_mega_haula,ship,,1.5,normal,graphics/maps/ships/ls_mega_haula_normal.png
ls_miko_comet,ship,,1.5,normal,graphics/maps/ships/miko_redcomet_normal.png
ls_miko_red_comet,ship,,1.5,normal,graphics/maps/ships/ls_miko_redcomet_es_normal.png
ls_miningpod,ship,,1.5,normal,graphics/maps/ships/ls_miningpod_normal.png
ls_mule_bm,ship,,1.5,normal,graphics/maps/ships/ls_mule_bm_normal.png
ls_phaeton_es,ship,,1.5,normal,graphics/maps/ships/ls_phaeton_es_normal.png
ls_rok_ds,ship,,1.5,normal,graphics/maps/ships/ls_rok_ds_normal.png
ls_rok_ds_left,ship,,1.5,normal,graphics/maps/ships/ls_rok_left_normal.png
ls_rok_ds_right,ship,,1.5,normal,graphics/maps/ships/ls_rok_right_normal.png
ls_scrapjet_es,ship,,1.5,normal,graphics/maps/ships/ls_scrapjet_es_normal.png
ls_shade_es,ship,,1.5,normal,graphics/maps/ships/ls_shade_es_normal.png
ls_shoota_skipper_ds,ship,,1.5,normal,graphics/maps/ships/ls_shootaskipper_ds_normal.png
ls_shootaskipper_es,ship,,1.5,normal,graphics/maps/ships/ls_shootaskipper_ds_normal.png
ls_skarfist_es,ship,,1.5,normal,graphics/maps/ships/ls_skarfist_es_normal.png
ls_smash_hamma_es,ship,,1.5,normal,graphics/maps/ships/ls_smash_hamma_es_normal.png
ls_smol_rok_ds,ship,,1.5,normal,graphics/maps/ships/ls_smol_rok_ds_normal.png
ls_star_krumpa_ds,ship,,1.5,normal,graphics/maps/ships/ls_star_krumpa_normal.png
ls_star_krumpa_es,ship,,1.5,normal,graphics/maps/ships/ls_star_krumpa_es_normal.png
