name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Большая красная кнопка,ls_redbutton,1,,,,,,,,,0.25,1.25,1.25,10,FALSE,,,,,TRUE,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Попёрли!,ls_ere_we_go,1,,,,,,,,,2,4,2,12,FALSE,,,,,TRUE,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Фартовый бустер,ls_snazzy_boosta,1,,,,,,,,,1,5,1,12,FALSE,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Реакторный бустер,ls_reactor_boosta,1,,,,,,,3,0.125,0.1,2,0.1,1,FALSE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Бомбовый заход,ls_bomming_run,1,,,1000,,,,2,0.05,0.5,1.5,1.5,10,FALSE,,,,,TRUE,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Дакка-дакка!,ls_dakka,1,,,,,,,,,4,2,1,15,FALSE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Теллипорта,ls_tellyporta,,,,,,,,,,1.5,,0.5,7.5,FALSE,TRUE,,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/displacer.png
Рок-бустер,ls_rok_boosta,,,,,,,,,,0.25,1.25,3,24,FALSE,,,,,TRUE,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Фазовый движок,ls_phas_engine,,,0.05,,,0.2,,,,2,10,1,10,FALSE,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Нано-ремонт,miko_repairkit,1,,,,,,,4,,0.25,0.5,0.25,1,FALSE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Вааааагх!!! Ой-ё.,ls_uh_oh,1,,,,,,,,,2,5,1,,FALSE,,,,,,TRUE,TRUE,,TRUE,,,graphics/icons/hullsys/burn_drive.png
Воздушный вааагх!,ls_fly_waaagh,,,,,,0.5,,,,0.5,,20,60,FALSE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
