id,type,text1,text2,text3,text4,notes,Column 08,Column 09,Column 10
# Types: WEAPON,SHIP,RESOURCE,CUSTOM,ACTION_TOOLTIP,ASTEROID,PLANET,SHIP_SYSTEM,FACTION,TERRAIN
ls_looted_cerberus_ds,SHIP,"Во, эта хумийская посудина - отличная находка. Крепкая как сквиг, и места полно и для бойзов, и для лута. Но ни один нормальный Ноб не оставит свою тачку без большой дакки!

Раньше это был боевой грузовик класса Cerberus, но новые орочьи хозяева серьезно его перекроили. Теперь это ганшип с заметной огневой мощью, хоть и слабоватой флюкс-емкостью. Для плохо защищенных конвоев он все еще опасен: тяжелые стволы легко давят и сметают легкий эскорт.",,,,,,,
ls_brawler_ds,SHIP,"Вот это уже дело! Наконец-то по-настоящему жирная дакка на реально крепкой лоханке, и большой генератор, чтобы запитать самые зубастые пушки, какие только найдешь!

Brawler - один из любимых трофеев орочьих пиратов: зеленокожих впечатляет, как он поливает огнем. Такие тяжелые ганшипы дают ощутимую огневую мощь и живучесть даже совсем хламовой орочьей своре фрегатов, поэтому любой амбициозный варбосс охотно пойдет за таким куском лута.",,,,,,,
ls_wayfarer_ds,SHIP,"Дом для твоих летунов: эта развалина не про большую дакку, но дыру мы заделали достаточно, чтобы флайбойзы могли чиниться и пополняться. Только совсем мягкие гиты и хумии захотят сидеть на таком корабле в нормальной драке.

Чтобы доставлять свои хламолеты в бой, орки иногда переделывают лутаные грузовики в примитивные ангары для ремонта и перезарядки орочьих истребителей. В остальном такие корабли обычно мало на что годятся, а большую часть трюма выдирают под нужды авиакрыла. Но это все еще остатки боевого грузовика класса Wayfarer, и для самообороны у него неожиданно приличная огневая мощь.",,,,,,,
ls_laberus_ds,SHIP,"Эти остроносые хумийские фрегаты умеют драться: как бойзы, быстрые и с кучей дакки. Если давно хотел прибрать один к рукам - вот, блестящий экземпляр прямо тут. Не острый, говоришь? Да у него вон спереди рога торчат!

Фрегаты класса Lasher часто ходят в эскорте конвоев и в антипиратских патрулях. При всей эффективности неудивительно, что многие из них попадали в руки тех самых пиратов, на которых охотились. Оркам нравится сочетание скорости и огня, но в затяжных боях большинство Lasher редко остается в одном пригодном к сборке куске. Поэтому распространенный ""ремонт"" - приварить нос от побитого Cerberus (который обычно валяется в том же поле обломков после боя) к мощной кормовой части Lasher.

В итоге выходит быстрый ударный корабль с большей прочностью корпуса, чем у обычного Lasher, при сохранении его вполне приличного щита. Скорость держат по-орочьи: привычным перекрутом двигателя.",,,,,,,
ls_mudskipper_ds,SHIP,"Эй, хватит ныть и залазь внутрь! В моей шаттле места дофига для толпы бойзов, летает дед быстро, и спереди стоит нормальная дакка. Будешь дальше прятаться в тех жирных крюзерах - никакой настоящей драки не увидишь! Следующего гита, что пожалуется на дыру в стене, заряжу в гит-лаунчу!

Мелкие суда, попавшие оркам в лапы, почти неизбежно переделывают в штурмовые шаттлы или ганшипы для абордажников, невзирая на то, насколько они вообще для этого подходят. По правде, только совсем отбитый пират полезет в бой на переделанном Mudskipper. Даже так, у пиратов хватило ума поставить большую пушку, чтобы держать дистанцию, а не нестись в самую мясорубку, орущей ""Вааагх!"" во всю глотку.",,,,,,,
ls_shoota_skipper_ds,SHIP,"С такой штукой ты никогда не опоздаешь на драку, только заставь гротов набить все гандподы даккой и бомбами - будет обидно, если кончится в разгар рубки.

Странная конструкция, собранная из разных обломков в то, что отдаленно похоже на переросший истребитель. Носит мощную супершуту и для орочьего корабля просто невероятно подвижна. Каждый такой аппарат - предмет гордости умелого мекбоя, и наборы вооружения у них разные, но обычно очень злые.

По названию можно подумать, что когда-то это был вариант Mudskipper, но все, что от тех несчастных кораблей осталось, давно погребено глубоко в этом корпусе. По бокам стоят уникальные парные гандподы, в которые влезает удивительно много ракет и патронов для такого малого судна, поэтому успешные орочьи флайбойзы такое очень любят.",,,,,,,
ls_centurion_ds,SHIP,"Самый крепкий фрегат, какой мы можем залутать, и дакка у него по всем сторонам. Для твоих лучших 'ардбойзов - чтобы всякая мелочь не лезла к заднице босса!

Живучий Centurion - определенно один из самых сильных фрегатов в орочьем арсенале. Им часто командуют 'ардбойзы варбосса или доверенные нобы, работая чем-то вроде телохранителей больших военных кораблей. Широкие сектора обстрела и очень крепкая защита делают его отличным эскортом.",,,,,,,
ls_smol_rok_ds,SHIP,"Рок может и смол, но все равно дед крепкий.

Хотя большинство орочьих роков размером как минимум с эсминец, некоторые ушлые экипажи умудряются склепать более мелкие астероиды с обломками легких фрегатов в это жалкое подобие фрегата. При всей грубости конструкции смол-рок очень живуч и умеет больно бить.",,,,,,,
ls_grunt,SHIP,"Метал бавкс для бойзов. Сажай своих бойзов в метал бавкс и кидай бавкс на хумийский форт.

Эти крепкие шаттлы обычно служат базовым орочьим транспортом для переброски варбанд между планетами, а заодно имеют небольшой трюм под лут и прочий хлам бойзов. Как и положено орочьей технике, они вооружены и не стесняются переть в лоб в драку (хотя им бы лучше этого не делать).",,,,,,,
,,,,,,,,,
ls_mule_ds,SHIP,"Нормальный дестроя для любого босса, который хочет лупить цели покрупнее жалких шаттлов и при этом не огрести. Дакка не самая большая, зато он дед крепкий: бусты побольше, чтобы догонять хумийские корабли, и места под лут навалом! Только не строй из себя флэшгита перед одним из тех больших вагонов.

Mule - популярная добыча у орков, как и у человеческих пиратов Сектора, благодаря боевым качествам и вместительному трюму. Лутаная версия получила прибавку скорости, позволяющую догонять большинство торговых целей; там ее достойный носовой залп и тяжелая броня позволяют продавливать сопровождающие фрегаты, пока корабль пробивается к добыче. Но против целей выше своего класса такие суда обычно слабеют: для орочьего корабля вооружение у них все-таки относительно легкое.",,,,,,,
ls_tarsus_ds,SHIP,"Хумии тупые, потому что пихают все свои блестящие габбинзы в корабль без нормальной дакки, и бойзы просто приходят и лутают это все. А теперь мы габбинзы забрали, габбин-дырка пустая. Значит, засунем в габбин-дырку нормальную дакку... хр... хр. Чего значит ""а куда габбинзы класть"", а, гит? В габбин-дырку, конечно.

Грузовики - частая цель орочьих пиратов в Секторе, а крепкие Tarsus чаще доживают до состояния ""можно собрать"" после того, как рейдеры закончат с прежними владельцами. Типичная переделка - выдрать грузовой отсек Tarsus под генераторы и системы питания какой-нибудь огромной пушки. Но даже с такой переделкой флюкс у корабля опасно растет почти во всех боях, кроме самых коротких. Все равно это остается довольно простым способом добыть большую дакку без необходимости лезть за более опасной добычей вроде эсминца класса Manticore.",,,,,,,
