name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#Phase Lance,phasebeam,1,,1500,600,1000,,,0,20,10,,,,ENERGY,,800,0.25,0.5,1,4,,,,,3200,,,,,,,,"energy14, beam10, rare_bp, merc, ind",,,,Универсальное,,,,,,,,,,20
#Graviton Beam,gravitonbeam,2,,1500,1000,100,,,10,15,9,,,,KINETIC,,75,0.1,0.1,,,,,,,2400,,,,,,,,"beam12, kinetic11, LR, hightech_bp, midline_bp, merc, ind",,,,Подавление,,,,,"Нарушает работу щитов цели, увеличивая весь получаемый щитами урон на %s при одном полномощном гравитонном луче, на %s при двух и на %s при трех или более одновременных попаданиях по щитам.",5% | 8% | 10%,Гравитационные эффекты замедляют цель и сбивают ее с курса. Эффект невелик и наиболее заметен против истребителей и ракет.,,,21
#IR Autolance,irautolance,1,,1200,1000,500,,,0,50,8,40,2,10,FRAGMENTATION,,150,0,0,0.1,0,,,,,1000000,,,,,,,USE_LESS_VS_SHIELDS,"beam12, energy10, rare_bp, merc",,,,Универсальное,,,,,,,,,,21.5
#Pulse Laser,pulselaser,1,,1200,600,,100,,0,20,10,,,,ENERGY,80,,0.333333,0,,,,,,,,1000,,,,,,,"energy13, base_bp, merc, ind",,,,Универсальное,,,,,,,,,,22
#Mining Blaster,miningblaster,0,,1000,500,,200,,0,7,10,4,0.5,,HIGH_EXPLOSIVE,300,,0,0.2,,,,,,,,1000,,,,,,USE_LESS_VS_SHIELDS,"energy12, base_bp, ind",,,,Универсальное,,,,,Каждый заряд наносит броне дополнительно %s урона. Этот урон не снижается броней.,100,,,,22.125
#Heavy Blaster,heavyblaster,2,,2500,600,,500,,0,15,12,,,,ENERGY,720,,0,1,,,,,,,,1000,,,,,,,"energy14, rare_bp, hist1t, merc, ind",,,,Универсальное,,,,,,,,,,22.25
#Shock Repeater,shockrepeater,3,,20000,300,,50,200,0,100,7,,,,ENERGY,25,,0,0.5,1,,,,,,,10000,,,,,25,PD,"pd14, omega, restricted",,Неизвестно,,ПВО,,,,Идеальная,Выпускает ЭМИ-дугу в ближайшую цель рядом с текущим направлением оружия. Дуга всегда попадает.,,,,,19.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Лобба,ls_lobba,0,,200,700,,150,,20,30,4,,,,HIGH_EXPLOSIVE,90,,0,1.25,1,,0,20,5,4,,400,,,10,,,,"he6, ls_orky_bp",,Орочий,,Против брони,,,,,,,,,,0.75
Большая лобба,ls_big_lobba,0,,800,800,,150,,20,15,8,,,,HIGH_EXPLOSIVE,80,,,1.5,2,0.25,,20,5,4,,400,,,10,,,,"he8, ls_orky_bp",,Орочий,,Против брони,,,,,,,,,,2
Супа-шута,ls_supashoota_turret,0,,450,600,,70,,2,45,8,,,,KINETIC,60,,,0.4,1,,0,12,2,6,,700,,,,,,ANTI_FTR,"kinetic3,pd3, ls_orky_bp",,Орочий,,Универсальное,,,,,Взрывной наконечник наносит дополнительно %s фугасного урона при попадании по корпусу.,30,,,,2
Болта,ls_bolta,0,,1000,700,,150,,10,15,10,,,,KINETIC,135,,,0.66,,,0,12,2.5,4,,800,,,30,,,,"kinetic9, ls_orky_bp",,Орочий,,Универсальное,,,,,Взрывной наконечник наносит дополнительно %s фугасного урона при попадании по корпусу.,40,,,,15
Мега-болта,ls_mega_bolta,1,,3500,800,,150,,10,10,20,,,,KINETIC,120,,,0.33,,,0,12,2.5,8,,800,,,30,,,,"kinetic14, ls_orky_bp",,Орочий,,Универсальное,,,,,Взрывной наконечник наносит дополнительно %s фугасного урона при попадании по корпусу.,40,,,,16
Деффшторм-болта,ls_deffstorm_bolta,1,,4500,700,,120,,10,10,26,90,6,90,KINETIC,60,,,0.1,1,,0,18,1,3,,800,,,30,,,,"kinetic15, ls_orky_bp",,Орочий,,Против щитов,,,,,"%s. Шанс заклинивания растет по мере стрельбы, но будет выпущено не менее трети магазина. Каждый выстрел наносит %s дополнительного осколочного урона при попадании по корпусу.","Не может остановиться после начала стрельбы, если не заклинит или не кончатся боеприпасы! | 50 - 100",,,,17
Дет-каннон,ls_deth_kannon,2,,5500,800,,750,,200,5,24,,,,HIGH_EXPLOSIVE,1000,,,5,1,,,20,20,2,,600,,,100,,,,"he18, ls_orky_bp",,Орочий,,Против брони,,,,,"При попадании вызывает большой взрыв, наносящий дополнительно %s фугасного урона в большой области.",750,,,,18
Килл-каннон,ls_kill_kannon,0,,1200,700,,300,,100,10,12,6,0.25,6,HIGH_EXPLOSIVE,375,,,1.75,,,,20,10,5,,600,,,100,,,,"he12, ls_orky_bp",,Орочий,,Против брони,,,,,"При попадании вызывает небольшой взрыв, наносящий дополнительно %s фугасного урона в малой области.",200,,,,19
Грот-шута,ls_grot_shoota,0,,100,250,,15,,1,75,1,40,8,40,FRAGMENTATION,1,,0,0.1,1,,0,15,1,15,,800,,,10,,,PD,"pd4, ls_orky_bp",,Орочий,,ПВО,,,,,,,,,,1
Большая шута,ls_big_shoota,0,,300,400,,30,,2,45,3,20,5,20,KINETIC,8,,,0.2,,,0,10,1,5,,600,,,10,,,PD,"kinetic3,pd3, ls_orky_bp",,Орочий,,ПВО,,,,,,,,,,21
Спаренная шута,ls_twin_shoota,0,,400,400,,30,,2,45,5,30,5,30,KINETIC,8,,,0.1,,,0,10,1,5,,600,,,10,,,PD,"kinetic4,pd4, ls_orky_bp",,Орочий,,ПВО,,,,,,,,,,20
Флакка-дакка орудие,ls_flakka_dakka,0,,900,500,,90,,5,30,10,,,,FRAGMENTATION,30,,,0.125,,,0,15,3,6,,700,,,30,,,PD,"pd13,ls_orky_bp",,Орочий,,ПВО,,,,,,,,,,22
Гатлер-бласта,ls_gatler,0,,800,500,,50,,5,20,6,48,5,24,HIGH_EXPLOSIVE,25,,,0.5,12,0.125,,12,1,6,,600,,,30,,,ANTI_FTR,"pd4, he6, ls_orky_bp",,Орочий,,Против брони,,,,,,,,,,22
Раттлер-каннон,ls_rattler_cannon,1,,1500,600,,75,,10,15,14,48,3,24,KINETIC,50,,,2.5,24,0.1,,10,2.5,5,,800,,,30,,,ANTI_FTR,"kinetic10, ls_orky_bp",,Орочий,,Против щитов,,,,,При стрельбе будет %s; жесткое крепление уменьшает отклонение. Скорострельность этого оружия %s., резко дергаться влево или вправо | несколько случайна,,,,23
