name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
# blueprints,,,,,,,,,,,,,,,
Пакет чертежей флота Sindrian Fuel,sfc_rare_bp,"package_bp, no_drop",Sindrian Fuel Company,,50000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_bp,"Этот редкий лимитированный пакет чертежей позволяет тяжёлой промышленности производить большую часть каталога разработок Sindrian Fuel Company - от кораблей до истребителей и вооружения. В комплект также входит лотерейный билет на участие в розыгрыше Sindrian Fuel Company, где можно выиграть полностью оплаченную поездку на Волтурн. Неплохо.",1
Стандартный пакет чертежей Sindrian Fuel,sfc_regular_bp,package_bp,Sindrian Fuel Company,,10000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_reg_bp,"Позволяет тяжёлой промышленности строить стандартную линейку топливных танкеров Sindrian Fuel. Также в комплект входит, увы уже просроченная, скидка на пару фирменных солнцезащитных очков Sindrian Fuel. Ну и ладно.",2
Пакет чертежей Sindrian Fuel Plus,sfc_plus_bp,package_bp,Sindrian Fuel Company,,20000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_plus_bp,"Позволяет тяжёлой промышленности строить более базовую экспериментальную линейку кораблей, разработанную Советом исследований и разработок. Жалобы можно направлять в Совет исследований и разработок Sindrian Fuel Company.",3
Премиальный пакет чертежей Sindrian Fuel,sfc_premium_bp,package_bp,Sindrian Fuel Company,,30000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_prem_bp,"Позволяет тяжёлой промышленности строить первоклассные милитаризованные топливные танкеры Sindrian Fuel Company, изначально созданные для действий в составе флота. Предполагалось, что в этот пакет также входит билет на участие в ежемесячной лотерее компании, но, похоже, кто-то уже успел его использовать. Какая жалость.",4
Пакет чертежей вооружения флота Sindrian Fuel,sfc_weapon_bp,package_bp,Sindrian Fuel Company,,15000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_wep_bp,"Позволяет тяжёлой промышленности производить вооружение Sindrian Fuel Company. Каждое орудие прошло строгие испытания Совета безопасности и вооружения Sindrian Fuel, чтобы во флот компании поступало только самое качественное оружие. Жалобы можно направлять в офис Совета безопасности и вооружения на Круоре.",5
Чертёж Nephropoidea,sfc_nep_bp,"package_bp, no_drop",Sindrian Fuel Company,,0,1,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_nep,"Уникальный пакет чертежей, содержащий проектные заметки и подробности по истребителю Nephropoidea. Внутри можно почерпнуть массу мелких деталей, включая напоминания купить ещё лобстера после работы.",6
Чертёж Ajax,sfc_mech_bp,"package_bp, no_drop",Sindrian Fuel Company,,0,1,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,sfc_mech,"Уникальный пакет чертежей, содержащий проектные заметки и подробности по топливному тендеру Ajax. Впрочем, вы также замечаете несколько добавленных файлов, хотя в основном это какой-то случайный мусор, подшитый уже потом.",7
,,,,,,,,,,,,,,,
# special items,,,,,,,,,,,,,,,
Акватический стимулятор,sfc_aquaticstimulator,"no_drop, pather4",Eridani-Utopia Terraforming,0,60000,1000,1,EXTREME,graphics/icons/cargo/sfc_aquaticstimulator.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,aquaculture,"Наноскопические стимуляторы способны ускорять рост водных организмов, позволяя аквафермам гораздо быстрее наращивать объёмы и обновлять продукцию. Воздействию подвергаются и флора, и фауна: слухи о том, что акватические стимуляторы приводят к появлению гигантских чудовищных морских тварей, ничем не подтверждены.",30
Мегаконденсер мот,sfc_motemegacondenser,"hist3t, pather4",Fabrique Orbitale,0,60000,1000,1,EXTREME,graphics/icons/cargo/sfc_motemegacondenser.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"По сравнению с добычей летучих веществ на газовых гигантах, наземное извлечение промышленных объёмов мот - куда более сложная задача. Поэтому мощный инструмент, способный конденсировать моты в форму, удобную для добычи, позволяет наладить широкомасштабную разработку драгоценных материалов, необходимых для производства антиматерийного топлива. Добыча на газовых гигантах всё равно останется предпочтительнее, но мегаконденсер мот гарантирует, что наземная добыча останется достаточно рентабельной для поддержания постоянного потока ценных летучих веществ.",31
