name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
# hullmods,,,,,,,,,,,,,,,,,,,
Переоборудование под хранение топлива,sfcfuelstoragerefit,,,Sindrian Fuel Company,"no_drop, req_spaceport","Logistics, Requires Dock",4000,,,,5,10,15,20,data.hullmods.sfcfuelstoragerefit,"Преобразует грузовые отсеки корабля под хранение топлива, увеличивая его запас пропорционально исходному объёму грузового трюма. Такое не слишком безопасное хранение топлива приводит к тому, что при критических повреждениях корабль взрывается намного сильнее, с куда большим радиусом взрыва и уроном при уничтожении. Шанс восстановления корабля также значительно снижается.","Меняет грузовое пространство на увеличенный запас топлива, но повышает риск полного уничтожения корабля.",• Убирает повышенный шанс полной потери корабля при уничтожении.,graphics/hullmods/sfcfuelstoragerefit.png
Максимизированные топливные баки,sfcmaximizedfuelstorage,2,,Sindrian Fuel Company,,Logistics,4000,,,,3,6,9,12,data.hullmods.sfcmaximizedfuelstorage,"На топливные баки корабля подаётся дополнительное давление, что позволяет хранить больше топлива. Однако баки под избыточным давлением склонны к мощным взрывам при критических повреждениях, что заметно увеличивает радиус взрыва и наносимый при уничтожении урон. Шанс восстановления корабля также значительно снижается.","Увеличивает запас топлива, но повышает риск полного уничтожения при гибели.",• Убирает повышенный шанс полной потери корабля при уничтожении.,graphics/hullmods/sfcmaximizedfuelstorage.png
Инферниевый антиматерийный двигатель,sfcantiengine,,,Sindrian Fuel Company,"no_drop, engines, offensive",Engines,8000,,,,8,16,24,32,data.hullmods.sfcantiengine,"Экспериментальный двигатель, созданный Sindrian Fuel Company. Этот прототип антиматерийного двигателя повышает бонус скорости при нулевом потоке и позволяет использовать форсаж нулевого потока даже при низком уровне потока. Однако такие модификации делают двигатель более уязвимым к повреждениям, требуют больше припасов на обслуживание и менее эффективно расходуют топливо. Также двигатель увеличивает сенсорный профиль корабля.",Усиливает преимущества нулевого потока ценой уязвимости двигателей и роста затрат на обслуживание.,"• Увеличивает базовую максимальную скорость на: %s ед.
• Увеличивает манёвренность на: %s.",graphics/hullmods/sfcantiengine.png
Ускорители турелей,sfcamaccelerator,,,Sindrian Fuel Company,"no_drop, weapons, offensive",Weapons,8000,,,,5,10,15,20,data.hullmods.sfcamaccelerator,Устанавливает набор турельных ускорителей с антиматерийным зарядом в различные узлы турельных креплений корабля. Усиленные турели улучшают скорость поворота и скорость полёта снарядов. Однако такие модификации делают турели более уязвимыми к повреждениям.,"Повышает скорость поворота турелей и скорость снарядов, но снижает прочность турелей.","• Увеличивает скорость снарядов баллистического и энергетического оружия до: %s.
• Уменьшает отдачу оружия на: %s.",graphics/hullmods/sfcamaccelerator.png
,,,,,,,,,,,,,,,,,,,
# built in hullmods,,,,,,,,,,,,,,,,,,,
Иапетские корректировки,sfchwi,,,Sindrian Fuel Company,no_drop,,,,TRUE,,0,0,0,0,data.hullmods.sfchwi,"Тонкая настройка, специально разработанная для кораблей класса «Иапет», позволяет им сохранять преимущество над более традиционными судами. Снижает стоимость крупных установленных орудий и немного увеличивает дальность малых установленных орудий.",Снижает стоимость крупных орудий в очках вооружения и немного увеличивает дальность малых.,,graphics/hullmods/sfc_iapeteanadjustment.png
Антиматерийные ускорители ракет,sfcamboosters,,,Sindrian Fuel Company,no_drop,,,,,,15,30,45,60,data.hullmods.sfcamboosters,"Премиальное антиматерийное топливо позволяет заметно улучшить характеристики ракет. Они летят быстрее, лучше поворачивают и даже получают большую дальность. Однако существует верхний предел того, сколько премиального антиматерийного топлива можно использовать за столь короткое время.",Улучшает движение ракет. Ослабляет эффект «Расширенных ракетных стоек».,• Увеличивает урон ракет на: %s.,graphics/hullmods/sfcamboosters.png
Безщитный,sfcunshieldable,,,,"no_drop, hide_in_codex",,,,TRUE,,0,0,0,0,data.hullmods.sfcunshieldable,Этот корабль лишён щита и не может получить его.,Корабль не может использовать щиты.,,graphics/hullmods/shield_shunt.png
Солнечная окраска,sfcsolarlivery,,,Sindrian Fuel Company,no_drop,,,,,,10,20,30,40,data.hullmods.sfcsolarlivery,"Разработанное Советом исследований и разработок после крупного прорыва в области обычной солнечной защиты, фирменное покрытие Sindrian Fuel расширяет возможности защиты кораблей от разрушительного воздействия солнечной короны. Эффект ослабляется, если установлен модуль «Солнечная защита».",Сильно повышает сопротивление воздействию солнечной короны.,• Снижает энергетический урон по броне и корпусу на: %s.,graphics/hullmods/sfc_solarlivery.png
Военный двигатель,sfc_talariahullmod,,,Sindrian Fuel Company,no_drop,,,,,,30,60,90,120,data.hullmods.sfc_talariahullmod,"Talarian TA-50 оснащён сильно модифицированной двигательной установкой, улучшающей эффективность энергетического вооружения. Она также включает модульные решения, позволяющие перенаправлять работу ангаров на дальнейшее усиление энергетического оружия.",Усиливает энергетическое вооружение.,• Увеличивает урон энергетического оружия на: %s.,graphics/hullmods/sfc_warengine.png
,,,,,,,,,,,,,,,,,,,
# comissioned crews hullmod,,,,,,,,,,,,,,,,,,,
Премиальная топливная смесь,chm_sfcfuel,,,Sindrian Fuel Company,no_drop,,,,TRUE,,0,0,0,0,data.hullmods.chm_sfcfuel,Этот корабль снабжён премиальной смесью фирменного антиматерийного топлива Sindrian - лучшего топлива во всём Персеанском секторе! Увеличивает уровень хода корабля и снижает расход топлива.,Повышает уровень хода и топливную эффективность на стратегической карте.,,graphics/hullmods/chm_premiumblend.png
,,,,,,,,,,,,,,,,,,,
# swappable ajax weapons,,,,,,,,,,,,,,,,,,,
Переключатель вооружения Ajax,sfc_variable_ajax_mode,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.sfc_ajax_swapper,Смена оружия для меха-ударного звена Ajax.,Переменный выбор оружия. В игре это видеть не нужно.,,graphics/hullmods/sfcamaccelerator.png
Лёгкий гравитоновый луч (мех),sfc_ajax_mode_graviton_beam,,,,no_build_in,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,"Лёгкий гравитоновый луч, предназначенный для роли против щитов. Удаление этого модуля корпуса переключает оружие на следующее.",Лёгкий гравитоновый луч,,graphics/hullmods/sfcamaccelerator.png
Горный лазер (мех),sfc_ajax_mode_mining_laser,,,,no_build_in,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,"Горный лазер, предназначенный для роли точечной обороны. Удаление этого модуля корпуса переключает оружие на следующее.",Горный лазер,,graphics/hullmods/sfcamaccelerator.png
