name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
# small weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimatter Torpedo Launcher (Regular),sfcamregular,1,1,200,1500,,500,,75,20,5,4,,,FRAGMENTATION,0,,0,15,1,,0,0,0,0,,600,200,3,200,,,"STRIKE, USE_VS_FRIGATES","strike8, rocket3, sfc_wep_bp, sfc_bp",,Топливная компания Синдрии,,Торпедное,Быстрые,None,,,"Снаряды взрываются при попадании в цель, нанося урон по площади. Прямые попадания по кораблям дополнительно наносят %s урона.",2500 HE,,,TRUE,4
Antimatter Missile Launcher (Plus),sfcamplusmissile,1,0.75,1200,4000,,100,2000,25,10,10,20,,,ENERGY,0,,0,15,1,,0,0,0,0,,350,200,40,450,,,"DO_NOT_AIM, HEATSEEKER","utility13, missile7, sfc_wep_bp, sfc_bp",,Топливная компания Синдрии,,Вывод из строя,Быстрые,Отличное,,,"Попадания второй ступени по щитам могут пробить разрядом к оружию и двигателям, нанося %s ЭМИ-урона. Шанс пробоя щита зависит от уровня жёсткого флюкса цели.",2000,,,,5
Antimatter Pulse Laser,sfcampulser,1,1,500,500,,30,,0,50,8,,,,ENERGY,40,,0.5,0.5,2,0.25,,0,0,0,,1000,,,100,,,,"energy8, sfc_wep_bp, sfc_bp",,Топливная компания Синдрии,,Универсальное,,,,,Попадания по корпусу или броне дополнительно наносят %s фугасного урона.,45,,,,6
Light Antimatter Destablizer,sfclightdestabilizer,1,0.75,2000,600,,80,40,20,20,6,,,,ENERGY,100,,0.05,1,1,0.1,5,25,5,5,,900,,,100,,,"PD,PD_ALSO","energy6, pd4, sfc_wep_bp, sfc_bp",,Топливная компания Синдрии,,Против истребителей (по площади),,,,,"Снаряды взрываются рядом с целью. Каждый взрыв также имеет %s шанс нанести дополнительный урон, зависящий от исходного попадания, и вызвать ЭМИ-эффект.

Если других целей в радиусе нет, оружие будет наводиться на ракеты.",50%,,,,15
Antimatter Micro Missile Launcher,sfcmicrolauncher,1,1,500,1500,,50,,5,40,6,60,,,FRAGMENTATION,0,,0,3,1,,0,0,0,0,,500,200,8,20,,,"PD, PD_ALSO, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility7, missile7, pd7, sfc_wep_bp, sfc_bp",,Топливная компания Синдрии,,ПВО (по площади),Очень быстрые,Отличное,,,"Ракеты ПВО, оснащённые антиматериальным зарядом. При попадании не по щиту дополнительно наносят %s урона.",200% HE,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# medium weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Chaingun (AM),sfcamchaingun,1,1,1500,500,,60,,3,30,10,,,,HIGH_EXPLOSIVE,50,,0,0.2,1,,0,10,0.5,5,,1000,,,30,,,,"he15, sfc_wep_bp, sfc_bp",,Топливная компания Синдрии,,Против брони,,,,,Попадания дополнительно наносят %s энергетического урона.,40,,,,9
Antimatter Scatterblaster,sfcamscatterblaster,3,0.5,3000,500,,1000,,0,30,13,60,,,ENERGY,1000,,0.25,10,1,,40,40,0.5,5,,600,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike15, sfc_wep_bp, sfc_bp",SR_strike_only,Топливная компания Синдрии,,Ударное,,,,,,,,,,11
