name,id,tags,planetary,decivRemove,script,desc,icon,order
Локальное гравитационное динамо,rat_grav_dynamo_condition,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.GravitationalDynamoCondition,,graphics/icons/markets/rat_grav_dynamo_condition.png,5001
,,,,,,,,
Ландшафт войны,rat_warscape,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.WarscapeCondition,,graphics/icons/markets/rat_warscape.png,5002
Древние индустрии,rat_ancient_industries,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.AncientIndustriesCondition,,graphics/icons/markets/rat_ancient_industries.png,5002
Древнее топливное производство,rat_ancient_fuel_hub,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.AncientFuelProductionCondition,,graphics/icons/markets/rat_ancient_fuel_hub.png,5003
Древний военный узел,rat_ancient_military_hub,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.AncientMilitaryNexusCondition,,graphics/icons/markets/rat_ancient_military_hub.png,5004
Древние мегаполисы,rat_ancient_megacities,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.AncientMegacitiesCondition,,graphics/icons/markets/rat_ancient_megacities.png,5006
Кинетическая пусковая система,rat_kinetic_launchsystem,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.KineticLaunchsystemCondition,,graphics/icons/markets/rat_kinetic_launchsystem.png,5005
Бионическая флора,rat_bionic_plantlife,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.BionicPlantlifeCondition,,graphics/icons/markets/rat_bionic_plantlife.png,5006
Оборонительная система дронов,rat_defensive_drones,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.DefensiveDronesCondition,,graphics/icons/markets/rat_defensive_drones.png,5007
Спроектированная утопия,rat_engineered_utopia,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.EngineeredUtopia,,graphics/icons/markets/rat_engineer_utopia.png,5008
Необузданное военное ядро,rat_rampant_military_core,codex_unlockable,TRUE,,assortment_of_things.relics.conditions.RampantMilitaryCore,,graphics/icons/markets/rat_rampant_military_core.png,5009
,,,,,,,,
