id,name,designType,plugin,tags,dropWeight,dropGroup,spritePath
computational_matrix,Вычислительная матрица,Abyssal Artifact,assortment_of_things.artifacts.plugins.ComputationalMatrix,rat_fabricatable_200,1,abyss,graphics/icons/artifacts/rat_computational_matrix.png
defensive_array,Оборонительный массив,Abyssal Artifact,assortment_of_things.artifacts.plugins.DefensiveArrayArtifact,rat_fabricatable_200,1,abyss,graphics/icons/artifacts/rat_defensive_array.png
miniature_forge,Миниатюрная кузня,Abyssal Artifact,assortment_of_things.artifacts.plugins.MiniatureForgeArtifact,rat_fabricatable_200,1,abyss,graphics/icons/artifacts/rat_minature_forge.png
hyperenergetic_generator,Гиперэнергетический генератор,Abyssal Artifact,assortment_of_things.artifacts.plugins.HyperenergeticGeneratorArtifact,rat_fabricatable_200,1,abyss,graphics/icons/artifacts/rat_hyperenergetic_generator.png
ordnance_overwrite,Перезапись вооружения,Abyssal Artifact,assortment_of_things.artifacts.plugins.OrdnanceOverwriteArtifact,rat_fabricatable_200,1,abyss,graphics/icons/artifacts/rat_ordnance_overwrite.png
,,,,,,,
,,,,,,,
,,,,,,,
rat_super_serum,Супер-сыворотка,Artifact,assortment_of_things.artifacts.plugins.SuperSerumArtifact,,1,relics,graphics/icons/artifacts/rat_super_serum.png
rat_transdimensional_accumalator,Пространственный аккумулятор,Artifact,assortment_of_things.artifacts.plugins.TransdimensionalAccumalatorArtifact,,1,relics,graphics/icons/artifacts/rat_transdimensional_accumalator.png
,,,,,,,
,,,,,,,
