name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Контроллер RAT,rat_controller,0,,,"no_drop_salvage, restricted",,3000,FALSE,TRUE,TRUE,0,0,0,0,assortment_of_things.misc.RATControllerHullmod,,,,graphics/hullmods/rat_abyssal_core.png
Контроллер артефактов,rat_artifact_controller,0,,,"no_drop_salvage, restricted",,3000,FALSE,TRUE,TRUE,0,0,0,0,assortment_of_things.artifacts.ArtifactControllerHullmod,,,,graphics/hullmods/rat_abyssal_core.png
,,,,,,,,,,,,,,,,,,,
#Abyssals,,,,,,,,,,,,,,,,,,,
Бездонная адаптивность,rat_abyssal_core,0,,Бездонные,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.AbyssalsAdaptabilityHullmod,,,,graphics/hullmods/rat_abyssal_core.png
Бездонная сеть,rat_abyssal_grid,0,,Бездонные,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.AbyssalGrid,,,,graphics/hullmods/rat_abyssal_grid.png
Благодать Серафима,rat_seraphs_grace,0,,Серафим,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.AbyssalSeraphsGrace,,,,graphics/hullmods/rat_seraphs_grace.png
Благодать Рафаэля,rat_raphaels_grace,0,,Аномальная фазовая технология,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.AbyssalRaphaelsGrace,,,,graphics/hullmods/rat_raphaels_grace.png
Благословение Саракиэля,rat_sarakiels_blessing,0,,Серафим,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.AbyssalSarakielsBlessing,,,,graphics/hullmods/rat_sarakiels_blessing.png
Серафимский привод,rat_seraphim_drive,0,,Серафим,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.AbyssalSeraphimDriveHullmod,,,,graphics/hullmods/rat_seraphim_drive.png
Истребительная конфигурация,rat_fighter_configuration,0,,Серафим,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.AbyssalFighterConfiguration,,,,graphics/hullmods/rat_fighter_configuration.png
,,,,,,,,,,,,,,,,,,,
#Abyssal Threat,,,,,,,,,,,,,,,,,,,
Симбиоз,rat_abyssal_threat,0,,Бездонная угроза,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.SymbiosisHullmod,,,,graphics/hullmods/rat_symbiosis.png
,,,,,,,,,,,,,,,,,,,
Начало и Конец,rat_genesis_hullmod,0,,Первозданные,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.GenesisHullmod,,,,graphics/hullmods/rat_genesis_hullmod.png
Первозданный змей,rat_genesis_serpent_hullmod,0,,Первозданные,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.GenesisSerpentHullmod,,,,graphics/hullmods/rat_genesis_serpent_hullmod.png
Первозданная конструкция,rat_genesis_construct_hullmod,0,,Первозданные,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.GenesisConstructHullmod,,,,graphics/hullmods/rat_genesis_hullmod.png
Первозданное море,rat_primordial_sea_hullmod,0,,Первозданные,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.PrimordialSeaHullmod,,,,graphics/hullmods/rat_primordial_sea.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#Abyss Entity loot,,,,,,,,,,,,,,,,,,,
Перераспределитель вооружения,rat_ordnance_redistributor,0,,,codex_require_related,,3000,FALSE,TRUE,FALSE,0,0,0,0,assortment_of_things.abyss.hullmods.OrdnanceRedistributorHullmod,,,,graphics/hullmods/rat_ordnance_redistributor.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#Abyss Installables,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#Abyss Special Alterations,,,,,,,,,,,,,,,,,,,
Бездонное преобразование экипажа,rat_abyssal_conversion,3,0,Изменение корпуса,"rat_alteration, rat alteration_no_drop, no_build_in, no_drop_salvage, restricted, codex_unlockable",Особое,10000,FALSE,FALSE,,0,0,0,0,assortment_of_things.abyss.hullmods.abyssals.AbyssalCrewConversion,,,,graphics/hullmods/rat_crew_conversion.png
