name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Щитовой дрон,rat_shield_drone,,High Tech,,,100,10,1000,,100,0,,325,200,150,180,360,10,OMNI,,360,0,0.4,,,0,0,,,,,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,0,,,,102
Щит,rat_shield_object,,High Tech,,,100,10,1000,,100,0,,325,200,150,180,360,10,OMNI,,360,0,0.4,,,0,0,,,,,,,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,0,,,,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Abyssals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кето,rat_ceto,,Abyssal,,,600,80,800,,100,0,,250,380,360,120,240,20,OMNI,,270,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,"codex_unlockable, no_dealer",,,,0,,,,3120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мерроу,rat_merrow,Дронокорабль,Abyssal,rat_abyssal_current,7,1250,250,2500,2500,300,45,,120,180,170,75,230,150,OMNI,,200,0.3,0.55,,,0,0,40,40,1,40,11,30000,5,10,360,0.25,7,7,,,,,,,UNBOARDABLE,"auto_rec, rat_abyssals, codex_unlockable, limited_tooltip_if_locked, no_dealer",,,,0.5,2,2,,3101
Макара,rat_makara,Дронокорабль,Abyssal,rat_abyssal_cloak,9,1300,225,2750,2500,300,55,,90,140,130,50,120,150,OMNI,,270,0.3,0.6,,,0,0,40,40,1,40,11,30000,5,10,360,0.25,8,8,,,,,,,UNBOARDABLE,"auto_rec, rat_abyssals, codex_unlockable, limited_tooltip_if_locked, no_dealer",,,,0.5,2,2,,3101
Чуул,rat_chuul,Дронокорабль,Abyssal,rat_abyssal_skimmer,12,5000,450,5000,3750,400,110,,85,75,50,30,50,500,OMNI,,190,0.3,0.6,,,0,0,80,60,2,30,10,50000,5,15,420,0.25,11,11,,,,,,,UNBOARDABLE,"auto_rec, rat_abyssals, codex_unlockable, limited_tooltip_if_locked, no_dealer",,,,0.5,2,3,,3102
Аболет (фрегат),rat_aboleth,Крейсер-дронокорабль,Abyssal,rat_abyssal_cloak,20,8000,900,10000,12500,700,165,2,60,35,30,20,25,2000,OMNI,,270,0.3,0.7,,,0,0,120,90,3,30,9,140000,5,15,540,0.25,28,28,,,,,,,"UNBOARDABLE, CARRIER, COMBAT, NO_AUTO_ESCORT","auto_rec, rat_abyssals, codex_unlockable, limited_tooltip_if_locked, no_dealer",,,,0.5,2,3,,3103
Аболет (крейсер),rat_aboleth_m,Крейсер-дронокорабль,Abyssal,rat_abyssal_cloak,20,8000,900,10000,12500,700,165,,60,35,30,20,25,2000,OMNI,,270,0.3,0.7,,,0,0,120,90,3,30,9,140000,5,15,540,0.25,28,28,,,,,,,UNBOARDABLE,"auto_rec, rat_abyssals, codex_unlockable, limited_tooltip_if_locked, no_dealer",,,,0.5,2,3,,3103
