name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Abyss Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПВО Shortfin,rat_shortfin,1,,300,300,,15,,1,75,4,,,,ENERGY,1.25,,0,0.075,1,,0,8,1,15,,800,,,10,,,PD,"rat_abyssals, no_sell, no_dealer, restricted, pd8, codex_unlockable",,Бездонные,,ПВО,,,,,,,,,,900
Экзоматериальный бластер,rat_ceto_blaster,2,,2000,500,,30,,5,15,0,,,,ENERGY,20,,0,0.7,3,0.25,0,5,1,15,,800,,,30,,,,"no_sell, no_drop, no_dealer, restricted, kinetic8, codex_require_related",,Бездонные,,Против щитов,,,,,"%s
Попадания по корпусу или броне добавляют цели заряд %s. Каждый заряд действует %s секунд и увеличивает урон, получаемый корпусом и броней, на %s. На корабле может быть не более %s зарядов.",Пространственная нестабильность | нестабильность | 3 | 0.5% | 30,,,,901
Экзотический плазмоструй,rat_ceto_laser,1,,1500,500,120,,,0,20,0,,,,HIGH_EXPLOSIVE,,,0.5,0.5,,,,,,,3200,,,,,,,"SYSTEM, USE_LESS_VS_SHIELDS","no_sell, no_dealer, restricted, codex_require_related",,Бездонные,,Против брони,,,,,,,,,,20
Бластер Lusca,rat_lusca,2,,2000,500,,25,,5,20,6,,,,KINETIC,20,,0,0.7,3,0.15,0,5,0.5,15,,800,,,30,,,,"rat_abyssals, no_sell, no_dealer, restricted, kinetic12, codex_unlockable",,Бездонные,,Против щитов,,,,,"%s
Попадания по корпусу или броне добавляют цели заряд %s. Каждый заряд действует %s секунд и увеличивает урон, получаемый корпусом и броней, на %s. На корабле может быть не более %s зарядов.",Пространственная нестабильность | нестабильность | 3 | 0.5% | 30,,,,901
Бластер Humpback,rat_humpback,2,,2000,600,,55,,5,15,13,,,,KINETIC,55,,0,0.6,4,0.15,0,5,0.5,15,,800,,,30,,,,"rat_abyssals, no_sell, no_dealer, restricted, kinetic15, codex_unlockable",,Бездонные,,Против щитов,,,,,"%s
Попадания по корпусу или броне добавляют цели заряд %s. Каждый заряд действует %s секунд и увеличивает урон, получаемый корпусом и броней, на %s. На корабле может быть не более %s зарядов.",Пространственная нестабильность | нестабильность | 3 | 0.5% | 30,,,,901
Бластер Haddock,rat_haddock,3,,3000,700,,140,,5,10,20,,,,KINETIC,150,,0,1,3,0.2,0,5,1,15,,700,,,30,,,,"rat_abyssals, no_sell, no_dealer, restricted, kinetic20, codex_unlockable",,Бездонные,,Против щитов,,,,,"%s
Попадания по корпусу или броне добавляют цели заряд %s. Каждый заряд действует %s секунд и увеличивает урон, получаемый корпусом и броней, на %s. На корабле может быть не более %s зарядов.",Пространственная нестабильность | нестабильность | 3 | 0.5% | 30,,,,901
Пушка Leviathan,rat_leviathan,3,,4000,1000,,900,300,300,5,25,,,,HIGH_EXPLOSIVE,1050,,0.5,2,1,0.1,0,0,0,0,,1200,,,30,,,,"rat_abyssals, no_sell, no_dealer, restricted, he20, codex_unlockable",,Бездонные,,Универсальное,,,,,Попадания по корпусу или броне выпускают в сторону цели 3-5 ЭМИ-разрядов. Попадания по щитам высвобождают весь заряд на месте и создают небольшой взрыв.,3-5 ЭМИ-разрядов | небольшой взрыв.,,,,902
