name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Охлаждаемые податчики боеприпасов,rr_coolfeed,,,,,,,,,,2,6,2,8,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Дрон-наблюдатель,rr_drone_scope,,,,,,,,2,0.04,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Усиленный фазовый скачок,rr_hyperdisplacer,,,,,,0.1,,,,0.25,,0.25,4,,TRUE,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
Барьерный щит,rr_barriershield,,,0.02,,,,,,,2,,1,0,TRUE,,,TRUE,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
Демпферное поле (S),rr_damper,1,,,,,,,,,0.3,3,0.3,18,,,,,TRUE,,,,TRUE,TRUE,,,graphics/icons/hullsys/damper_field.png
Платформы ПКО,rr_pd_platforms,,,,,,,,2,0.01,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Ракетный залп Итано,rr_itano_array,,,,,,,,,,2,2,1,15,,,,,TRUE,,,,,,,,graphics/icons/hullsys/missile_autoforge.png
Поток ложных целей,rr_flare_stream,,,,,,,,4,0.04,,,,5,,,,,,,,,,,,,graphics/icons/hullsys/flare_launcher.png
Тяжелый ракетный залп Итано,rr_heavy_itano_array,,,,,,,,,,2.1,2.6,1.3,18,,,,,TRUE,,,,,,,,graphics/icons/hullsys/missile_autoforge.png
Ракетная автофабрика (R),rr_autoforge_lily,,,,,,0.5,,2,0.033333,1,0,0,8,,,,,,,,,,,,,graphics/icons/hullsys/missile_autoforge.png
Импульсные маневровые двигатели,rr_burstjets,1,,,,,,,2,0.15,0.5,1.5,0.5,1,,,,,,,,,TRUE,TRUE,,,graphics/icons/hullsys/maneuvering_jets.png
Циклические ракетные податчики,rr_cyclemissilefeed,,,,,,0.3,,,,1,0,0,8,,,,,,,,,,,,,graphics/icons/hullsys/missile_racks.png
Ракетные стойки веры,rr_faithmissileracks,,,0.3,,,0.2,,,,1,1,0,10,,,,,TRUE,TRUE,,,,,,,graphics/icons/hullsys/missile_racks.png
