name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Скианская инженерия,SCY_engineering,,,,,,,,TRUE,,0,0,0,0,org.scy.hullmods.ScyEngineering,"Инженерный колледж Скиан оптимизирует свои проекты для задач охотников-убийц.

Специализированные сети потока обладают огромными резервуарами конденсаторов и исключительно мощным активным отводом тепла, ограниченным слабым пассивным рассеиванием.

Специальные двигатели Magneto-Aerospike отличаются исключительной тягой, высокой живучестью, быстрым ремонтом и функциями аварийного перезапуска, хотя и несовместимы с дальнейшими улучшениями.

Стелс-обшивка и протоколы скрытности позволяют снизить стоимость обслуживания и заметность при медленном движении, однако во время активного маневрирования заметность значительно возрастает из-за массивного выхлопа двигателей.","Более быстрые корабли с быстрым отводом тепла, малым количеством оружия и низким рассеиванием.",graphics/SCY/hullmods/SCY_engineering.png
#####,,,,,,,,,,,,,,,,,,,
#####,,,,,,,,,,,,,,,,,,,
#####,,,,,,,,,,,,,,,,,,,
Модульная броня,SCY_armorplating,,,,,,,,TRUE,,0,0,0,0,org.scy.hullmods.SCY_modularArmor,"Эта модульная броня — недавняя инновация, позволяющая специально оборудованным кораблям сбрасывать эти чрезвычайно массивные бронеплиты, когда они перестают обеспечивать защиту.

Модификации корабля также могут влиять на модули.
Постепенно повышает максимальную скорость корабля по мере потери модулей, достигая максимума на %s выше, когда вся броня сброшена.",Повышает скорость бронированных кораблей по мере сброса защитных плит.,graphics/SCY/hullmods/SCY_armor.png
#####,,,,,,,,,,,,,,,,,,,
Модульные секции,SCY_modules,,,,,,,,TRUE,,0,0,0,0,org.scy.hullmods.SCY_modularArmor,"Этот огромный корабль не может выдержать серьёзные боевые повреждения. И встроенный ствол орудия, и полётная палуба могут быть полностью уничтожены, что выведет из строя главное орудие корабля или предотвратит пополнение истребителей соответственно.

Однако потеря этих крупных секций увеличивает максимальную скорость корабля, достигая максимума в %s процентов.",Повышает скорость модульных кораблей по мере уничтожения секций.,graphics/SCY/hullmods/SCY_armor.png
####,,,,,,,,,,,,,,,,,,,
####,,,,,,,,,,,,,,,,,,,
####,,,,,,,,,,,,,,,,,,,
Модульная броня,SCY_armorChild,,,,,,,,TRUE,TRUE,0,0,0,0,org.scy.hullmods.SCY_armorChild,Дочерние модули наследуют изменения корпуса и брони от родительского модуля.,Дочерние модули наследуют изменения корпуса и брони от родительского модуля.,graphics/SCY/hullmods/SCY_armor.png
#####,,,,,,,,,,,,,,,,,,,
#####,,,,,,,,,,,,,,,,,,,
#####,,,,,,,,,,,,,,,,,,,
Протоколы перехвата Скиан,SCY_CommissionedCrew,,,,,,,,TRUE,,0,0,0,0,org.scy.hullmods.SCY_CommissionedCrew,Экипажи кораблей прошли специальную подготовку по наилучшим способам перехвата вражеского флота или уклонения от перехвата. Корабль получает улучшенные сенсоры на %s и меньшую заметность на %s.,Корабли получают улучшенный сенсорный профиль.,graphics/SCY/hullmods/SCY_commissionedCrew.png
#####,,,,,,,,,,,,,,,,,,,
#####,,,,,,,,,,,,,,,,,,,
#####,,,,,,,,,,,,,,,,,,
