name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Удалённый зонд",SCY_probe,,,,,300,25,400,,50,,,250,125,75,180,90,20,FRONT,,360,0,1,,,0,0,,,,,,,,,,,,,,,,0,,,900
"Автоматос",SCY_automatos,,,,,200,50,500,,50,,,150,150,150,360,360,5,FRONT,,90,0,1.5,,,0,0,,,,,,,,,,,,,,,,0,,,901
"Анаплекте",SCY_anaplekte,,,,,400,100,750,,50,,,300,600,600,360,720,30,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,902
"Ахлис",SCY_akhlys,,"Инженерный колледж Скиан",flarelauncher_active,,600,100,750,,50,,,175,125,75,180,180,50,NONE,,,,,,,2,2,,,,,,,,,,,,,,,,0,,,920
"Носос",SCY_nosos,,"Инженерный колледж Скиан",flarelauncher_single,,400,50,100,,20,,,220,220,100,120,120,40,FRONT,,90,0,1,,,1,1,,,,,,,,,,,,,,,,0,,,921
"Стигера",SCY_stygere,,"Инженерный колледж Скиан",flarelauncher_fighter,,500,50,350,,50,,,180,180,100,90,90,60,FRONT,,120,0,1,,,2,2,,,,,,,,,,,,,,,,0,,,922
"Кер",SCY_ker,,"Инженерный колледж Скиан",SCY_emp,,500,25,500,,50,,,150,150,150,90,90,70,OMNI,,90,0,1,,,3,3,,,,,,,,,,,,,,,,0,,,923
"Эрида",SCY_eris,,"Инженерный колледж Скиан",,,350,25,400,,50,,,300,300,100,360,360,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,924
"Панотти",SCY_panotti,,"Инженерный колледж Скиан",,,400,25,400,,50,,,250,250,100,180,180,20,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0,,,925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Центавр",SCY_centaur,"Грузовой корабль","Инженерный колледж Скиан",,5,1000,100,1500,,100,30,,165,100,90,60,40,250,FRONT,,90,0.5,1.8,,,10,30,120,60,1,50,12,8000,8,20,120,0.25,4,4,"CIVILIAN, FREIGHTER",scy_bp,,0.4,2,2,930
"Алекто",SCY_alecto,"Фрегат эскорта","Инженерный колледж Скиан",SCY_emp,5,1700,170,2800,,100,44,,160,120,90,60,90,250,OMNI,,180,0.5,1.7,,,15,30,60,30,1,30,12,9000,7,15,240,0.15,4,4,,scy_bp,,0.4,2,2,931
