name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FIGHTERS WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лёгкий энергетический бластер,SCY_Fseb,1,,1000,500,,300,50,1,35,6,,,,ENERGY,,,0,2.5,,,0,10,3,3,,1000,,,10,0.5,,SYSTEM,,,Scyan Engineering,,,,,,,,,,,,,
Малая зенитка,SCY_Fflak,1,,750,450,,150,,3,60,5,,,,FRAGMENTATION,,,0,2,,,0,10,2,10,,500,,,30,,,"SYSTEM,PD",,,Scyan Engineering,,,,,,,,,,,,,
Кассетная торпеда,SCY_Fcluster,1,,400,800,,1650,0,50,20,5,1,,,HIGH_EXPLOSIVE,,,0,5,,,,,,,,300,-100,12,300,,,"SYSTEM,STRIKE,GUIDED_POOR",,,Scyan Engineering,,,,,,,,,,,,,
Лёгкое копьё,SCY_Fbeam,1,,1000,500,250,,,0,180,7,,,,ENERGY,,500,0.1,0.7,0.2,1.5,,,,,1000000,,,,,0.5,,SYSTEM,,,Scyan Engineering,,,,,,,,,,,,,
Гравитационный молот дрона,SCY_Fhammer,0,,500,150,,100,50,2000,180,5,,,,FRAGMENTATION,,,,1,1,,0,0,0,0,,800,,,30,,,"SYSTEM,PD",,,Scyan Engineering,,,,,,,,,,,,,
Рельсовая KE-ракета,SCY_Frocket,0,,300,600,,200,,20,30,2,1,0.02,,KINETIC,,,0,1,1,,,,,,,500,100,2,75,,,"SYSTEM,STRIKE,USE_VS_FRIGATES,GUIDED_POOR",,,Scyan Engineering,,,,,,,,,,,,,
Лёгкий кинетический пробойник,SCY_Fsabot,0,,100,700,,500,50,200,30,1,1,,,KINETIC,,,0,1,,,,,,,,700,700,1,100,,,SYSTEM,,,Scyan Engineering,,,,,,,,,,,,,
Роевая установка БРПД,SCY_Fswarmer,1,,250,800,,75,,15,50,4,4,,,HIGH_EXPLOSIVE,,,0,5,4,0.2,0,0,0,0,,300,100,5,50,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE,SYSTEM,HEATSEEKER","utility8, missile0",,Scyan Engineering,,Против малых кораблей,Быстрая,Отличное,,,,,,,,,10
Вулкан-миниган,SCY_Frotary,0,,50,350,,20,,1,60,1,,,,FRAGMENTATION,,,0.1,0.2,99999,0.05,0,10,1,1,,1500,,,5,,,"PD,SYSTEM",,,Scyan Engineering,,,,,,,,,,,,,
Гранатомёт,SCY_Fgrenade,0,,300,600,,250,,20,30,4,4,,,HIGH_EXPLOSIVE,0,,0,9.65,4,0.15,5,20,5,5,,100,100,3,50,,,"SYSTEM,STRIKE,USE_VS_FRIGATES,MISSILE_SPREAD","rocket10, missile5",,Scyan Engineering,,Против брони,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SMALL WEAPONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
