fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
,,,,,,,,
sc_playerHeader,Игрок,Header,Player,,,,,
sc_playerMaxLevel,Максимальный уровень игрока,Int,15,,"Устанавливает максимальный уровень игрока в диапазоне от [15] до [25]. Если вы новичок в моде, рекомендую оставить значение [15] и сначала проверить, достаточно ли этого. Уровни игрока используются исключительно для получения очков боевых навыков.",15,25,
sc_playerXPMult,Множитель опыта игрока и офицеров,Double,1,,Изменяет количество опыта, получаемого [игроком] и [обычными офицерами]. Не влияет на старших офицеров.,0.1,5,
,,,,,,,,
sc_officerHeader,Старшие офицеры,Header,Старшие офицеры,,,,,
sc_officerXPMult,Множитель опыта,Double,1,,Изменяет скорость получения опыта старшими офицерами.,0.1,5,
,,,,,,,,
,,,,,,,,
sc_acquisitionHeader,Получение,Header,Получение,,,,,
sc_startEvent,Включить событие в стартовом баре,Boolean,true,,"Если включено, в начале игры появляется событие в баре, позволяющее выбрать одного старшего офицера по вашему выбору.",,,
sc_officerCommRarity,Доступность старших офицеров в коммуникационном терминале,Radio,Обычная,"Отсутствует, Редкая, Обычная, Частая","Изменяет вероятность появления офицеров в коммуникационном терминале. Значение ""Отсутствует"" полностью убирает их из терминала, если только другой мод не принуждает к их появлению.",,,
sc_officerDerelictRarity,Доступность старших офицеров на брошенных кораблях и станциях,Radio,Обычная,"Отсутствует, Редкая, Обычная, Частая","Изменяет вероятность появления офицеров на брошенных кораблях и станциях. Значение ""Отсутствует"" полностью убирает их оттуда, если только другой мод не принуждает к их появлению. Влияет только при изменении до начала сохранения.",,,
,,,,,,,,
sc_progressionHeader,Режим прогрессии,Header,Режим прогрессии,,,,,
sc_progressionMode,Включить режим прогрессии,Boolean,false,,"По умолчанию все слоты старших офицеров доступны сразу. Включение этого режима добавляет требования по уровню игрока для каждого слота. Этот режим может значительно усложнить раннюю игру.",,,
sc_progressionLevelSlot1,Требуемый уровень для слота 1,Int,0,,,0,25,
sc_progressionLevelSlot2,Требуемый уровень для слота 2,Int,5,,,0,25,
sc_progressionLevelSlot3,Требуемый уровень для слота 3,Int,10,,,0,25,
,,,,,,,,
sc_npcHeader,Флоты NPC,Header,Флоты NPC,,,,,
sc_canNPCsSpawnWithSkills,Могут ли NPC появляться с навыками,Boolean,true,,Если включено, флоты NPC могут появляться с навыками из этого мода. Отключение не удаляет навыки у флотов, которые уже появились с ними.,,,
sc_fleetDifficulty,Сложность,Radio,Обычная,"Лёгкая,Обычная,Сложная","Выбор сложности для других флотов. [Может не влиять на уже появившиеся флоты]. Изменяет максимальное количество навыков у флота и влияет на масштаб получения навыков в зависимости от размера флота. На некоторые особые встречи эта настройка может не влиять.",,,
,,,,,,,,
sc_skillsHeader,Навыки,Header,Навыки,,,,,
sc_autoPointsMult,Множитель очков автоматики,Double,1,,"Изменяет количество очков автоматических кораблей, предоставляемых навыками. Автоматические корабли и их преимущества разработаны с учётом ограничений, поэтому имейте в виду, что любое увеличение может сделать их превосходящими все неавтоматические корабли в большинстве ситуаций.",0.5,3,
,,,,,,,,
,,,,,,,,
sc_miscChanges,Разное,Header,Разное,,,,,
sc_highContrast,Контрастные иконки,Boolean,false,,Увеличивает контраст между активными и недоступными иконками навыков в меню навыков. Включите эту настройку, если вам трудно различать их.,,,
sc_unrestrictedAssociates,Неограниченные компаньоны,Boolean,false,,"Позволяет происхождению ""Компаньоны"" выбирать любые специализации, даже недоступные как стартовые. В основном актуально для кросс-модных специализаций.",,,
,,,,,,,,
sc_vanillaChanges,Изменения ванильных механик,Header,Изменения ванильных механик,,,,,
sc_reducedDmodOverlay,Уменьшить визуальное воздействие D-модов,Boolean,false,,"Уменьшает визуальное воздействие D-модов на спрайт корабля, если у корабля [2] или меньше D-модов и отсутствует D-мод [Structural Damage]. Эта настройка существует, так как в моде D-моды стало немного сложнее удалять.",,,
sc_provideTransverse,"Начинать с ""Трансверсальным прыжком""",Boolean,true,,"Так как способность ""Трансверсальный прыжок"" больше не даётся навыком, мод автоматически выдаёт её вам в начале игры. Отключение этой настройки сделает её доступной только через методы вне системы навыков.",,,
sc_provideNeutrino,"Начинать с ""Нейтринным детектором""",Boolean,true,,"Так как способность ""Нейтринный детектор"" больше не даётся навыком, мод автоматически выдаёт её вам в начале игры. Отключение этой настройки сделает её доступной только через методы вне системы навыков.",,,
sc_provideRemote,"Начинать с ""Дистанционным зондированием""",Boolean,true,,"Так как способность ""Дистанционное зондирование"" больше не даётся навыком, мод автоматически выдаёт её вам в начале игры. Отключение этой настройки сделает её доступной только через методы вне системы навыков.",,,
,,,,,,,,
sc_Experimental,Экспериментальное,Header,Экспериментальное,,,,,
sc_experimentalText,,Text,"[Экспериментальное]
Настройки в этом разделе оказывают большое влияние на игровой процесс. Не стесняйтесь настраивать их как вам нравится, но, пожалуйста, не отправляйте [отзывы], связанные с тем, на что могут влиять эти параметры.",,,,,
sc_xoSlotsForPlayer,Слоты старших офицеров,Int,3,,Изменяет количество доступных слотов старших офицеров. Влияет только на флот [игрока].,3,10,
sc_progressionLevelPast3,Требование уровня для каждого последующего слота в режиме прогрессии,Int,1,,"Если [Режим прогрессии] включён, задаёт кривую требуемых уровней для каждого последующего слота. Это значение суммируется с требованием для 3-го слота. Уровень для 4-го слота будет равен требованию 3-го слота + это значение.",0,5,
sc_compactLayout,Компактный интерфейс,Boolean,false,,Включает более компактный макет интерфейса, который может отображать 4 старших офицеров одновременно без частичного скрытия полосой прокрутки. Эта настройка активна только когда для игрока настроено [4] или более слотов.,,,
sc_4thSlotForNPCFleets,Дополнительный 4-й слот старшего офицера для флотов NPC,Boolean,false,,Позволяет флотам NPC появляться с дополнительным слотом старшего офицера.,,,
sc_enableAdditionalLevel,Включить дополнительный уровень,Boolean,false,,"Включение увеличивает максимальный уровень старших офицеров с [5] до [6]. Это позволяет им получить в общей сложности 7 навыков (основной навык + 6 очков навыков). Специализации в целом не рассчитаны на это, поэтому вы можете обнаружить, что это делает одни специализации намного лучше других. Не влияет на максимальный уровень NPC.",,,
sc_disableCategoryRestrictions,Отключить категорийные ограничения для игрока,Boolean,false,,"Отключает ограничения по категориям, например, несовместимость ""Логистических"" специализаций друг с другом. Эта опция не влияет на флоты NPC.",,,
,,,,,,,,
