id,name,categories,spawnWeight,color,tags,order,plugin
,,,,,,,
,,,,,,,
#Все специализации требуют соответствующей записи в default_ranks.json: executive_officer_<ID_специализации>,,#нельзя использовать несколько специализаций из одной категории,,#Используется для процедурной генерации, не для NPC. NPC определяются в плагине,,,,
,,,,,,,
,,,,,startingOption = появляется в диалоге стартового бара,,
,,,,,always_show_in_codex = показывать в кодексе, даже если это не стартовая специализация,,
,,,,,"hide_in_codex = не показывать в кодексе никогда",,
,,,,,restricted = не показывать в кодексе и не учитывать в командах/отладочных утилитах,,
,,,,,,,
#Базовые специализации,,,,,,,
sc_tactical,Тактика,,1.0,"230,181,2,255","startingOption,",100,second_in_command.skills.tactical.AptitudeTactical
sc_management,Управление,,1.0,"107,175,0,255","startingOption,",200,second_in_command.skills.management.AptitudeManagement
sc_smallcraft,Малые суда,,1.0,"203, 230, 2,255","startingOption,",300,second_in_command.skills.smallcraft.AptitudeSmallcraft
sc_strikecraft,Авиагруппы,sc_cat_strikecraft,1.0,"2, 230, 139,255","startingOption,",400,second_in_command.skills.strikecraft.AptitudeStrikecraft
sc_technology,Техническая,,1.0,"0,121,216,255","startingOption,",500,second_in_command.skills.technology.AptitudeTechnology
sc_warfare,Боевая,,1.0,"224, 167, 88, 255","startingOption,",550,second_in_command.skills.warfare.AptitudeWarfare
sc_improvisation,Импровизация,,1.0,"181, 100, 2,255","startingOption,",600,second_in_command.skills.improvisation.AptitudeImprovisation
sc_engineering,Инженерия,sc_cat_logistical,1.0,"175, 192, 204, 255","startingOption,",690,second_in_command.skills.engineering.AptitudeEngineering
sc_starfaring,Странник,sc_cat_logistical,1.0,"164, 0, 209,255","startingOption,",700,second_in_command.skills.starfaring.AptitudeStarfaring
sc_scavenging,Утилизация,sc_cat_logistical,1.0,"77,142,80,255","startingOption,",710,second_in_command.skills.scavenging.AptitudeScavenging
sc_piracy,Пиратство,sc_cat_logistical,1.0,"200,0,0,255","startingOption,",800,second_in_command.skills.piracy.AptitudePiracy
sc_automated,Автоматика,sc_cat_automated,1.0,"0, 166, 175,255","startingOption,",900,second_in_command.skills.automated.AptitudeAutomated
,,,,,,,
#Праздничная специализация,,,,,,,
sc_christmas,Рождество,sc_cat_logistical,0,"149, 245, 237, 255",hide_in_codex,100000,second_in_command.skills.special.christmas.AptitudeChristmas
,,,,,,,
