id,name,iconPath,npcSpawnWeight,plugin
,,,,
,,,,
#Тактика,,,,
sc_tactical_focused_fire,Сосредоточенный огонь,graphics/secondInCommand/tactical/focused_fire.png,1,second_in_command.skills.tactical.FocusedFire
sc_tactical_spotters,Корректировщики,graphics/secondInCommand/tactical/spotters.png,1,second_in_command.skills.tactical.Spotters
sc_tactical_rapid_response,Быстрое реагирование,graphics/secondInCommand/tactical/rapid_response.png,1,second_in_command.skills.tactical.RapidResponse
sc_tactical_pristine_condition,Идеальное состояние,graphics/secondInCommand/tactical/pristine_condition.png,1,second_in_command.skills.tactical.PristineCondition
sc_tactical_tactical_drills,Тактическая подготовка,graphics/secondInCommand/tactical/tactical_drills.png,1,second_in_command.skills.tactical.TacticalDrills
sc_tactical_efficient_ordnance,Эффективный боезапас,graphics/secondInCommand/tactical/efficient_ordnance.png,1,second_in_command.skills.tactical.EfficientOrdnance
#sc_tactical_superiority,Превосходство,graphics/secondInCommand/tactical/superiority.png,1,second_in_command.skills.tactical.Superiority
sc_tactical_full_throttle,Полный газ,graphics/secondInCommand/tactical/full_throttle.png,1,second_in_command.skills.tactical.FullThrottle
sc_tactical_accelerated_barrels,Ускоренная нарезка,graphics/secondInCommand/tactical/accelerated_barrels.png,1.5,second_in_command.skills.tactical.AcceleratedBarrels
sc_tactical_mass_bombardment,Массированная бомбардировка,graphics/secondInCommand/tactical/mass_bombardment.png,1.5,second_in_command.skills.tactical.MassBombardment
sc_tactical_defensive_protocols,Оборонительные протоколы,graphics/secondInCommand/tactical/defensive_protocols.png,1.5,second_in_command.skills.tactical.DefensiveProtocols
,,,,
#Управление,,,,
sc_management_crew_training,Обучение экипажа,graphics/secondInCommand/management/crew_training.png,1,second_in_command.skills.management.CrewTraining
sc_management_top_condition,Отличное состояние,graphics/secondInCommand/management/top_condition.png,1,second_in_command.skills.management.TopCondition
sc_management_well_organized,Хорошая организация,graphics/secondInCommand/management/well_organized.png,1,second_in_command.skills.management.WellOrganized
sc_management_authority,Авторитет,graphics/secondInCommand/management/authority.png,1,second_in_command.skills.management.Authority
sc_management_re_entry,Возвращение,graphics/secondInCommand/management/re_entry.png,1,second_in_command.skills.management.ReEntry
sc_management_command_and_conquer,Командуй и властвуй,graphics/secondInCommand/management/command_and_conquer.png,1,second_in_command.skills.management.CommandAndConquer
sc_management_officer_management,Управление офицерами,graphics/secondInCommand/management/officer_management.png,1.5,second_in_command.skills.management.OfficerManagement
sc_management_officer_training,Подготовка офицеров,graphics/secondInCommand/management/officer_training.png,1.5,second_in_command.skills.management.OfficerTraining
sc_management_best_of_the_best,Лучший из лучших,graphics/secondInCommand/management/best_of_the_best.png,,second_in_command.skills.management.BestOfTheBest
sc_management_in_good_hands,В надёжных руках,graphics/secondInCommand/management/in_good_hands.png,2.5,second_in_command.skills.management.InGoodHands
,,,,
#Малые корабли,,,,
sc_smallcraft_wolfpack_tactics,Тактика волчьей стаи,graphics/secondInCommand/smallcraft/wolfpack_tactics.png,1,second_in_command.skills.smallcraft.WolfpackTactics
sc_smallcraft_safe_recovery,Безопасное восстановление,graphics/secondInCommand/smallcraft/safe_recovery.png,1,second_in_command.skills.smallcraft.SafeRecovery
