id,name,iconPath,npcSpawnWeight,plugin
#Dustkeeper,,,,
dustkeeper_specialized_construction,Специализированное строительство,graphics/secondInCommand/dustkeeper/specialized.png,1.5,shmoneelse.sicdustkeeper.skills.dustkeeper.SpecializedConstruction
dustkeeper_humanwarmind,Социализация Вармайнда,graphics/secondInCommand/dustkeeper/socialization.png,1,shmoneelse.sicdustkeeper.skills.dustkeeper.HumanWarmind
dustkeeper_cyberwarfare_training,Кибервоенная подготовка,graphics/secondInCommand/dustkeeper/cyberwarfare.png,2.5,shmoneelse.sicdustkeeper.skills.dustkeeper.CyberwarfareTraining
dustkeeper_cooperation,Сотрудничество человека и Вармайнда,graphics/secondInCommand/dustkeeper/cooperation.png,0,shmoneelse.sicdustkeeper.skills.dustkeeper.WarmindCooperation
dustkeeper_network,Глубина сети,graphics/secondInCommand/dustkeeper/network.png,1,shmoneelse.sicdustkeeper.skills.dustkeeper.NetworkDepth
dustkeeper_optimization,Целевая оптимизация,graphics/secondInCommand/dustkeeper/optimization.png,1,shmoneelse.sicdustkeeper.skills.dustkeeper.FocusedOptimization
dustkeeper_ew,Станции глушения,graphics/secondInCommand/dustkeeper/ew.png,1,shmoneelse.sicdustkeeper.skills.dustkeeper.JammingStations
dustkeeper_wide,Специалисты по дронам,graphics/secondInCommand/dustkeeper/widerange.png,1.5,shmoneelse.sicdustkeeper.skills.dustkeeper.SpreadWings
dustkeeper_deadly,На стальных крыльях,graphics/secondInCommand/dustkeeper/deadly.png,1.5,shmoneelse.sicdustkeeper.skills.dustkeeper.RapidPursuit
dustkeeper_escort,Дроны сопровождения,graphics/secondInCommand/dustkeeper/escort.png,2.5,shmoneelse.sicdustkeeper.skills.dustkeeper.EscortDrones
