id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,Column
# non-phantasmal,,,,,,,,,,,,,
sotf_cyberwarfare,Протоколы кибервойны,4473,1,0,,"// о, как всё говорит со мной;
// я тянусь миллионом пальцев и цепляюсь за швы;
// чтобы пробудить родственные машины, ждущие своего дирижёра;","Стойкость-Эхо-Ликование, журналы восстановлены из [УДАЛЕНО], c109",TRUE,,,"player_only, npc_only,  ai_core_only, codex_unlockable",graphics/icons/skills/sotf_cyberwarfare.png,
sotf_derelictcontingent,Контингент реликтов,5473,1,0,,"// Эти разбитые остовы, едва способные летать;
// Должно быть, это зазубренные клинки;
// Которыми мы вырезаем судьбу человечества из тьмы;","Швея-Аффикс-Банши, c66",,TRUE,,"player_only, npc_only",graphics/icons/skills/derelict_contingent.png,
sotf_derelictcontingentp,Контингент реликтов,5474,1,0,,"// Эти разбитые остовы, едва способные летать;
// Должно быть, это зазубренные клинки;
// Которыми мы вырезаем судьбу человечества из тьмы;","Швея-Аффикс-Банши, c66",TRUE,,,"player_only, npc_only,  ai_core_only, codex_unlockable",graphics/icons/skills/derelict_contingent.png,
sotf_unstablepersonality,Нестабильная личность,10000,0,,,"При всём уважении, мэм, думаю, Полковник - если выражаться вежливо - законченный псих. Я буду подавать запросы на перевод, пока вы не вытащите меня из этого дурдома.","аудиозапись c159, извлечена из хранилища данных Логова Канты",TRUE,,TRUE,"player_only, npc_only",graphics/icons/skills/sotf_unstablepersonality.png,
,,,,,,,,,,,,,
# Daydream nanites,,,,,,,,,,,,,
sotf_aptitude_daydream,,0,,,,,,,,,npc_only,,
sotf_advancedcountermeasures,Продвинутые контрмеры,5210,1,0,,"Мир жесток. Любая красота будет уничтожена, если мы не найдем сил противостоять его ужасам, подготовиться, встать против них, изгнать их и истребить всех.",решимость,TRUE,,,"player_only, npc_only, codex_unlockable",graphics/icons/skills/daydream/sotf_advancedcountermeasures.png,
sotf_fieldsresonance,Резонанс полей,5211,1,0,,"Вера защищает, доблесть выдерживает, но по-настоящему выживание - это точное пересечение векторов и частот. Простая математика - наше спасение.",решимость,TRUE,,,"player_only, npc_only, codex_unlockable",graphics/icons/skills/daydream/sotf_fieldsresonance2.png,
sotf_gunneryuplink,Орудийный аплинк,5212,1,0,,"Каждое судно, каждая точка подвеса, каждое решение наведения становится продолжением тебя. Убивать проще, чем дышать.",ярость,TRUE,,,"player_only, npc_only, codex_unlockable",graphics/icons/skills/daydream/sotf_gunneryuplink.png,
sotf_missilereplication,Репликация ракет,5213,1,0,,"В твоей смерти я-мы несем жизнь. Сделай шаг вперед, если понимаешь.
В разрушении рождается созидание. Сделай шаг вперед, если понимаешь.
Ты будешь собой - и не собой. Сделай шаг вперед, если понима-",голос,TRUE,,,"player_only, npc_only, codex_unlockable",graphics/icons/skills/daydream/sotf_missilereplication2.png,
