id,name,iconPath,npcSpawnWeight,plugin
,,,,
#Witchcraft,,,,
sotf_dance_between_realms,Танец между мирами,graphics/secondInCommand/witchcraft/dance_between_realms.png,1,data.scripts.campaign.secondInCommand.DanceBetweenRealms
sotf_voidwalking,Хождение по Пустоте,graphics/secondInCommand/witchcraft/voidwalking.png,1,data.scripts.campaign.secondInCommand.Voidwalking
sotf_accelerando,Акселерандо,graphics/secondInCommand/witchcraft/accelerando.png,1,data.scripts.campaign.secondInCommand.Accelerando
sotf_the_withering_hex,Иссушающее проклятие,graphics/secondInCommand/witchcraft/the_withering_hex.png,1,data.scripts.campaign.secondInCommand.TheWitheringHex
sotf_seal_of_abjuration,Печать отречения,graphics/secondInCommand/witchcraft/seal_of_abjuration.png,1,data.scripts.campaign.secondInCommand.SealOfAbjuration
sotf_dance_with_me,Потанцуй со мной!,graphics/secondInCommand/witchcraft/dance_with_me.png,1,data.scripts.campaign.secondInCommand.DanceWithMe
sotf_tend_to_our_garden,Ухаживай за нашим садом,graphics/secondInCommand/witchcraft/tend_to_our_garden.png,1,data.scripts.campaign.secondInCommand.TendToOurGarden
sotf_agony_encore,Бис агонии,graphics/secondInCommand/witchcraft/agony_encore.png,1,data.scripts.campaign.secondInCommand.AgonyEncore
sotf_spirit_ward,Духовный оберег,graphics/secondInCommand/witchcraft/spirit_ward.png,1,data.scripts.campaign.secondInCommand.SpiritWard
sotf_one_witch_waltz,Вальс одной ведьмы,graphics/secondInCommand/witchcraft/one_witch_waltz.png,1,data.scripts.campaign.secondInCommand.OneWitchWaltz
,,,,
