name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Сдвиг Конкорда,sotf_concordshift,,,,,,,,2,0.1,0.2,3,0.25,0.25,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,"restricted, defensive",graphics/icons/hullsys/phase_cloak.png
Межпространственный вход,sotf_concordentry,1,,,,,,,,,0.2,,0.2,2,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,restricted,graphics/icons/hullsys/phase_cloak.png
Энтропийный катализатор,sotf_entropiccatalyst,,,,,,0.2,,,,0.5,10,1,10,,,,,,,,,,,,"restricted, offensive",graphics/icons/hullsys/entropy_amplifier.png
Гравипространственный всплеск,sotf_gravispatialsurge,1,,,,,,,2,0.1,0.4,0.4,0.25,0.5,,,,,,,TRUE,TRUE,,,,"restricted, movement",graphics/icons/hullsys/burn_drive.png
Гипнагогическое вторжение,sotf_hypnagogicincursion,,,,,,0.05,,2,0.25,0,0.05,0.5,0.5,,,TRUE,,TRUE,,,,,TRUE,,"restricted, movement",graphics/icons/hullsys/displacer.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Удар дронов,sotf_dronestrike,,,,,,0.05,,2,0.05,0.5,,0.25,1,,,,,,,,,,,,offensive,graphics/icons/hullsys/interdictor_array.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Внешние платформы «Пилум»,sotf_lrms,,,,,,0,,,,0.05,,0.05,1.2,,,,,,,,,,,,offensive,graphics/icons/hullsys/interdictor_array.png
Реактиватор мин,sotf_emplmines,,,,,,0,,,,0.25,,0.25,4,,,,,,,,,,,,offensive,graphics/icons/hullsys/interdictor_array.png
