name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Штормбластер «Эдикт»,sotf_edict,3,,8000,750,,400,300,0,20,24,,,,ENERGY,500,,0.15,2.1,3,0.25,8,8,0,0,,1000,,,,,,,"energy19, rare_bp, remnant",,,,Общее,,,,,"При попадании по корпусу или броне вызывает дугу в оружие и двигатели, нанося %s от энергетического урона и %s от ЭМИ-урона исходного попадания.",40% | 100%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DREAMING GESTALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Автокопье «Летаргия»,sotf_lethargy,2,,750,450,,25,15,0,80,6,20,6,20,ENERGY,14,,0.2,1,99999,0.1,1,4,0.2,1,,10000,,,,,,"PD, ANTI_FTR","pd9, beam6, sotf_dreaminggestalt, rare_bp, no_dealer, codex_unlockable",,Cult of the Daydream,,ПВО,,,,,"Попадания гасят скорость цели, мгновенно снижая ее текущий ход. %s нанесенного урона формирует %s против щитов, остаток проходит как мягкий поток. Эффект замедления вдвое слабее при попаданиях по щиту.",50% | жесткий поток,Мгновенные лучи без времени полета.,,,
Автокопье «Летаргия» (истребитель),sotf_lethargy_f,,,750,400,,25,15,0,80,,16,5,16,ENERGY,14,,0.2,1,99999,0.12,1,4,0.2,1,,10000,,,,,,"PD, ANTI_FTR, SYSTEM",show_in_codex,,Cult of the Daydream,,ПВО,,,,,"Попадания гасят скорость цели, мгновенно снижая ее текущий ход. %s нанесенного урона формирует %s против щитов, остаток проходит как мягкий поток. Эффект замедления вдвое слабее при попаданиях по щиту.",50% | жесткий поток,Мгновенные лучи без времени полета. По сравнению с полноразмерной версией имеют меньшую дальность и меньше зарядов.,,,
Блок автокопий «Реконер»,sotf_reckoner,2,,3000,500,,100,60,0,80,13,,,,ENERGY,65,,0.125,0.125,1,0,0,0,0,0,,600,,,,,40,"PD, PD_ALSO, ANTI_FTR","pd15, beam10, sotf_dreaminggestalt, rare_bp, no_dealer, codex_unlockable",,Cult of the Daydream,,Штурм/ПВО,,,,,"Попадания гасят скорость цели, мгновенно снижая ее текущий ход. %s нанесенного урона формирует %s против щитов, остаток проходит как мягкий поток. Эффект замедления вдвое слабее при попаданиях по щиту.",50% | жесткий поток,Одновременно выпускает лучи из пяти излучателей без времени полета. Центральный излучатель бьет вперед и наносит %s от общего урона. Боковые лучи автоматически наводятся на ракеты и истребители в секторе %s градусов и по возможности распределяются между несколькими целями.,50% | 60,,
Мультиланса «Милосердие»,sotf_mercy,3,,10000,1000,10000,,,0,12,30,,,,FRAGMENTATION,,2500,1,0.4,0.4,3,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, sotf_dreaminggestalt, rare_bp, no_dealer, codex_unlockable",,Cult of the Daydream,,Добивающее,,,,,"Лучи считают все щиты имеющими эффективность %s. При выстреле дополнительно выпускается залп из 12 снарядов, суммарно наносящих %s ед. урона типа %s и %s ед. урона типа %s. При попадании по корпусу или броне любой поглощенный %s урон преобразуется в %s урон.",2.5 | 600 | энергия | 600 | ЭМИ | ЭМИ | энергия,"При фокусе на корпусе или броне лучи «Милосердия» снижают эффективную броню цели при расчете уменьшения урона на %s. Каждая дополнительная мультиланса, попавшая одновременно, увеличивает штраф еще на %s.",40 | 20,,
Мультиланса «Милосердие»,sotf_mercy_boltlauncher,,,,1000,,50,50,0,10,25,,,,ENERGY,0,,0,0,1,,0,0,0,0,,2000,,,,,,SYSTEM,,,,,Добивающее,,,,,,,,,,
Резонансная клетка «Чаша»,sotf_chalice,3,,10000,2000,,750,0,0,10,25,,,,ENERGY,1500,,5,1,1,,0,0,0,0,,200,150,10,2000,,,"DO_NOT_AIM, FIRE_WHEN_INEFFICIENT","utility18, missile17, sotf_dreaminggestalt, rare_bp, no_dealer, codex_unlockable",,Cult of the Daydream,,Подавление,Медленно,Хорошее,,,"Во время цикла стрельбы выпускает непрерывный поток энергетических болтов по целям в радиусе действия, нанося %s ед. урона типа %s при попадании и %s ед. урона типа %s, что дает %s дополнительного ДПС. При попадании по корпусу или броне любой поглощенный ЭМИ-урон преобразуется в %s урон.",50 | кинетический | 40 | ЭМИ | 200 | кинетический,"Выпускает медленно летящие энергетические мины, которые взрываются вскоре после того, как цель входит в зону срабатывания. Они считаются ракетами и получают бонусы к скорости ракет, но не могут быть обезврежены ЭМИ-излучателями и не отвлекаются на ложные цели.",,,
Вторичные болты «Чаши»,sotf_chalice_boltlauncher,,,,2000,,50,40,0,10,25,,,,KINETIC,0,,0,0,1,,0,0,0,0,,800,,,,,,SYSTEM,,,,,Подавление,,,,,,,,,,
Резонансная клетка «Чаша»,sotf_chalice_proxmines,,,,2000,,750,0,0,10,25,,,,ENERGY,0,,0,0,1,,0,0,0,0,,100,100,20,10000,,,SYSTEM,,,,,Подавление,,,,,,,,,,
Пусковая дронов класса «Барб»,sotf_barbmount,2,,600,4000,,0,0,0,0,3,4,,,ENERGY,0,,0,4,1,,0,0,0,0,,150,150,0.1,1,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility9, sotf_dreaminggestalt, rare_bp, no_dealer, codex_unlockable, no_standard_data",,Cult of the Daydream,,Поддержка авиакрыла,,,,,"Запускает %s ударный дрон, добавляя его к звену уже выпущенных этим кораблем дронов. Дроны автономно ищут и атакуют противников в радиусе около %s. Это оружие может одновременно контролировать до %s дронов.",класс «Барб» | 2500 | 2,См. %s в кодексе для характеристик дронов.,связанные записи,TRUE,
Репликатор дронов класса «Барб»,sotf_barbrail,2,,2000,4000,,0,0,0,0,12,4,0.0666,2,ENERGY,0,,0.5,1,1,,0,0,0,0,,300,300,0.1,1,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility14, sotf_dreaminggestalt, rare_bp, no_dealer, codex_unlockable, no_standard_data",,Cult of the Daydream,,Поддержка авиакрыла,,,,,"Запускает %s ударных дронов, добавляя их к звену уже выпущенных этим кораблем дронов. Дроны автономно ищут и атакуют противников в радиусе около %s. Каждое оружие может одновременно контролировать до %s дронов.",класс «Барб» | 2500 | 6,См. %s в кодексе для характеристик дронов.,связанные записи,TRUE,
Репликатор дронов класса «Неттл»,sotf_nettlerail,2,,6000,4000,,0,0,0,0,24,4,0.0666,2,ENERGY,0,,0.6,1.2,1,,0,0,0,0,,250,250,0.1,1,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility18, sotf_dreaminggestalt, rare_bp, no_dealer, codex_unlockable, no_standard_data",,Cult of the Daydream,,Поддержка авиакрыла,,,,,"Запускает %s штурмовых дронов, добавляя их к звену уже выпущенных этим кораблем дронов. Дроны автономно ищут и атакуют противников в радиусе около %s. Каждое оружие может одновременно контролировать до %s дронов.",класс «Неттл» | 2500 | 6,См. %s в кодексе для характеристик дронов.,связанные записи,TRUE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пусковая горных зарядов,sotf_miningcharge,1,,200,2000,,350,,50,15,4,12,,,HIGH_EXPLOSIVE,0,,0,0.83,1,,0,0,0,0,,170,20,25,125,,,"STRIKE, BOMB, SYSTEM",he0,,,,Ударное,,,,,,,,,TRUE,
