name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Сенсорный массив,swp_sensorarray,,0.5,,,,0.05,,,,0.5,,0.5,0,TRUE,,,,,,,,,,,hide_in_codex,graphics/icons/hullsys/drone_sensor.png
Фазовый привод,swp_excelsiorphase,,,,,,,,,,0.2,,0.2,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,"restricted, defensive, movement",graphics/icons/hullsys/phase_cloak.png
Фазовый шунт,swp_phaseshuntdrive,,,,,,0.05,,3,0.25,0.1,,0.25,0.65,,,,TRUE,,,,,,,,"restricted, defensive",graphics/icons/hullsys/quantum_disruptor.png
Форсажные сопла,swp_punisherjets,,,,,,,,2,0.15,0.4,1.2,0.4,0,,,,,,,,,,,,movement,graphics/icons/hullsys/plasma_jets.png
Сенсорный дрон (одиночный),swp_drone_sensorx1,,,,,,,,2,,0,,0,0,,,,,,,,,,,,hide_in_codex,graphics/icons/hullsys/drone_sensor.png
Лучевые дроны,swp_drone_ray,,,,,,,,4,0.1,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_sensor.png
Максимальный привод,swp_victoryjets,,,,,,,,,,0.5,4,1,10,TRUE,,,,,,,,,,,movement,graphics/icons/hullsys/combat_burn.png
Фазовый телепортер (медленный),swp_phaseteleportervortex,,,,,,0.3,,,,0.5,0,0.5,19,,TRUE,,TRUE,,,,,,,,hide_in_codex,graphics/icons/hullsys/displacer.png
Хроно-ускорение,swp_chronoboost,1,,,,,0.2,,,,1,10,1,10,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Ускоритель времени,swp_timeaccelerator,1,,,,,0.1,,3,0.1,0.5,3,0.5,1,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Поле ускорения времени,swp_timefield,1,0.3,,,,0.3,,,,2,8,2,20,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Фазовый плащ (молния),swp_lightningcloak,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,hide_in_codex,graphics/icons/hullsys/phase_cloak.png
Инвокация,swp_invocation,,,,,,,,,,0.1,1.8,0.1,10,,,,,,,,,,,,offensive,graphics/icons/hullsys/high_energy_focus.png
Дроны ПВО,swp_pddrones,,,,,,,,10,,0,,0,0,,,,,,,,,,,,,graphics/icons/hullsys/drone_pd_high.png
Быстрый загрузчик боеприпасов,swp_ammoloader,,,,,,0.1,,3,0.1,1,0,0,0,,,,,,,,,,,,offensive,graphics/icons/hullsys/ammo_feeder.png
Минный удар,swp_mine_strike_lt,,,,,,0.05,,5,0.2,0.25,,0.25,0,,,,,,,,,,,,"restricted, offensive",graphics/icons/hullsys/mine_strike.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Энергетический овердрайв,swp_boss_energyoverdrive,,,,,,,,,,1,5,0.5,20,,,,,,,,,,,,"restricted, offensive",graphics/icons/hullsys/high_energy_focus.png
