id,type,text1,text2,text3,text4,text5,notes
swp_dram_luddic_path,SHIP,"Фанатики Луддического Пути приспособили этот корабль под себя, убрав всё лишнее и превратив его в наскоро собранную машину священной войны. Значительная часть топливного запаса была пожертвована ради заметной центральной турели.

Лёгкий танкер, способный более чем вдвое увеличить эффективную дальность действия небольшой оперативной группы или конвоя.",,,,,
swp_nebula_luddic_path,SHIP,"Фанатики Луддического Пути приспособили этот корабль под себя, убрав всё лишнее и превратив его в наскоро собранную машину священной войны. Значительная часть грузоподъёмности была пожертвована ради заметной центральной турели.

Объёмный, но неуклюжий корпус Huan-Gogel 430 ""Nebula"" мало добавляет романтики межзвёздным путешествиям, но зато обеспечивает достойную пассажирскую и грузовую вместимость для корабля своего класса. Более того, после вялой реакции на первую производственную линейку Nebula постепенно стала доминировать в сегменте пассажирских перевозок среднего уровня.

Nebula оснащена лобовым щитом, чтобы повысить безопасность пассажиров и продлить срок службы бронеплит. А поскольку Сектор есть Сектор, в удачных местах были установлены несколько баллистических турелей и вседиапазонные противоракетные пусковые установки ложных целей, чтобы убедить платящих пассажиров в том, что их благополучие — главный приоритет оператора.",,,,,
,,,,,,,
swp_trebuchet,WEAPON,"Дальнобойная управляемая ракета с нестандартной гамма-импульсной боевой частью. Предназначена для вывода из строя обороны цели, включая ближайшие корабли сопровождения. Из-за огромных габаритов Trebuchet доступна только для крупных слотов.

Поскольку значительная часть размера ракеты уходит на мощный двигатель и глубокий топливный бак, Trebuchet LRM подходит только для самых больших монтажных гнёзд. Во многом это развитие Ion Torpedo, дающее сходные — пусть и не столь впечатляющие — возможности, но на куда большей дистанции.",,,,,
swp_hornet,WEAPON,"Блок средних маневрирующих ракет. Хорошо проходит под щитами с малой дугой и сквозь точные системы ПВО.

Hornet MRM используют «пьяную» траекторию полёта, призванную путать и срывать работу систем противоракетной обороны, благодаря чему они эффективнее против кораблей без перегрузки — в отличие от большинства других управляемых ракет. Hornet особенно опасны для малых целей, но не слишком хорошо вскрывают нетронутую броню крупных боевых кораблей.

Для экономии топлива Hornet не переходят к роению, пока не подойдут к цели на относительно близкую дистанцию.",,,,,
swp_tornado,WEAPON,"Пусковая система, выпускающая залпы средних маневрирующих ракет. Хорошо проходит под щитами с малой дугой и сквозь точные системы ПВО.

Hornet MRM используют «пьяную» траекторию полёта, призванную путать и срывать работу систем противоракетной обороны, благодаря чему они эффективнее против кораблей без перегрузки — в отличие от большинства других управляемых ракет. Hornet особенно опасны для малых целей, но не слишком хорошо вскрывают нетронутую броню крупных боевых кораблей.

Для экономии топлива Hornet не переходят к роению, пока не подойдут к цели на относительно близкую дистанцию.",,,,,
swp_inferno,WEAPON,"Запускает горсть роевых ракет на увеличенной дистанции. Предназначена для подавления малых целей, особенно ударной авиации.

Несмотря на несколько громоздкую систему доставки, MIRV Inferno — исключительно жестокое оружие против малых целей. Пилоты истребителей по всему Персеанскому сектору морщатся даже при виде дружественной Inferno, уходящей в сторону цели: кто-то сейчас точно погибнет.",,,,,
swp_lightninggun,WEAPON,"Дальнобойное тактическое оружие с посредственным уроном, но невероятной точностью. Особенно хорошо выводит из строя незащищённые подсистемы. От него нельзя уклониться.

Electron Discharge Cannon, более известная как «Lightning Gun», работает за счёт давно забытых злоупотреблений квантовой электродинамикой. На скорости света она передаёт прямо в цель огромный разряд электрической энергии. Ведёт себя схоже с лучевым оружием, но при попадании в щиты создаёт некоторый жёсткий поток.",,,,,
swp_redeemer,WEAPON,"Интегрированная пусковая установка и сборщик для уникальной LRM в стиле MIRV. Основная боеголовка наносит торпедный урон, но корпус также несёт кластер вспомогательных ракет, предназначенных размягчить цель прямо перед попаданием.

Старый проект LRM, Redeemer слишком громоздка, чтобы быть практичной в виде модульного чертежа. Поэтому сейчас это оружие встречается только на Cathedral. По легенде, Redeemer когда-то помогла разгромить агрессоров в гражданской войне на Старой Земле, целые эоны назад.",,,,,
swp_reliant,WEAPON,"Выпускает поток высокоскоростных снарядов. Дёшево и точно, но очень слабо.

Тяжёлый пулемёт Reliant адаптирован из наземных скорострельных пушек. Название звучит солиднее, чем реальная мощь: Reliant — одно из самых слабых орудий, всё ещё применяемых в космических боях. В основном используется гражданскими торговцами.",,,,,
swp_contender,WEAPON,"Крупнокалиберное противоброневое оружие. Жертвует длительной огневой мощью ради отличного бронепробития.

Пушка Contender — это увеличенная мортира, стреляющая крупнейшим снарядом, который вообще можно обслуживать на малом оружейном шасси. Низкая скорострельность объясняется медленной ручной перезарядкой и обязательным временем на охлаждение каморы.",,,,,
swp_flaregun,WEAPON,"Запускает ложные цели, отвлекающие системы наведения входящих ракет и оружия ПВО. Любая ракета, попавшая в ловушку, будет уничтожена. Боезапас ограничен, зато установка очень проста.

Flare Gun — модульная версия пусковой установки ложных целей, встроенной в некоторые чертежи корпусов.",,,,,
swp_ionblaster,WEAPON,"Ударное оружие с большим кулдауном и огромной ЭМИ-нагрузкой. Способно одним выстрелом отключить большое число подсистем.

Heavy Ion Blaster выпускает p-когерентный кластер экзотических частиц. При попадании он немедленно проходит ядерную трансмутацию, вбрасывая в цель колоссальное количество ионизирующего излучения и электромагнитной энергии. После выстрела бластер должен стравить накопившийся поток, прежде чем следующий выстрел снова станет безопасным.",,,,,
swp_iontorpedo,WEAPON,"Блок продвинутых торпед с энергетической боевой частью площадного действия против подсистем. Побочные эффекты достаточно смертоносны, чтобы смести находящиеся рядом малые суда.

Это нишевое оружие с эзотерической p-упакованной боеголовкой типа «клоунская машина», которая буквально содержит больше полезной нагрузки, чем физически должна помещать. Передовое оружие, разработанное всего за несколько десятилетий до Коллапса, Ion Torpedo использует стандартную конструкцию доменионных потокопроводов, заливая цель избыточным потоком. Совокупный дестабилизирующий эффект впечатляет, но по чистой мощности уступает сравнимым противокапитальным торпедам; добивать обездвиженную цель лучше другими средствами.",,,,,
swp_plasmaflame,WEAPON,"Это оружие распыляет плазму в виде когерентной струи, используя внутренний топливный бак. Малая дальность, но очень высокая эффективность по потоку.

Plasma Flamer — по сути, просто газовый резак, доведённый до мощности боевого корабля. Против тяжёлой брони он не слишком хорош, зато отлично работает по щитам и открытому корпусу, если цель находится в пределах ограниченной дальности.",,,,,
swp_tripleflak,WEAPON,"Крупное специализированное оружие ПВО. Способно уничтожать рои ракет, сбивать торпеды и накрывать группы ударных аппаратов.

Aegis Flak Cannon — это увеличенный старший брат Flak Cannon и Dual Flak Cannon. В отличие от Devastator, это орудие заточено под оборону: оно почти бесполезно против крупных кораблей, но блестяще справляется со своей ролью.",,,,,
swp_lightphaselance,WEAPON,"Уменьшенная версия Phase Lance, пригодная для прожигания брони и корпуса прямым попаданием. Не подходит для длительного давления.

Несмотря на название, Light Phase Lance вовсе не такая уж «лёгкая»: её трудно установить, а эффективная дальность у неё такая же, как у полной версии. Из-за этого тактический профиль оружия получается чуть уже, чем можно было бы ожидать по его в остальном отличным характеристикам.",,,,,
swp_microblaster,WEAPON,"Дешёвое оружие, пригодное для ПВО. Чрезвычайно эффективно по потоку, но маломощно.

Mini-Blaster технически работает на той же технологии, что и Heavy Blaster, просто с дешёвыми компонентами и резко урезанной выходной мощностью. Предназначенное для гражданского применения, это квинтэссенция оружия ПВО по принципу «минимально жизнеспособно».",,,,,
swp_microblaster_array,WEAPON,"Дешёвое оружие, пригодное для ПВО. Чрезвычайно эффективно по потоку, но маломощно. Эта версия непрерывного огня надёжнее сбивает ракеты, чем базовый вариант.

Mini-Blaster технически работает на той же технологии, что и Heavy Blaster, просто с дешёвыми компонентами и резко урезанной выходной мощностью. Предназначенное для гражданского применения, это квинтэссенция оружия ПВО по принципу «минимально жизнеспособно».",,,,,
swp_excelsiorcannon,WEAPON,"«Технология почти нечеловеческая. Нам даже не нужно воображать власть Домена над реальностью; даже наш ИИ немеет от благоговения, когда мы раскручиваем этот привод. Возможно, где-то в глубине своего машинного сердца он чувствует тот же страх, что и мы.»","— Анонимная запись из журнала техника, извлечённая из банков данных Excelsior",,,,
swp_flareburst,WEAPON,"Выпускает ракеты, загруженные активными ложными целями, которые ищут и уничтожают вражеские ракеты, одновременно сбивая их системы наведения. Пусковая установка содержит мини-фабрикатор, производящий дополнительные боеприпасы на ходу, но перед выстрелом ловушки требуют значительного заряда потока.

Flare Burst MRM несёт большой запас активных ложных целей, каждую из которых приходится заряжать непосредственно в момент выстрела из-за их короткого периода полураспада в активном состоянии. Детонация у этого оружия особенно эффектная, напоминая ежегодные световые шоу на Eventide.",,,,,
swp_gungnir,WEAPON,"Встроенная в корпус класса Vindicator, пушка Gungnir — это тяжёлое артиллерийское орудие, способное обстреливать удалённые цели. Снаряды Gungnir несут саморазгоняющуюся шрапнель, засыпая район цели боеприпасами.

Снаряды Gungnir исключительно велики, превосходя даже Hellbore по чистой массе. Сложная система поглощения отдачи переводит значительную часть силы обратного удара в сам ствол, который откатывается назад по рельсе инерционного демпфера глубоко внутрь корпуса корабля. Поэтому узел стрельбы и ствол специально рассчитаны под установку именно в корпус Vindicator.",,,,,
swp_gungnir_r,WEAPON,"Встроенная в корпус класса Vindicator, пушка Gungnir — это тяжёлое артиллерийское орудие, способное обстреливать удалённые цели. Снаряды Gungnir несут саморазгоняющуюся шрапнель, засыпая район цели боеприпасами.

Снаряды Gungnir исключительно велики, превосходя даже Hellbore по чистой массе. Сложная система поглощения отдачи переводит значительную часть силы обратного удара в сам ствол, который откатывается назад по рельсе инерционного демпфера глубоко внутрь корпуса корабля. Поэтому узел стрельбы и ствол специально рассчитаны под установку именно в корпус Vindicator.",,,,,
swp_klutotekhnes,WEAPON,"Большое и мощное оружие, способное разрывать броню даже крупнейших судов, засыпая их градом фугасных снарядов.

Штурмовое орудие Klutotekhnes старше повсеместно распространённого Hephaestus: трёхствольная версия демонстрирует заметно большую огневую мощь и ёмкость боекомплекта, чем её двухствольный собрат. К сожалению, вариант Hephaestus стал куда популярнее — благодаря большей надёжности и меньшей сложности — так что сегодня Klutotekhnes сохранился только как неотъемлемая часть класса Victory.",,,,,
swp_droneflak,WEAPON,"Оборонительная оружейная система, стреляющая шрапнельными снарядами с дистанционным взрывателем для максимальной эффективности против малых целей и ракет. Оптимизирована для удалённых флак-дронов Albatross.",,,,,
swp_microblaster_f,WEAPON,"Сверхзаряженный вариант Mini-Blaster с непрерывным огнём. Может быть разогнан ещё сильнее, чтобы выпускать изнуряющий град энергетических импульсов.",,,,,
swp_devastator_f,WEAPON,"Этот миниатюрный Devastator размером с истребитель — скорострельная флак-пушка, способная рвать ракеты и другие истребители в ближнем бою.",,,,,
swp_mini_vulcan,WEAPON,"Скорострельное оружие, особенно разрушительное против ракет и истребителей в упор. Ещё меньше, чем обычный Vulcan.",,,,,
swp_swarmer_f,WEAPON,Короткодействующая управляемая ракетная установка. Ракеты предназначены для перехвата и уничтожения вражеских истребителей. Миниатюризирована для Partisan.,,,,,
swp_boss_camoturret,WEAPON,"Эта турель выглядит как облегчённая замаскированная версия Mjolnir Cannon. Камуфляжная краска, к сожалению, совершенно бесполезна в безбрежности космоса.",,,,,
swp_boss_canistercannon,WEAPON,"Огромная пушка, изначально предназначенная для запуска спорных контейнеров на поверхность планет; это оружие рассчитано на перенастройку под боевые задачи.",,,,,
swp_boss_roycocannon,WEAPON,«Не желаете... чашечку супа?»,— Неизвестный источник,,,,
swp_nightwalker,SHIP,"Построенный вокруг передового устройства изменения времени и одного основного оружейного слота, фазовый эсминец Nightwalker столь же мощен и универсален, сколь редок и дорог. Способен совершать короткие временные скачки через p-пространство.

Класс Nightwalker по-настоящему блистает в молниеносных рейдах типа hit-and-run. Смертоносная комбинация фазового искажения времени и системы Chrono Boost даёт невиданные боевые манёвры и сокрушительную ударную тактику, из-за чего неопытные капитаны часто слишком увлекаются и рано гибнут. Подбор офицера здесь особенно критичен.",,,,,
swp_cathedral,SHIP,"Этот выдающийся гигант не поддаётся классификации и больше напоминает мобильную станцию, чем звездолёт. Cathedral способна координировать действия целой боевой группы или в одиночку выполнять миссии глубокой космической колонизации.

Изначально Cathedral была известна в Explorarium Домена как класс Explorer — тяжело вооружённый узловой корабль, созданный для гарантии успеха новых колоний. Вскоре после Коллапса оставшиеся Explorer были быстро захвачены боевиками от имени ранней Церкви Галлического Искупления. Считается, что каждая существующая Cathedral — подлинник из того периода, поддерживаемый в строю всё это время как своего рода военная гарантия; это не только мощный флагман сам по себе, но и корабль, способный при необходимости начать исход в глубокий космос.",,,,,
swp_cathedral_rear,SHIP,"Задняя секция Cathedral — прочный двигательный модуль с огромным маршевым приводом, больше подходящим для буксира врат, чем для боевого корабля. Однако, несмотря на размеры и число двигателей, Cathedral всё равно остаётся крайне медленной. Этот модуль был переоборудован множеством орудийных точек, чтобы служить задним бастионом в бою.",,,,,
swp_cathedral_gun_left,SHIP,"Два артиллерийских модуля Cathedral обеспечивают вспомогательную огневую мощь по флангам и не рассчитаны на основную проекцию силы. Однако с учётом того, как часто корабль оказывается в окружении, эти меньшие модули остаются критически важными для выживания в бою.",,,,,
swp_cathedral_gun_right,SHIP,"Два артиллерийских модуля Cathedral обеспечивают вспомогательную огневую мощь по флангам и не рассчитаны на основную проекцию силы. Однако с учётом того, как часто корабль оказывается в окружении, эти меньшие модули остаются критически важными для выживания в бою.",,,,,
swp_cathedral_fighter_left,SHIP,"Ангарные модули дают Cathedral возможность проецировать силу на большой дистанции на уровне боевого носителя класса Legion. Нагрузка распределена между двумя зеркальными модулями, что даёт определённую избыточность.",,,,,
swp_cathedral_fighter_right,SHIP,"Ангарные модули дают Cathedral возможность проецировать силу на большой дистанции на уровне боевого носителя класса Legion. Нагрузка распределена между двумя зеркальными модулями, что даёт определённую избыточность.",,,,,
swp_cathedral_front,SHIP,"Передний модуль Cathedral — тяжёлый бастион с огромной батареей орудий и защитой, почти сопоставимой с боевыми модулями боевой станции. Основная часть огневой мощи корабля сосредоточена здесь.",,,,,
swp_caliber,SHIP,"Эсминец класса Caliber выполняет в бою узкоспециализированную роль, обычно определяемую выбором оружия, установленного на его крупном продольном креплении.
Использует встроенную систему подачи боеприпасов, чтобы максимально раскрыть основное вооружение. Для защиты полагается на Damper Field, сохраняя как можно больше потока для атаки.

Caliber часто сравнивают с Manticore; как и подсказывает имя, этот корабль куда агрессивнее по своей натуре и целиком сосредоточен на колоссальном уроне. Если Manticore лучше работает против крупных кораблей, то Caliber особенно хорош в обмене собственной брони на убийства других эсминцев.",,,,,
swp_archer,SHIP,"Archer — универсальный ракетный эсминец, идеально подходящий для ролей боевой поддержки благодаря большому запасу боеприпасов и достойным возможностям прямого огня.

Класс Archer рассчитан на совместную работу с современниками вроде Hammerhead и Eagle. Пока эти распространённые корпуса умеют поддерживать постоянное давление, Archer отлично проявляет себя как корабль оппортунистических ударов, боец ближней поддержки или платформа огневой поддержки.",,,,,
swp_zenith,SHIP,"Редко встречающийся Zenith представляет собой вершину доменионного «хайтек»-дизайна — настоящую силовую машину, способную пережить и подавить почти всё, что окажется перед ней. Уязвим к обходу с флангов.

Остерегайтесь неспособности Zenith вовремя выйти из боя. Неопытные капитаны Zenith часто слишком глубоко вклиниваются и оказываются в окружении, а это может стать концом даже для этого живучего тяжёлого крейсера.",,,,,
swp_vulture,SHIP,"Быстрый крейсер со сбалансированной схемой, включающей все типы оружейных слотов. Благодаря широким дугам огня и хорошему ракетному прикрытию Vulture отлично действует в поддержке, и его весьма трудно прижать. Оснащён невосполняемым комплектом малых ПВО-дронов.

Класс Vulture — дальний ответвлённый потомок Heron, о чём свидетельствует рудиментарный дроновый отсек — когда-то это были просторные полётные палубы его авианесущего родственника. Типичная тактика — кружить на дистанции, высыпая ракеты и дальнобойные батареи, пока более тяжёлые корабли ведут прямой бой. Когда ПВО-дроны иссякают, Vulture обычно оказывается в явном невыгодном положении на ближней дистанции.",,,,,
swp_archon,SHIP,"Этот тяжёлый эсминец обладает исключительным боевым присутствием для своих размеров благодаря генератору щита типа «крепость» и агрессивной батарее фиксированного лобового вооружения. Оснащён системой «шунт потока», позволяющей выдерживать длительный огонь крейсерского уровня, но за это принесено в жертву столько внутреннего пространства, что задняя защита почти отсутствует.

Во многих отношениях Archon — младший кузен Paragon, сочетающий огневую мощь и несломимость, редко встречающиеся в так называемом «хайтек»-кораблестроении. Считается, что когда-то эти два корабля были конкурирующими проектами, но имя изначального производителя сегодня забыто.",,,,,
swp_arachne,SHIP,"Нетипичный корпус с передовыми боевыми сенсорами и системами наведения: Arachne сочетает оружие фрегатного класса с дальностью капитального. Мощно защищённая щитами и неуязвимая для обхода с фланга, Arachne живёт и умирает за счёт своего преимущества в дальности; в ближнем бою у неё немного вариантов.",,,,,
swp_excelsior,SHIP,"Этот недостроенный корабль едва пригоден для космоса и требует самых разных экзотических заменяемых компонентов, чтобы непрерывно оставаться в строю. Будучи испытательной платформой для плохо понятных технологий, разработанных корпорацией Tri-Tachyon, Excelsior воплощает человеческую гордыню, вторгаясь в слои реальности, которые следовало бы не тревожить.

Этот единственный в своём роде фрегат переворачивает с ног на голову все представления о космической войне, давая невероятные преимущества в бою, но делая проклятое судно почти непригодным для кого-либо, кроме самых умелых — и безрассудно безумных — капитанов. Но если Excelsior всё же удастся полностью освоить, его возможности действительно безграничны.",,,,,
swp_excelsior_boss,SHIP,"Испытательная платформа для плохо понятных технологий, разработанных корпорацией Tri-Tachyon; Excelsior воплощал человеческую гордыню, вторгаясь в слои реальности, которые следовало бы не тревожить.","Испытательная платформа для плохо понятных технологий, разработанных корпорацией Tri-Tachyon; Excelsior воплощал человеческую гордыню, вторгаясь в слои реальности, которые следовало бы не тревожить.",,,,
swp_alastor,SHIP,"Иногда называемый «Baby Eagle», Alastor — универсальный фрегат, способный справиться почти с любой ситуацией. Однако в своих сильных сторонах он уступает более специализированным фрегатам.

Фрегат класса Alastor, вероятно, создавался для комплектования малых патрулей примерно так же, как Eagle заполняют тяжёлые патрули. Этот крепкий, но манёвренный корпус уступает в общей наступательной мощи, зато хорошо показывает себя в группе и идеален там, где нужен прямолинейный, надёжный фрегат для общих задач.

Некоторые капитаны клянутся Alastor, рассказывая о чудесах отваги, возможных благодаря этому малому фрегату, но такие описания наверняка идеализированы и плохо отражают реальные эксплуатационные характеристики.",,,,,
swp_circe,SHIP,"Высококлассный вооружённый грузовик. Circe широко считается лучшим боевым грузовым судном Персеанского сектора и доступна только богатейшим торговцам, работающим с самыми ценными грузами.

Считается, что Circe проектировалась как вооружённое пассажирское судно, о чём говорят просторные каюты и роскошные жилые отсеки для экипажа. После выпуска большинство этих помещений демонтируется ради дополнительной грузовместимости.",,,,,
swp_sunder_u,SHIP,"Этот редкий вариант Sunder относится к философии «хайтек»-дизайна. Обычно считается более совершенной — и более поздней — итерацией и обозначается меткой «U», то есть «улучшенный» или «ультра».

Технологически продвинутый, но хрупкий эсминец, предназначенный давать дополнительную огневую мощь в действиях флота, а не служить на автономных патрулях. Имеет мощные генераторы щитов и энергетическое вооружение, но уязвим для ударной авиации.","Этот редкий вариант Sunder относится к философии «хайтек»-дизайна. Обычно считается более совершенной — и более поздней — итерацией и обозначается меткой «U», то есть «улучшенный» или «ультра».

Технологически продвинутый, но хрупкий эсминец, предназначенный давать дополнительную огневую мощь в действиях флота, а не служить на автономных патрулях. Имеет мощные генераторы щитов и энергетическое вооружение, но уязвим для ударной авиации.",,,,
swp_albatross,SHIP,"Созданный специально для эскортной службы флота, Albatross — живучий эсминец, обслуживающий ряд мощных флак-дронов для защиты от ракет и малых судов.

Записи показывают, что корпус класса Albatross не пользовался популярностью. Этот поздно раскрывшийся проект лишь недавно нашёл своё место в Персеанском секторе из-за подавляющего изобилия конфликтов в нынешние тяжёлые времена.",,,,,
