name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Тяжелый пулемет «Релиант»,swp_reliant,0,,75,450,,8,,1,60,1,,,,KINETIC,3,,0,0.12,1,,0,10,0.2,15,,1500,,,5,,,PD,"pd0, kinetic0, base_bp, ind",,,,Точечная оборона,,,,,,,,,,4350
Пушка «Контендер»,swp_contender,1,,125,500,,150,,10,25,3,,,,HIGH_EXPLOSIVE,125,,0,2.5,1,,0,5,2,10,,800,,,10,,,,"he4, strike0, base_bp, ind",,,,Против брони,,,,,,,,,,4351
Плазменный огнемет,swp_plasmaflame,1,,1000,450,,30,,0,10,8,100,10,50,ENERGY,15,,0,0.05,9999,0.05,0,0,0,0,,600,,,10000,,,DO_NOT_CONSERVE,"energy12, SR, lowtech_bp, merc, ind",,,,Универсальное,,,,,,,,,,4352
Пускатель ловушек,swp_flaregun,0,,50,400,,10,100,0,40,1,50,,,ENERGY,0,0,0,5,10,0.1,60,60,0,0,,150,300,3,1,,,PD,"pd2, utility1, base_bp, ind",,,,Против ракет,,,,,Каждая ловушка имеет %s шанс отвлечь ближайшие ракеты.,10%,,,TRUE,4353
Ионная торпеда,swp_iontorpedo,3,0.5,600,1300,,1000,4500,25,10,4,2,,,FRAGMENTATION,500,,0,3,1,,0,0,0,0,,300,50,7,400,,,"STRIKE,USE_VS_FRIGATES,DO_NOT_AIM,CONSERVE_FOR_ANTI_ARMOR ","strike9, utility8, missile1, rare_bp, hist1t, merc, ind",,,,Торпеда (подавление),Среднее,Плохое,,,"При попадании наносит цели, а также кораблям и истребителям в большой области, до %s энергетического урона и %s ЭМИ.",1000 | 4500,Попадания по корпусу или броне повышают уровень потока цели на %s. Попадания по щитам вместо этого создают жесткий поток.,1000,TRUE,4354
УРМ «Шершень»,swp_hornet,2,,300,2000,,400,,10,50,4,8,,,HIGH_EXPLOSIVE,0,,0,3.6,2,0.4,0,0,0,0,,300,300,10.5,100,,,DO_NOT_AIM,"missile8, strike1, rare_bp, merc, ind",,,,Насыщение,Среднее,Отличное,,,,,,,,4355
Пусковая РГЧ «Инферно»,swp_inferno,1,,1750,2500,,350,,15,20,10,15,0.05,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,250,250,16,200,,,"ANTI_FTR,DO_NOT_AIM","utility13, missile8, missile_bp, hist1t, merc, ind",,,,Против малых целей,Быстрое,Отличное,,,,,,,,4356
Пусковая «Торнадо Хорнет»,swp_tornado,2,,1200,2000,,400,,10,30,10,40,,,HIGH_EXPLOSIVE,0,,0,6.8,4,0.4,0,0,0,0,,300,300,10.5,100,,,DO_NOT_AIM,"missile13, strike6, rare_bp, merc, ind",,,,Насыщение,Среднее,Отличное,,,,,,,,4357
Пусковая залпа ловушек,swp_flareburst,2,0.5,1500,1500,,150,,5,10,13,,,,ENERGY,800,,0,13,1,,0,0,0,0,,400,150,7,250,,,PD,"pd13, utility8, rare_bp, merc, ind, graphicslib_no_autogen",,,,Против ракет (по площади),Быстрое,Отличное,,,Каждая ловушка имеет %s шанс отвлечь ближайшие ракеты.,30%,,,,4358
Пусковая ДРМ «Требушет»,swp_trebuchet,2,0.7,7500,5000,,1000,1500,20,10,24,30,,,ENERGY,333,,0,15,3,0.75,0,0,0,0,,350,150,25,250,,,"DO_NOT_AIM, CONSERVE_1","missile20, strike13, utility15, rare_bp, hist1t, merc, ind",,,,Дальняя поддержка (по площади),Быстрое,Среднее,,,"При попадании наносит цели, а также кораблям и истребителям в большой области, до %s дополнительного энергетического урона и %s дополнительного ЭМИ.",1000 | 1500,,,,4359
Молниевая пушка,swp_lightninggun,3,0.3,2750,1000,,225,600,150,10,14,4,0.5,,ENERGY,300,,0.25,0.25,1,,0,0,0,0,,5000,,,,,,USE_LESS_VS_SHIELDS,"energy14, LR, rare_bp, hist1t, merc, ind",,,,Подавление,,,,Идеальная,Наносит щитам %s урона.,"половина мягкого, половина жесткого потока",Поражает цель мгновенно при выстреле.,,,4360
