id,bonus_desc,bonus_name,malus_desc,malus_name,base_bonus,desc,chance,applicable_to_fleets,tags,required_hullmods,incompatible_hullmods,bonus_desc_ai,bonus_name_ai,malus_desc_ai,malus_name_ai,bonus_desc_bio,bonus_name_bio,malus_desc_bio,malus_name_bio
loyalty,Имея,Доверяющий экипаж,Имея,Циничный экипаж,5,скорость роста лояльности,1,FALSE,"CREW, LOYALTY",,,Имея,Сговорчивая личность ИИ,Имея,Своевольная личность ИИ,Будучи,Сговорчивый,Будучи,Своевольный
cr_cap,Имея,Педантичный экипаж,Имея,Неряшливый экипаж,1,предел БГ,1,FALSE,CREW,,,Имея,Оптимизированные автоматические системы,Имея,Дефектные автоматические системы,Будучи,Дисциплинированный,Будучи,Недисциплинированный
cr_recovery,Имея,Трудолюбивый экипаж,Имея,Ленивый экипаж,4,скорость восстановления БГ,1,FALSE,CREW,,,Имея,Сосредоточенная личность ИИ,Имея,Пассивная личность ИИ,Будучи,Энергичный,Будучи,Вялый
loyalty_loss_rugged,Имея,Непоколебимый экипаж,,,-8,шанс потерять лояльность,3,FALSE,"CREW, LOYALTY",rugged,,Имея,Непоколебимое ИИ-ядро,,,Будучи,Непоколебимый,,
loyalty_loss,Имея,Стойкий экипаж,Имея,Злопамятный экипаж,-5,шанс потерять лояльность,1,FALSE,"CREW, LOYALTY",,rugged,Имея,Стабильное ИИ-ядро,Имея,Нестабильное ИИ-ядро,Будучи,Стойкий,Имея,Нестабильное поведение
peak_cr_time,Имея,Бесстрашный экипаж,Имея,Бесхребетный экипаж,2,время пиковых характеристик,1,TRUE,"COMBAT, CREW",,,Имея,Стойкие автоматические системы,Имея,Хрупкие автоматические системы,Будучи,Бесстрашный,Будучи,Пугливый
repair,Имея,Умелые механики,Имея,Неумелые механики,3,скорость ремонта,1,TRUE,"COMBAT, CREW",,,Имея,Оптимизированная ремонтная система,Имея,Дефектная ремонтная система,Будучи,Быстрое заживление,Будучи,Медленное заживление
malfunction,Будучи,Надежный,Будучи,Ненадежный,-4,шанс неисправностей,1,TRUE,COMBAT,,,,,,,,,,
crew_casualties,Будучи,Безопасный,Будучи,Смертельная ловушка,-3,потери экипажа,1,FALSE,"DEFENSE, NO_AI",,,,,,,Имея,Безопасные полости экипажа,Имея,Опасные полости экипажа
mount_durability,Имея,Прочные крепления,Имея,Хрупкие крепления,4,прочность оружия,1,TRUE,"COMBAT, ATTACK",,,,,,,Имея,Прочные гнезда симбиотов,Имея,Хрупкие гнезда симбиотов
engine_durability,Имея,Прочные двигатели,Имея,Хрупкие двигатели,4,прочность двигателей,1,TRUE,COMBAT,,,,,,,Имея,Надежное передвижение,Имея,Ненадежное передвижение
hull_integrity,Будучи,Прочный,Будучи,Хрупкий,2,прочность корпуса,1,TRUE,"COMBAT, DEFENSE",,,,,,,,,,
armor_strength,Имея,Крепкая броня,Имея,Слабая броня,1,броня,1,TRUE,"COMBAT, DEFENSE",,,,,,,Имея,Крепкий панцирь,Имея,Слабый панцирь
emp_resistance,Будучи,Крепкий,Будучи,Сбойный,3,сопротивление ЭМИ,1,TRUE,COMBAT,,,,,,,Будучи,Крепкий,Будучи,Неуклюжий
recovery_chance,Будучи,Несокрушимый,Будучи,Обреченный,5,шанс восстановления,2,FALSE,SUPERSTITION,,,,,,,,,,
dmod_effect,Будучи,Боевые шрамы,Будучи,Груда лома,-4,эффекты длительных повреждений,2,TRUE,"DMOD, SUPERSTITION",,,,,,,,,Будучи,Болезненный
dmod_integrity,Будучи,Неприхотливый,Будучи,Надломленный,1,прочность корпуса за каждое длительное повреждение,2,TRUE,DMOD,,,,,,,Будучи,Крепкий,Будучи,Слабый
cursed,,,Будучи,Проклятый,-0.5,шанс спонтанной неисправности,0.25,TRUE,"NO_AI, COMBAT, SUPERSTITION",,,,,,,,,,
phase_mad,,,вызывая,Фазовое безумие,-2,шанс неисправности в фазе,0.5,TRUE,"CLOAK, CREW, NO_AI, COMBAT",phasefield,,,,,,,,,
engine_power,Имея,Мощные двигатели,Имея,Слабые двигатели,1,максимальная скорость,1,TRUE,COMBAT,,,,,,,Будучи,Быстрый,Будучи,Медленный
maneuverability,Будучи,Маневренный,Будучи,Неуклюжий,3,манёвренность,1,TRUE,COMBAT,,,,,,,,,,
sensor_strength,Имея,Бдительный экипаж,Имея,Невнимательный экипаж,2,мощность сенсоров,1,FALSE,"LOGISTICAL, CREW",,,Имея,Проницательная личность ИИ,Имея,Самодовольная личность ИИ,Будучи,Бдительный,Будучи,Невнимательный
sensor_profile,Будучи,Хорошо изолированный,Будучи,Плохо изолированный,-2,профиль сенсоров,1,FALSE,LOGISTICAL,,"phasefield, drive_field_stabilizer",,,,,Будучи,Трудно обнаружить,Будучи,Легко обнаружить
cargo_capacity,Имея,Просторные грузовые отсеки,,,3,грузовместимость,1,FALSE,"LOGISTICAL, FLAT_EFFECT",,,,,,,Имея,Просторные грузовые мешки,,
fuel_efficiency,Будучи,Экономичный расход топлива,Будучи,Пожиратель топлива,-2,расход топлива,1,FALSE,LOGISTICAL,,,,,,,,,,
fuel_capacity,Имея,Просторные топливные баки,,,3,запас топлива,1,FALSE,"LOGISTICAL, FLAT_EFFECT",,,,,,,Имея,Просторные топливные мешки,,
supply_upkeep,Имея,Находчивый экипаж,Имея,Расточительный экипаж,-2,припасы в месяц,1,FALSE,"LOGISTICAL, CREW",,,Имея,Оптимизированные логистические системы,Имея,Дефектные логистические системы,Будучи,Находчивый,Будучи,Расточительный
salvage,Имея,Умелая команда спасработ,,,1,трофеи после боя,2,FALSE,"LOGISTICAL, CREW, NO_AI",repair_gantry,,,,,,Имея,Умелые симбиоты-утилизаторы,,
pd_range,Имея,Бдительные корректировщики ПВО,Имея,Невнимательные корректировщики ПВО,2,дальность оружия ПВО,1,TRUE,"DEFENSE, COMBAT, CREW, TURRET",,,Имея,Оптимизированное сопровождение ПВО,Имея,Дефектное сопровождение ПВО,Имея,Чуткие усики ПВО,Имея,Нечуткие усики ПВО
pd_damage,Имея,Умелые операторы ПВО,Имея,Неумелые операторы ПВО,3,урон по ракетам и истребителям,1,TRUE,"DEFENSE, COMBAT, CREW, TURRET",,,Имея,Оптимизированный анализ ПВО,Имея,Дефектный анализ ПВО,Имея,Точные симбиоты ПВО,Имея,Неточные симбиоты ПВО
damage,Будучи,Смертоносный,Будучи,Безобидный,1,урон,1,TRUE,"ATTACK, COMBAT",,,,,,,,,,
weapon_stability,Имея,Стабильные крепления,Имея,Расшатанные крепления,-3,отдача оружия,1,TRUE,"ATTACK, COMBAT",,,,,,,Имея,Стабильные суставы,Имея,Расшатанные суставы
turret_rotation,Имея,Быстрые гироскопы турелей,Имея,Медленные гироскопы турелей,4,скорость поворота оружия,1,TRUE,"ATTACK, COMBAT, TURRET",,,,,,,Имея,Быстрые мышечные волокна,Имея,Медленные мышечные волокна
range,Имея,Разогнанный блок наведения,Имея,Изношенный блок наведения,1,дальность оружия,1,TRUE,"ATTACK, COMBAT",,,,,,,Имея,Острые чувства наведения,Имея,Притупленные чувства наведения
missile_guidance,Имея,Надежная ракетная кузница,Имея,Ненадежная ракетная кузница,3,манёвренность ракет,1,TRUE,"ATTACK, COMBAT, MISSILE",,,,,,,Имея,Надежное восстановление ракет,Имея,Ненадежное восстановление ракет
missile_reload,Имея,Быстрые ракетные заряжающие,Имея,Медленные ракетные заряжающие,4,скорострельность ракет,1,TRUE,"ATTACK, COMBAT, MISSILE",,,,,,,Имея,Быстрые ракетные венулы,Имея,Медленные ракетные венулы
ammo_regen,Имея,Быстрая кузница боеприпасов,Имея,Вялая кузница боеприпасов,2,скорость восстановления боезапаса,1,TRUE,"ATTACK, COMBAT, SYNERGY",,,,,,,Имея,Быстрое восстановление боеприпасов,Имея,Вялое восстановление боеприпасов
ammo_capacity,Имея,Крупные бункеры боеприпасов,Имея,Малые бункеры боеприпасов,4,ёмкость боезапаса,1,TRUE,"ATTACK, COMBAT, SYNERGY",,,,,,,Имея,Крупные мешки боеприпасов,Имея,Малые мешки боеприпасов
ballistics_rof,Имея,Быстрые податчики боеприпасов,Имея,Медленные податчики боеприпасов,2,скорострельность баллистического оружия,1,TRUE,"ATTACK, COMBAT, BALLISTIC",,,,,,,Имея,Быстрые податчики боеприпасов,Имея,Медленные податчики боеприпасов
energy_cost,Имея,Эффективные адаптеры потока,Имея,Неэффективные адаптеры потока,-2,расход нагрузки энергетическим оружием,1,TRUE,"ATTACK, COMBAT, ENERGY",,,,,,,Имея,Эффективный потоковый пузырь,Имея,Неэффективный потоковый пузырь
fighter_damage,Имея,Смертоносные пилоты,Имея,Безобидные пилоты,1,урон истребителей,1,TRUE,"CARRIER, CREW, ATTACK, COMBAT",,,Имея,Оптимизированное наведение дронов,Имея,Дефектное наведение дронов,Имея,Смертоносная колония симбиотов,Имея,Безобидная колония симбиотов
fighter_speed,Имея,Смелые пилоты,Имея,Робкие пилоты,2,скорость истребителей,1,TRUE,"CARRIER, CREW, COMBAT",,,Имея,Оптимизированная координация полета,Имея,Дефектная координация полета,Имея,Смелая колония симбиотов,Имея,Робкая колония симбиотов
fighter_durability,Имея,Качественное обслуживание истребителей,Имея,Плохое обслуживание истребителей,2,живучесть истребителей,1,TRUE,"CARRIER, CREW, COMBAT",,,Имея,Оптимизированное обслуживание дронов,Имея,Дефектное обслуживание дронов,Имея,Развитый уход симбиотов,Имея,Деградировавший уход симбиотов
refit_time,Имея,Эффективные полетные палубы,Имея,Неэффективные полетные палубы,-2,время обслуживания истребителей,1,TRUE,"CARRIER, COMBAT",,,,,,,Имея,Эффективная колония симбиотов,Имея,Неэффективная колония симбиотов
overload_time,Имея,Стабильное ядро нагрузки,Имея,Нестабильное ядро нагрузки,-4,длительность перегрузки,1,TRUE,COMBAT,,phasefield,,,,,Имея,Стабильный пузырь нагрузки,Имея,Нестабильный пузырь нагрузки
flux_capacity,Имея,Мощные конденсаторы,Имея,Слабые конденсаторы,1,ёмкость нагрузки,1,TRUE,"COMBAT, FLUX",,,,,,,Имея,Крепкие капилляры конденсаторов,Имея,Слабые капилляры конденсаторов
flux_dissipation,Имея,Эффективные потоковые клапаны,Имея,Неэффективные потоковые клапаны,1,рассеивание нагрузки,1,TRUE,"COMBAT, FLUX",,,,,,,Имея,Эффективные потоковые железы,Имея,Неэффективные потоковые железы
vent_rate,Имея,Быстрые клапаны сброса,Имея,Вялые клапаны сброса,2,скорость сброса нагрузки,1,TRUE,"COMBAT, FLUX",,safetyoverrides,,,,,Имея,Быстрые железы сброса,Имея,Вялые железы сброса
shield_raise_rate,Имея,Быстрый эмиттер щита,Имея,Вялый эмиттер щита,3,скорость поднятия щита,1,TRUE,"SHIELD, DEFENSE, COMBAT",,shield_shunt,,,,,,,,
shield_stability,Имея,Стабильные щиты,Имея,Нестабильные щиты,-4,поддержание щита,1,TRUE,"SHIELD, DEFENSE, COMBAT, FLUX",,shield_shunt,,,,,,,,
shield_strength,Имея,Мощные щиты,Имея,Слабые щиты,-1,получаемый щитами урон,1,TRUE,"SHIELD, DEFENSE, COMBAT",,shield_shunt,,,,,,,,
phase_cost,Имея,Эффективные фазовые катушки,Имея,Неэффективные фазовые катушки,-1,стоимость потока фазового плаща,1,TRUE,"CLOAK, DEFENSE, COMBAT, FLUX",,,,,,,Имея,Эффективные фазовые органы,Имея,Неэффективные фазовые органы
phase_cooldown,Имея,Быстрый фазовый покров,Имея,Медленный фазовый покров,-2,перезарядка фазового плаща,1,TRUE,"CLOAK, DEFENSE, COMBAT",,,,,,,,,,
survey,Имея,Умелая команда обследования,Имея,Неумелая команда обследования,-1,припасы для обследований,2,FALSE,"LOGISTICAL, FLAT_EFFECT, CREW, NO_AI",surveying_equipment,,,,,,Имея,Надежные разведывательные симбиоты,Имея,Ненадежные разведывательные симбиоты
