id,trigger,conditions,script,text,options,notes
# INTERNAL AFFAIRS,,,,,,
intaffBlurb,intaff_blurb,,,"""Мне поручили важную миссию - выследить и, кхм, «уладить вопрос» с опальным руководителем времен Второй войны ИИ. Для вас в этом тоже может что-то найтись, если избавите меня от необходимости подниматься по иерархии и запрашивать флот внутренней безопасности.""",,
intaffOption,intaff_option,,,,intaff_start:Спросить о «урегулировании вопроса» с опальным руководителем,
intaffBlurbBar,intaff_blurbBar,,,"Руководитель Tri-Tachyon сидит за столом в одиночестве, тихо пьет вино и явно недоволен тем, что видит на своем Tri-Pad.",,
intaffOptionBar,intaff_optionBar,,,,intaff_startBar:Узнать - чем так недоволен руководитель с бокалом вина,
intaffOfferTextContact,DialogOptionSelected,$option == intaff_start,$missionId = intaff,"""Наша цель - опальный представитель старой гвардии, времен Второй войны ИИ. Полагаю, вы и так отлично знаете, сколько проблем они тогда устроили,"" - объясняет $heOrShe. ""Мне приказано проследить, чтобы с этим руководителем «разобрались», и я бы предпочел не утруждать себя обращением вверх по иерархии за выделением флотского актива. Ну, вы понимаете.""

""Последний раз его видели в системе $intaff_SystemName, в $intaff_dist световых годах отсюда. Начните поиск там. Данных о составе цели мне не предоставили, так что действовать придется вслепую. Соответственно, я оформил оплату в $intaff_reward кредитов.""","contact_accept:Принять
contact_decline:Отказаться",
intaffOfferTextBar,DialogOptionSelected,$option == intaff_startBar,$missionId = intaff,"Когда вы садитесь рядом с раздраженным руководителем, $heOrShe быстро сканирует вас почти как биометрическая система, после чего снова переводит взгляд на Tri-Pad. ""Судя по тому, что вы только что сделали, я бы сказал, вы капитан, который умеет видеть потенциальную работу. Вы бы отлично продавали контракты.""

$HeOrShe делает глоток. ""Очевидно, вы здесь не за этим, да и мне это не нужно. Вы хищник,"" - заявляет $heOrShe. ""А у меня есть добыча.""",intaff_startBar2:Продолжить,
intaffOfferTextBar2,DialogOptionSelected,$option == intaff_startBar2,SetTextHighlights  $intaff_systemName $intaff_dist $intaff_reward ,"""Наша цель - $intaff_execName, опальный представитель старой гвардии времен Второй войны ИИ. Полагаю, вы и так отлично знаете, сколько проблем они тогда устроили,"" - объясняет $heOrShe, взмахивая рукой. ""Мне приказано проследить, чтобы с этим руководителем «разобрались», и я бы предпочел не утруждать себя обращением вверх по иерархии за выделением флотского актива. Ну, вы понимаете."" $HeOrShe смотрит на вас так, будто вы обязаны согласиться.

""Последний раз $intaff_execName видели в системе $intaff_systemName, в $intaff_dist световых годах отсюда. Начните поиск там. Данных о составе цели мне не предоставили, так что действовать придется вслепую. Соответственно, я оформил оплату в $intaff_reward кредитов.""

$HeOrShe кладет Tri-Pad экраном вниз на стол и впервые уделяет вам все внимание. ""Ну так что? Если справитесь, это будет отличным первым впечатлением.""","contact_acceptBar:Принять
contact_declineBarNoContinue:Отказаться",
,,,,,,
intaffFoundClueShip,ShowSalvageEntityDetails,"$intaff_clue score:100
$customType == wreck
Call $intaff_ref updateData","$global.intaff_foundclue = true
Call $global.intaff_ref updateStage
Call $global.intaff_ref unsetClues","Хотя с корабля явно сняли все ценные припасы и материалы, из умирающих систем дереликта все еще удается уловить несколько слабых сигналов. Его бросили не так давно.

На место отправляется salvage-команда и извлекает частичные флотские логи с уцелевшего сервера: в них зафиксированы межфлотские переговоры о остановке в системе $intaff_system2Name. Флот $intaff_execName должен быть там.",,
intaffFoundClueCache,ShowSalvageEntityDetails,"$intaff_clue score:100
$customType == supply_cache
Call $intaff_ref updateData","$global.intaff_foundclue = true
Call $global.intaff_ref updateStage
Call $global.intaff_ref unsetClues","Кэш почти не тронут обычной радиацией и ударами микрочастиц, которые обычно быстро выводят из строя открытые грузовые капсулы. Очевидно, его оставили здесь совсем недавно.

Быстрые сканы фиксируют затухающий сигнал из одного из контейнеров, а после вскрытия найденный внутри Tri-Pad выдает служебную рассылку для капитанов $intaff_execName с приказом сделать остановку в системе $intaff_system2Name.",,
,,,,,,
intaff_fleetOpen,OpenCommLink,$entity.intaff_execfleet score:100,$entity.ignorePlayerCommRequests = true,"$personName хмурится. ""Они даже не стали отправлять внутреннюю безопасность, да? Вот что бывает, когда пытаешься что-то изменить.""

$HeOrShe вздыхает. ""Передайте им, что я сделал то, что должен был. Жаль только, что сделал это не лучше.""",cutCommLink:Разорвать связь,
